;dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;labeled accuracy;labeled macro-f1;labeled confusion;unlabeled accuracy;unlabeled macro-f1;unlabeled confusion;test accuracy;test macro-f1;test confusion;budget used;class distrubution
0;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.0;0.0;[[]];0.1943250214961307;0.1487954206206255;"[[ 16  12  54  73  22   7]
 [ 31  42  85 204  35  16]
 [ 33  35  87 284  15  13]
 [ 30  23 128 263  34  12]
 [ 47  66 138 117  22  27]
 [ 18  39  65 178  33  22]]";0.2017982017982018;0.15543017144111693;"[[  8  11  24  23  11   3]
 [ 12  16  35  94  10  10]
 [ 20  28  44  98   7   4]
 [ 13  12  52 114  14   6]
 [ 21  24  69  45  10  10]
 [  8  13  30  84   8  10]]";0;[]
1;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.3333333333333333;0.2666666666666667;"[[0 0 0 2 0]
 [0 1 0 0 0]
 [0 0 0 1 0]
 [0 0 0 1 0]
 [0 0 0 1 0]]";0.19267241379310346;0.060422938740796996;"[[  0   0   0   0 179   0]
 [  0   3   0   0 409   0]
 [  0   0   7   0 454   0]
 [  0   0   0   0 486   0]
 [  0   0   0   0 437   0]
 [  0   0   0   0 345   0]]";0.18281718281718282;0.05726461963037032;"[[  0   0   0   0  80   0]
 [  0   0   1   0 176   0]
 [  0   0   4   0 197   0]
 [  0   0   0   0 211   0]
 [  0   0   0   0 179   0]
 [  0   0   1   0 152   0]]";6;[0 2 1 1 1 1]
2;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.75;0.5678571428571427;"[[0 1 0 0 0 0]
 [0 3 0 0 0 0]
 [0 0 3 0 0 0]
 [0 0 1 0 0 0]
 [0 0 0 0 1 0]
 [0 0 1 0 0 2]]";0.4334485738980121;0.2813538416985812;"[[  0  34 103   0  45   0]
 [  0 150 206   0  48   0]
 [  0  10 461   0   9   0]
 [  0  10 402   0  62   0]
 [  0   7  38   0 390   0]
 [  0   1 222   0 114   2]]";0.4015984015984016;0.26160415365812667;"[[  0   6  42   0  32   0]
 [  0  61  96   0  20   0]
 [  0   5 184   0  12   0]
 [  0   7 173   0  31   0]
 [  0   4  18   0 157   0]
 [  0   1 100   0  52   0]]";12;[1 3 3 1 1 3]
3;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.7777777777777778;0.6043956043956044;"[[0 2 0 0 0 0]
 [0 5 0 0 0 0]
 [0 0 3 0 0 0]
 [0 1 1 0 0 0]
 [0 0 0 0 2 0]
 [0 0 0 0 0 4]]";0.4783362218370884;0.3229535282962392;"[[  0  82  26   0  79   0]
 [  0 282  49   0  59   1]
 [  0  36 381   0  25   0]
 [  0 118 246   0 156   0]
 [  0  13   2   0 421   0]
 [  0  41  62   0 209  20]]";0.46053946053946054;0.31013803793858435;"[[  0  27  10   0  43   0]
 [  0 119  28   0  30   0]
 [  0  18 169   0  14   0]
 [  0  54  93   0  64   0]
 [  0  10   5   0 164   0]
 [  0  22  22   0 100   9]]";18;[2 5 3 2 2 4]
4;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.7916666666666666;0.6775793650793651;"[[1 0 0 0 1 1]
 [0 7 0 0 0 0]
 [0 0 3 0 0 0]
 [0 2 0 0 0 1]
 [0 0 0 0 3 0]
 [0 0 0 0 0 5]]";0.49956559513466553;0.38786974636794175;"[[  2  77  13   0  82  10]
 [  0 291  23   0  64  12]
 [  0  79 316   0  40   2]
 [  2 201 135   0 181   5]
 [  0   9   1   0 424   2]
 [  0  23  27   0 164 117]]";0.46653346653346656;0.3597735444946734;"[[  0  27   4   0  45   4]
 [  0 123  18   0  29   7]
 [  0  52 123   0  26   0]
 [  2  79  52   0  77   1]
 [  0  10   1   0 168   0]
 [  0  10  10   0  80  53]]";24;[3 7 3 3 3 5]
5;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.8333333333333334;0.7705882352941176;"[[4 0 0 0 0 0]
 [0 7 0 0 0 0]
 [0 0 4 0 0 0]
 [2 0 0 0 0 3]
 [0 0 0 0 3 0]
 [0 0 0 0 0 7]]";0.5283101045296167;0.42274963539276844;"[[  6  60  15   0  83  18]
 [  3 256  31   0  65  34]
 [  0  50 337   0  37  13]
 [  6 107 183   0 175  52]
 [  0   8   1   0 419   7]
 [  1  15  20   0  99 195]]";0.5054945054945055;0.3972344993645442;"[[  0  17   6   0  48   9]
 [  4 106  23   0  32  12]
 [  2  28 140   0  25   6]
 [  2  46  66   0  77  20]
 [  0   6   1   0 168   4]
 [  0   5   9   0  47  92]]";30;[4 7 4 5 3 7]
6;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9444444444444444;0.9344017094017095;"[[3 0 0 1 0 0]
 [1 7 0 0 0 0]
 [0 0 6 0 0 0]
 [0 0 0 6 0 0]
 [0 0 0 0 4 0]
 [0 0 0 0 0 8]]";0.5877729257641922;0.507132066113787;"[[  4  21  11  68  66   7]
 [  5 117  22 177  56  12]
 [  0   6 316 114  19   0]
 [  2   3  78 328  92   3]
 [  0   3   3  10 411   5]
 [  0   0  36  41  84 170]]";0.5264735264735265;0.451286944850104;"[[  0   5   5  25  39   6]
 [  4  42  13  87  27   4]
 [  1   2 114  70  13   1]
 [  2   2  43 128  34   2]
 [  0   5   5   3 163   3]
 [  0   0  17  14  42  80]]";36;[4 8 6 6 4 8]
7;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9047619047619048;0.8812013694366635;"[[ 3  0  0  1  1  0]
 [ 1  8  0  0  0  0]
 [ 0  0  7  0  0  0]
 [ 1  0  0  6  0  0]
 [ 0  0  0  0  4  0]
 [ 0  0  0  0  0 10]]";0.5901926444833625;0.501113892659743;"[[  4  38  32   7  73  20]
 [  6 212  55   6  55  48]
 [  0  12 403  26  23   4]
 [  2  16 235  94 137  12]
 [  0   7   7   0 408  10]
 [  0   0  37   0  68 227]]";0.5234765234765235;0.4385680832923596;"[[  0  10  11   2  43  14]
 [  4  85  28   5  37  18]
 [  2   7 150  26  14   2]
 [  2   7 113  24  60   5]
 [  0   7   5   0 160   7]
 [  0   1  17   0  30 105]]";42;[ 5  9  7  7  4 10]
8;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9166666666666666;0.895959595959596;"[[ 4  0  0  0  1  0]
 [ 0 10  0  0  0  0]
 [ 0  0  8  0  0  0]
 [ 3  0  0  6  0  0]
 [ 0  0  0  0  5  0]
 [ 0  0  0  0  0 11]]";0.5899912203687445;0.49445889301789897;"[[  3  37  27   5  71  22]
 [  6 207  43  14  57  52]
 [  0  13 408  36  18   9]
 [  2  16 241  78 135  12]
 [  0   6   8   1 417   9]
 [  0   0  35   0  59 231]]";0.5114885114885115;0.4223555794586374;"[[  0  11  10   2  43  14]
 [  4  82  26   6  36  23]
 [  2   7 149  28  13   2]
 [  2  10 117  16  59   7]
 [  0   7   4   0 161   7]
 [  0   1  17   0  31 104]]";48;[ 5 10  8  9  5 11]
9;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9074074074074074;0.8743848743848743;"[[ 3  0  0  2  1  0]
 [ 0 13  0  0  0  0]
 [ 0  0  8  0  0  0]
 [ 2  0  0  7  0  0]
 [ 0  0  0  0  6  0]
 [ 0  0  0  0  0 12]]";0.610475352112676;0.5170898546194032;"[[  1  44  26   7  73  14]
 [  2 234  36  18  59  31]
 [  0  20 405  38  19   3]
 [  1  23 197 124 126   8]
 [  0   7   8   0 419   5]
 [  0   5  36   1  78 204]]";0.5424575424575424;0.4640071816935174;"[[  0  17   8   3  43   9]
 [  3  95  24   7  33  15]
 [  1  13 140  30  16   1]
 [  2  18  93  44  52   2]
 [  0   8   3   0 164   4]
 [  0   2  19   0  32 100]]";54;[ 6 13  8  9  6 12]
10;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9;0.8546905840009288;"[[ 2  0  2  2  0  0]
 [ 0 14  0  1  0  0]
 [ 0  0  9  0  0  0]
 [ 1  0  0  9  0  0]
 [ 0  0  0  0  7  0]
 [ 0  0  0  0  0 13]]";0.6063548102383054;0.4976717389040539;"[[  1  51  28   2  68  14]
 [  0 283  32   4  50  25]
 [  0  47 402  13  19   4]
 [  0  52 214  58 127  10]
 [  0   7   9   0 418   5]
 [  0   5  38   0  68 212]]";0.5324675324675324;0.4384899479547142;"[[  0  19   9   0  43   9]
 [  2 108  21   2  28  16]
 [  0  36 142   7  14   2]
 [  0  26 109  19  52   5]
 [  0   9   3   0 163   4]
 [  0   3  19   0  30 101]]";60;[ 6 15  9 10  7 13]
11;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9242424242424242;0.8526190476190476;"[[ 1  2  0  3  0  0]
 [ 0 19  0  0  0  0]
 [ 0  0  9  0  0  0]
 [ 0  0  0 11  0  0]
 [ 0  0  0  0  7  0]
 [ 0  0  0  0  0 14]]";0.6132743362831858;0.5165875050882756;"[[  0  95   7   3  45   9]
 [  0 373  17   2  26  12]
 [  0 120 289   8  17  11]
 [  0 181  92  91  87   9]
 [  0  22   4   0 393   9]
 [  0  37  14   0  47 240]]";0.5524475524475524;0.4710681081712203;"[[  0  35   5   0  33   7]
 [  0 152   6   1  13   5]
 [  0  79 103   1  15   3]
 [  0  92  40  38  35   6]
 [  0  19   2   0 153   5]
 [  0  12  12   0  22 107]]";66;[ 6 19  9 11  7 14]
12;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9166666666666666;0.8824757617861066;"[[ 3  1  0  4  0  0]
 [ 0 19  0  0  0  0]
 [ 0  0 10  0  0  1]
 [ 0  0  0 12  0  0]
 [ 0  0  0  0  8  0]
 [ 0  0  0  0  0 14]]";0.6748003549245786;0.6082263339819585;"[[ 18  48  18  17  45  18]
 [  1 337  25   8  39  20]
 [  0  66 323  28  13  16]
 [ 10  51 110 210  63  11]
 [  0  11   6   2 392  17]
 [  0  11  29   3  47 241]]";0.6023976023976024;0.5505485893099321;"[[  8  23   7   3  31   8]
 [  1 123  15   6  21  11]
 [  0  56 114  12  13   6]
 [  8  19  58  97  24   5]
 [  0  12   3   4 154   6]
 [  0   7  16   0  23 107]]";72;[ 8 19 11 12  8 14]
13;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9487179487179487;0.9409330628803246;"[[ 7  0  0  2  0  0]
 [ 0 19  0  0  0  0]
 [ 0  0 12  0  0  1]
 [ 1  0  0 13  0  0]
 [ 0  0  0  0  9  0]
 [ 0  0  0  0  0 14]]";0.7019572953736655;0.6367264141687481;"[[ 19  53  16  23  45   6]
 [  2 335  23  13  42  13]
 [  3  74 308  34  16   6]
 [ 19  44  43 297  49   8]
 [  1  11   5   5 396   9]
 [  0  14  29   6  58 223]]";0.6343656343656343;0.5807396392779475;"[[  9  22   6   6  31   6]
 [  3 120  15   8  25   6]
 [  0  59 110  15  13   4]
 [ 11  21  17 138  21   3]
 [  0  10   2   4 160   3]
 [  0   7  15   4  29  98]]";78;[ 9 19 13 14  9 14]
14;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9642857142857143;0.9565092165898618;"[[ 7  0  1  1  0  0]
 [ 0 21  0  0  0  0]
 [ 0  0 13  0  0  1]
 [ 0  0  0 15  0  0]
 [ 0  0  0  0 10  0]
 [ 0  0  0  0  0 15]]";0.6953612845673506;0.6254214400716593;"[[ 14  59  16  21  38   9]
 [  0 352  22  10  34  11]
 [  1  81 308  29  13   9]
 [  7  81  57 266  41   8]
 [  0  12   5   9 384  15]
 [  0  20  27   4  44 235]]";0.6353646353646354;0.5759444666231314;"[[  6  24   7   9  27   7]
 [  2 129  15   8  17   6]
 [  0  57 114  13  12   5]
 [  4  37  22 131  14   3]
 [  0  14   2   7 153   3]
 [  0   9  16   3  22 103]]";84;[ 9 21 14 15 10 15]
15;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9444444444444444;0.9227058227058227;"[[ 5  0  1  3  0  0]
 [ 0 22  0  0  0  0]
 [ 0  0 14  0  0  1]
 [ 0  0  0 17  0  0]
 [ 0  0  0  0 11  0]
 [ 0  0  0  0  0 16]]";0.7052772808586762;0.6314761476352856;"[[ 13  52  18  23  40   8]
 [  0 335  30  12  36  13]
 [  0  72 319  31  15  10]
 [  5  44  68 292  37  10]
 [  0   8   5   9 391  12]
 [  0  16  31   3  51 227]]";0.6353646353646354;0.5737133899327953;"[[  6  22   7  10  28   7]
 [  1 121  19  10  20   6]
 [  0  53 115  14  14   5]
 [  3  26  24 138  16   4]
 [  0  10   2   7 157   3]
 [  0   7  19   0  28  99]]";90;[ 9 22 15 17 11 16]
16;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9583333333333334;0.9467631497043262;"[[ 7  0  1  1  0  0]
 [ 0 23  0  0  0  0]
 [ 0  0 16  0  0  1]
 [ 1  0  0 17  0  0]
 [ 0  0  0  0 12  0]
 [ 0  0  0  0  0 17]]";0.6973094170403588;0.6146913999230706;"[[  7  51  26  18  33  10]
 [  0 328  32  10  32  12]
 [  0  69 356  18  11  11]
 [  9  32 122 248  33   9]
 [  0  12   9   5 385  14]
 [  0  18  33   3  43 231]]";0.6073926073926074;0.5508355636321701;"[[  6  20  13   5  29   7]
 [  1 120  24   6  19   7]
 [  0  46 120  14  14   7]
 [  2  19  62 109  14   5]
 [  0  13   3   5 154   4]
 [  0   8  20   1  25  99]]";96;[ 9 23 17 18 12 17]
17;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9607843137254902;0.9470272283997775;"[[ 7  0  0  2  1  0]
 [ 0 24  0  0  0  0]
 [ 0  0 16  0  0  1]
 [ 0  0  0 21  0  0]
 [ 0  0  0  0 13  0]
 [ 0  0  0  0  0 17]]";0.7324640287769785;0.6420324120963149;"[[  6  44  14  35  33   8]
 [  0 317  24  23  35  13]
 [  0  72 318  52  10  10]
 [  0  23  33 365  26   6]
 [  0   7   6  13 389  14]
 [  0  13  18  17  46 234]]";0.6473526473526473;0.5650695503654586;"[[  1  20   8  19  25   7]
 [  1 115  18  16  20   7]
 [  0  48 111  24  12   6]
 [  0   9  23 165  11   3]
 [  0  10   3   8 154   4]
 [  0   6  14   5  26 102]]";102;[10 24 17 21 13 17]
18;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9629629629629629;0.9565933653154749;"[[ 9  0  0  1  1  0]
 [ 0 25  0  0  0  0]
 [ 0  1 17  0  0  1]
 [ 0  0  0 22  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  0  0  0 17]]";0.7281334535617674;0.6383380305051775;"[[  6  41  38  18  33   2]
 [  0 312  47  11  29   6]
 [  0  49 381  22  12   5]
 [  1  21  81 311  30   7]
 [  0   8  10   5 396  10]
 [  1  11  40   6  59 209]]";0.6403596403596403;0.565807220515547;"[[  2  19  14  12  27   6]
 [  2 111  31   7  22   4]
 [  0  37 138  11  11   4]
 [  2   8  46 138  13   4]
 [  0  12   3   4 157   3]
 [  0   6  22   2  28  95]]";108;[11 25 19 22 14 17]
19;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9736842105263158;0.96239274595841;"[[ 9  0  0  1  1  0]
 [ 0 27  0  0  0  0]
 [ 0  0 20  0  0  0]
 [ 0  0  0 23  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  0  0  0 18]]";0.7364376130198915;0.6439759253795417;"[[  5  56  28  19  25   3]
 [  0 302  45  12  21  13]
 [  1  55 378  28   9   8]
 [  2  25  58 338  22   9]
 [  0  15   9   7 380  15]
 [  0  14  38   7  39 226]]";0.6633366633366633;0.5845699666103844;"[[  2  22  14  11  24   7]
 [  2 122  26   7  11   9]
 [  0  36 134  14  12   5]
 [  1  10  29 158  10   3]
 [  0  19   3   5 148   4]
 [  0   6  21   2  24 100]]";114;[11 27 20 23 14 19]
20;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9583333333333334;0.9442525984000639;"[[ 9  0  0  1  1  0]
 [ 0 29  0  0  0  0]
 [ 1  0 19  0  0  1]
 [ 0  0  0 24  0  0]
 [ 0  0  0  0 15  0]
 [ 1  0  0  0  0 19]]";0.7302810516772439;0.6366817373110475;"[[  4  52  32  13  28   6]
 [  0 294  49  11  24  13]
 [  1  54 380  23  12   9]
 [  2  24  66 318  32   9]
 [  0  10   9   8 389  11]
 [  0  13  35   3  46 226]]";0.6563436563436563;0.5796855644296103;"[[  2  19  14  10  28   7]
 [  1 121  28   6  15   6]
 [  0  35 133  13  14   6]
 [  2  12  32 149  13   3]
 [  0  17   3   4 150   5]
 [  0   7  18   1  25 102]]";120;[11 29 21 24 15 20]
21;CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212;0.9365079365079365;0.9191574591667412;"[[ 9  1  0  1  1  1]
 [ 0 29  0  0  0  0]
 [ 1  0 20  0  0  1]
 [ 1  0  0 25  0  0]
 [ 0  0  0  0 15  0]
 [ 1  0  0  0  0 20]]";0.7386363636363636;0.6428045262653339;"[[  4  54  26  15  27   6]
 [  0 302  37  15  23  14]
 [  1  56 369  26  11  14]
 [  1  22  59 330  29  10]
 [  0   8   8   7 391  13]
 [  0  16  30   5  42 229]]";0.6573426573426573;0.5785750878646511;"[[  2  20  13   9  28   8]
 [  0 121  23  12  12   9]
 [  0  35 130  15  12   9]
 [  2  11  27 152  15   4]
 [  0  15   3   5 150   6]
 [  0   7  18   1  24 103]]";126;[13 29 22 26 15 21]
