;dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;labeled accuracy;labeled macro-f1;labeled confusion;unlabeled accuracy;unlabeled macro-f1;unlabeled confusion;test accuracy;test macro-f1;test confusion;budget used;class distrubution
0;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.0;0.0;[[]];0.1943250214961307;0.1487954206206255;"[[ 16  12  54  73  22   7]
 [ 31  42  85 204  35  16]
 [ 33  35  87 284  15  13]
 [ 30  23 128 263  34  12]
 [ 47  66 138 117  22  27]
 [ 18  39  65 178  33  22]]";0.2017982017982018;0.15543017144111693;"[[  8  11  24  23  11   3]
 [ 12  16  35  94  10  10]
 [ 20  28  44  98   7   4]
 [ 13  12  52 114  14   6]
 [ 21  24  69  45  10  10]
 [  8  13  30  84   8  10]]";0;[]
1;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.6666666666666666;0.5833333333333333;"[[1 0 1 0]
 [0 0 1 0]
 [0 0 2 0]
 [0 0 0 1]]";0.1956896551724138;0.06866368814468411;"[[  0   0   0   0 178   0]
 [  0   9   0   0 404   0]
 [  0   0   0   0 463   0]
 [  0   0   0   0 485   0]
 [  0   0   0   0 436   0]
 [  0   0   0   0 336   9]]";0.18281718281718282;0.05876243150591167;"[[  0   0   0   0  80   0]
 [  0   2   0   0 175   0]
 [  0   0   0   0 201   0]
 [  0   0   0   0 211   0]
 [  0   0   0   0 179   0]
 [  0   0   0   0 151   2]]";6;[0 2 0 1 2 1]
2;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.8333333333333334;0.7444444444444445;"[[0 0 1 0 1 0]
 [0 4 0 0 0 0]
 [0 0 1 0 0 0]
 [0 0 0 1 0 0]
 [0 0 0 0 2 0]
 [0 0 0 0 0 2]]";0.4157303370786517;0.27750888361908693;"[[  0   4 130   0  47   0]
 [  0  57 309   0  41   1]
 [  0   1 469   0  11   0]
 [  0   1 404   0  67   0]
 [  0   0  40   0 391   2]
 [  0   0 217   0  77  45]]";0.3856143856143856;0.25724141595548833;"[[  0   0  48   0  32   0]
 [  0  15 147   0  15   0]
 [  0   1 192   0   8   0]
 [  0   2 176   1  32   0]
 [  0   0  23   0 155   1]
 [  0   0 100   0  30  23]]";12;[2 4 1 1 2 2]
3;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.8888888888888888;0.9054834054834054;"[[2 1 0 0 1 0]
 [0 5 0 0 0 0]
 [0 0 2 0 0 0]
 [0 0 0 1 0 0]
 [0 0 0 0 3 0]
 [0 0 0 0 0 3]]";0.5272963604852686;0.41363762861008446;"[[  5  40  45   0  82   9]
 [  0 212 102   0  68  23]
 [  0  17 432   0  30   0]
 [  0   9 286   0 169   8]
 [  0   5   6   0 412   8]
 [  0   2  64   0 118 156]]";0.5034965034965035;0.3919075148892371;"[[  0  11  20   0  45   4]
 [  0  91  41   0  34  11]
 [  0   6 179   0  15   1]
 [  2   7 132   1  68   1]
 [  0   6   2   0 167   4]
 [  0   2  34   0  51  66]]";18;[4 5 2 1 3 3]
4;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9166666666666666;0.916005291005291;"[[3 0 0 0 1 0]
 [0 7 0 0 0 0]
 [0 0 2 0 0 0]
 [1 0 0 4 0 0]
 [0 0 0 0 3 0]
 [0 0 0 0 0 3]]";0.6611642050390965;0.5565490001754895;"[[  3  60  11  46  51   2]
 [  1 277  35  49  43   2]
 [  0  18 361  80  13   0]
 [  2  13  32 375  58   1]
 [  0  11   1   9 407   2]
 [  3  10  28 101  98  99]]";0.6133866133866134;0.5187316043858282;"[[  0  23   5  20  32   0]
 [  1 109  19  24  22   2]
 [  0   7 144  36  13   1]
 [  2  10  15 156  28   0]
 [  0  10   1   8 158   2]
 [  1   5  12  44  44  47]]";24;[4 7 2 5 3 3]
5;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9333333333333333;0.9386087768440708;"[[3 0 0 0 0 1]
 [0 8 0 0 0 1]
 [0 0 3 0 0 0]
 [0 0 0 5 0 0]
 [0 0 0 0 4 0]
 [0 0 0 0 0 5]]";0.6276132404181185;0.5300928490751756;"[[  2  28  40   2  55  39]
 [  1 195  95   0  41  57]
 [  0  10 448  10   9  18]
 [  0   8 194 145  80  43]
 [  0   5  15   0 399  12]
 [  0   2  42   1  48 252]]";0.5744255744255744;0.48397875306880817;"[[  0  10  20   0  37  13]
 [  1  72  51   0  24  29]
 [  0   4 175   5  10   7]
 [  1   5  90  59  37  19]
 [  0   7   6   1 157   8]
 [  0   1  18   0  22 112]]";30;[4 9 3 5 4 5]
6;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9166666666666666;0.9040032679738562;"[[2 0 0 2 0 0]
 [0 8 0 0 0 1]
 [0 0 4 0 0 0]
 [0 0 0 7 0 0]
 [0 0 0 0 4 0]
 [0 0 0 0 0 8]]";0.6672489082969433;0.5757515050435092;"[[  2  30  16   5  43  64]
 [  1 201  52   2  36  94]
 [  0  10 392  35   9  48]
 [  0   9  51 267  53  88]
 [  0   6   3   1 367  40]
 [  0   1  23   3  39 299]]";0.6143856143856143;0.5281214611691939;"[[  0  12   6   3  30  29]
 [  1  74  33   0  20  49]
 [  0   6 147  16  10  22]
 [  0   5  25 119  26  36]
 [  0   5   1   4 152  17]
 [  0   0  12   0  18 123]]";36;[4 9 4 7 4 8]
7;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9761904761904762;0.9727095516569202;"[[4 1 0 0 0 0]
 [0 9 0 0 0 0]
 [0 0 5 0 0 0]
 [0 0 0 9 0 0]
 [0 0 0 0 5 0]
 [0 0 0 0 0 9]]";0.6838879159369528;0.5864339181833714;"[[  2  42  19   2  52  40]
 [  1 217  63   2  50  49]
 [  0  12 430  27  11  14]
 [  0  13  82 254  61  58]
 [  0   5   4   0 387  24]
 [  0   3  35   0  53 272]]";0.6183816183816184;0.5315938177172466;"[[  0  15  11   1  36  17]
 [  1  81  40   0  25  30]
 [  0   6 163  11  11  10]
 [  0   8  38 115  23  27]
 [  0   6   2   2 149  20]
 [  1   1  16   0  24 111]]";42;[5 9 5 9 5 9]
8;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9791666666666666;0.9769119769119768;"[[ 5  0  0  0  0  0]
 [ 1 10  0  0  0  0]
 [ 0  0  7  0  0  0]
 [ 0  0  0  9  0  0]
 [ 0  0  0  0  6  0]
 [ 0  0  0  0  0 10]]";0.6777875329236172;0.5821494284836118;"[[  3  39  20   2  49  42]
 [  1 220  67   2  50  43]
 [  0  13 438  21   9  15]
 [  0  12 102 229  63  57]
 [  0   6   3   0 381  29]
 [  0   3  39   0  47 273]]";0.6163836163836164;0.537278876235591;"[[  2  13  10   1  36  18]
 [  1  84  40   0  23  29]
 [  0   6 164   7  10  14]
 [  0   8  43 109  24  27]
 [  0   7   1   2 147  22]
 [  1   1  18   0  22 111]]";48;[ 5 11  7  9  6 10]
9;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9259259259259259;0.9143939393939394;"[[ 4  0  0  2  0  0]
 [ 1 11  0  0  1  0]
 [ 0  0  8  0  0  0]
 [ 0  0  0 10  0  0]
 [ 0  0  0  0  7  0]
 [ 0  0  0  0  0 10]]";0.670774647887324;0.5721308289852252;"[[  2  30  41   7  53  21]
 [  0 167 123   2  47  30]
 [  0   5 463  21  12   6]
 [  0   8 118 263  52  20]
 [  0   4   9   1 397  12]
 [  0   2  51   4  69 232]]";0.6113886113886113;0.5262973669701334;"[[  2  12  18   1  34  13]
 [  1  56  76   0  25  19]
 [  0   4 175   9  10   3]
 [  0   7  47 122  24  11]
 [  0   6   3   1 156  13]
 [  1   2  23   1  25 101]]";54;[ 6 13  8 10  7 10]
