;dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;labeled accuracy;labeled macro-f1;labeled confusion;unlabeled accuracy;unlabeled macro-f1;unlabeled confusion;test accuracy;test macro-f1;test confusion;budget used;class distrubution
0;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.0;0.0;[[]];0.1943250214961307;0.1487954206206255;"[[ 16  12  54  73  22   7]
 [ 31  42  85 204  35  16]
 [ 33  35  87 284  15  13]
 [ 30  23 128 263  34  12]
 [ 47  66 138 117  22  27]
 [ 18  39  65 178  33  22]]";0.2017982017982018;0.15543017144111693;"[[  8  11  24  23  11   3]
 [ 12  16  35  94  10  10]
 [ 20  28  44  98   7   4]
 [ 13  12  52 114  14   6]
 [ 21  24  69  45  10  10]
 [  8  13  30  84   8  10]]";0;[]
1;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.3333333333333333;0.2666666666666667;"[[0 0 0 2 0]
 [0 1 0 0 0]
 [0 0 0 1 0]
 [0 0 0 1 0]
 [0 0 0 1 0]]";0.19267241379310346;0.060422938740796996;"[[  0   0   0   0 179   0]
 [  0   3   0   0 409   0]
 [  0   0   7   0 454   0]
 [  0   0   0   0 486   0]
 [  0   0   0   0 437   0]
 [  0   0   0   0 345   0]]";0.18281718281718282;0.05726461963037032;"[[  0   0   0   0  80   0]
 [  0   0   1   0 176   0]
 [  0   0   4   0 197   0]
 [  0   0   0   0 211   0]
 [  0   0   0   0 179   0]
 [  0   0   1   0 152   0]]";6;[0 2 1 1 1 1]
2;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.75;0.6011904761904762;"[[0 1 1 0 0 0]
 [0 3 0 0 0 0]
 [0 0 3 0 0 0]
 [0 0 1 0 0 0]
 [0 0 0 0 1 0]
 [0 0 0 0 0 2]]";0.4338807260155575;0.2814583269122961;"[[  0  38 100   0  47   0]
 [  0 151 202   0  47   0]
 [  0  10 461   0   9   0]
 [  0  10 400   0  64   0]
 [  0   7  38   0 390   0]
 [  0   1 218   0 119   2]]";0.4035964035964036;0.26298168094321395;"[[  0   8  40   0  32   0]
 [  0  63  93   0  21   0]
 [  0   5 184   0  12   0]
 [  0   7 173   0  31   0]
 [  0   4  18   0 157   0]
 [  0   2  99   0  52   0]]";12;[2 3 3 1 1 2]
3;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.7222222222222222;0.5873015873015873;"[[0 4 0 0 0 0]
 [0 4 0 0 0 0]
 [0 0 3 0 0 0]
 [0 0 1 0 0 0]
 [0 0 0 0 3 0]
 [0 0 0 0 0 3]]";0.48700173310225303;0.3209099080909898;"[[  0  65  22   0  98   0]
 [  0 262  58   0  78   0]
 [  0  28 413   0  37   0]
 [  0  53 197   0 210   0]
 [  0  10   5   0 437   0]
 [  0  26  61   0 236  12]]";0.4515484515484515;0.29938999927747156;"[[  0  21  10   0  49   0]
 [  0 107  32   0  38   0]
 [  0  10 173   0  18   0]
 [  0  27  88   0  96   0]
 [  0   8   2   0 169   0]
 [  0   9  21   0 120   3]]";18;[4 4 3 1 3 3]
4;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.75;0.6547619047619048;"[[2 0 1 0 0 2]
 [0 5 0 0 0 0]
 [0 0 3 0 0 0]
 [0 0 2 0 1 0]
 [0 0 0 0 3 0]
 [0 0 0 0 0 5]]";0.5230234578627281;0.4047922956255479;"[[  3  32  15   0 106  26]
 [  0 195  58   0 103  40]
 [  0  14 413   0  49   2]
 [  1  22 173   0 254  10]
 [  0   7   1   0 437   6]
 [  0   2  39   0 138 156]]";0.48151848151848153;0.37431702497016756;"[[  0  10   6   0  51  13]
 [  0  69  32   0  57  19]
 [  0   6 165   0  30   0]
 [  2   6  84   0 113   6]
 [  0   4   1   0 171   3]
 [  0   2  13   0  61  77]]";24;[5 5 3 3 3 5]
5;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.8666666666666667;0.7854030501089325;"[[7 0 0 0 0 0]
 [0 5 0 0 0 0]
 [0 0 4 0 0 0]
 [3 0 1 0 0 0]
 [0 0 0 0 4 0]
 [0 0 0 0 0 6]]";0.45993031358885017;0.36701169277330054;"[[100  10  15   0  76   0]
 [188  99  35   0  63   1]
 [ 47   3 381   0  42   0]
 [113   8 133   0 202   2]
 [ 13   3   2   0 434   0]
 [105   0  26   0 153  42]]";0.4065934065934066;0.32638299863115683;"[[ 32   3   7   0  38   0]
 [ 87  32  23   0  35   0]
 [ 21   3 154   0  23   0]
 [ 58   4  60   0  89   0]
 [  9   1   2   0 167   0]
 [ 48   1  13   0  69  22]]";30;[7 5 4 4 4 6]
6;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.8333333333333334;0.7671957671957671;"[[8 0 0 0 0 0]
 [0 6 0 0 0 0]
 [0 0 5 0 0 0]
 [2 0 4 0 0 0]
 [0 0 0 0 4 0]
 [0 0 0 0 0 7]]";0.4873362445414847;0.37728819298718785;"[[ 46  20  42   0  84   2]
 [ 35 136 116   0  80   1]
 [  8   6 457   0  24   1]
 [  4   7 250   0 195   2]
 [  5   4   9   0 432   2]
 [ 24   1  81   0 171  45]]";0.4255744255744256;0.32543560754917145;"[[ 15   4  19   0  41   1]
 [ 18  44  68   0  47   0]
 [  0   3 180   0  18   0]
 [  4   4 111   0  91   1]
 [  3   4   7   0 165   0]
 [ 16   1  33   0  81  22]]";36;[8 6 5 6 4 7]
7;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.8571428571428571;0.7733475101896156;"[[8 0 0 0 0 0]
 [0 8 0 0 0 0]
 [0 0 5 0 0 0]
 [3 2 1 0 0 0]
 [0 0 0 0 6 0]
 [0 0 0 0 0 9]]";0.5415936952714536;0.44104100937720664;"[[ 40  46  18   0  81   8]
 [ 15 232  51   0  60  10]
 [  3  19 435   0  36   1]
 [  4  87 142   0 218   5]
 [  5   7   2   0 441   2]
 [ 22   4  46   0 155  89]]";0.4875124875124875;0.4038847799649899;"[[ 13  14   7   0  42   4]
 [  9  94  36   0  34   4]
 [  0  10 168   0  23   0]
 [  4  36  63   0 105   3]
 [  2   8   3   0 166   0]
 [  9   4  22   0  71  47]]";42;[8 8 5 6 6 9]
8;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.8333333333333334;0.7536173208942087;"[[ 8  0  0  0  0  0]
 [ 0  9  0  0  0  0]
 [ 0  0  6  0  0  0]
 [ 3  0  3  0  1  1]
 [ 0  0  0  0  6  0]
 [ 0  0  0  0  0 11]]";0.5553116769095698;0.46484051546201816;"[[ 43  29  22   0  76  18]
 [ 21 197  65   0  56  24]
 [  5   9 445   0  36   4]
 [  8  37 172   0 211  26]
 [  5   4   4   0 436   7]
 [ 16   3  45   0 110 144]]";0.5064935064935064;0.4248026374626015;"[[ 13   8   9   0  43   7]
 [  9  76  46   0  37   9]
 [  1   4 175   0  20   1]
 [  5  19  79   0  97  11]
 [  1   5   2   0 168   3]
 [  9   1  21   0  47  75]]";48;[ 8  9  6  8  6 11]
9;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.8888888888888888;0.8662849431270484;"[[ 8  0  0  0  0  0]
 [ 1 12  0  0  0  0]
 [ 0  0  6  0  0  0]
 [ 2  0  2  4  1  0]
 [ 0  0  0  0  6  0]
 [ 0  0  0  0  0 12]]";0.5783450704225352;0.4850862924441041;"[[ 36  39  27   0  66  14]
 [ 19 224  75   0  46  21]
 [  4  13 437   0  31   5]
 [  4  81 149   3 182  29]
 [  4   8   4   0 427   7]
 [ 16   5  37   0  72 187]]";0.5254745254745254;0.44335514911770463;"[[ 13  14  11   0  35   7]
 [  9  90  46   0  23   9]
 [  1   4 175   0  20   1]
 [  4  35  71   0  90  11]
 [  1   9   3   0 161   5]
 [ 10   1  21   0  34  87]]";54;[ 8 13  6  9  6 12]
10;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.95;0.9473366140032806;"[[ 8  0  0  0  0  0]
 [ 0 14  0  0  0  0]
 [ 0  0  6  0  0  0]
 [ 2  0  0 10  0  0]
 [ 0  0  0  0  6  0]
 [ 0  0  1  0  0 13]]";0.6747572815533981;0.6149470175709272;"[[ 34  42  17  23  60   6]
 [ 22 243  50  11  47  12]
 [  5  11 414  28  26   2]
 [  5  31  45 269  93   5]
 [  4  10   4   6 421   5]
 [ 16   4  41   9  97 148]]";0.6193806193806194;0.559476840535953;"[[  9  18   5   6  36   6]
 [  9  90  41   3  27   7]
 [  1   5 168   7  19   1]
 [  4  12  20 125  49   1]
 [  1  14   2   2 158   2]
 [ 13   1  20   1  48  70]]";60;[ 8 14  6 12  6 14]
11;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9696969696969697;0.9631483600305111;"[[ 7  0  1  0  0  0]
 [ 0 15  0  0  0  0]
 [ 0  0  9  0  0  0]
 [ 1  0  0 11  0  0]
 [ 0  0  0  0  6  0]
 [ 0  0  0  0  0 16]]";0.618141592920354;0.5454166710601208;"[[ 20  55  50   6  45   5]
 [ 12 274  92   1  25   3]
 [  1  16 450   9  22   2]
 [  1  59 131 152  99   3]
 [  2  42  10   2 377   3]
 [  3  12  89   0  63 124]]";0.5504495504495505;0.4850811805180309;"[[  5  24  22   2  27   0]
 [  7 101  56   0  13   0]
 [  0  12 169   3  17   0]
 [  1  32  52  77  48   1]
 [  2  24   6   1 144   2]
 [  0   4  58   0  36  55]]";66;[ 8 15  9 12  6 16]
12;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9583333333333334;0.9431645478704302;"[[ 7  0  1  0  1  0]
 [ 0 17  0  0  0  0]
 [ 0  0 10  0  0  0]
 [ 1  0  0 12  0  0]
 [ 0  0  0  0  6  0]
 [ 0  0  0  0  0 17]]";0.6672582076308784;0.6051940588021365;"[[ 26  50  42  10  46   6]
 [ 21 268  80   3  29   4]
 [  1  15 454  18  21   6]
 [  2  43  84 231  72   5]
 [  2  39   8   2 372   5]
 [  4  12  63   4  53 153]]";0.6013986013986014;0.5490802698487444;"[[  9  19  17   3  29   3]
 [  9 100  53   0  12   3]
 [  1  12 163   6  17   2]
 [  2  24  35 112  37   1]
 [  2  24   6   1 144   2]
 [  1   3  45   0  30  74]]";72;[ 9 17 10 13  6 17]
13;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9615384615384616;0.9444548704510755;"[[ 7  0  1  1  1  0]
 [ 0 19  0  0  0  0]
 [ 0  0 10  0  0  0]
 [ 0  0  0 15  0  0]
 [ 0  0  0  0  6  0]
 [ 0  0  0  0  0 18]]";0.6935053380782918;0.6178032651667157;"[[ 17  68  34  17  35   7]
 [  8 313  57   5  18   4]
 [  1  19 450  25  16   3]
 [  1  55  72 267  39   3]
 [  2  43   8   2 366   4]
 [  1  16  69   4  53 146]]";0.6213786213786214;0.5517552227085608;"[[  4  29  12  11  20   4]
 [  5 117  44   0  11   0]
 [  0  15 161   7  17   1]
 [  3  25  29 129  24   1]
 [  0  27   6   3 141   2]
 [  1   4  44   0  34  70]]";78;[10 19 10 15  6 18]
14;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9404761904761905;0.9162291412291412;"[[ 7  0  1  1  2  0]
 [ 0 19  0  0  0  0]
 [ 0  0 11  0  0  0]
 [ 0  0  0 17  0  0]
 [ 0  0  0  0  6  0]
 [ 0  0  1  0  0 19]]";0.6922390722569135;0.615382460018585;"[[ 15  51  32  22  45  11]
 [ 12 284  73   7  24   5]
 [  1  13 447  23  16   4]
 [  3  34  74 275  45   4]
 [  1  34   6   4 374   5]
 [  1   7  77   8  48 157]]";0.6263736263736264;0.5560417351298919;"[[  4  24  12  12  24   4]
 [  6 105  46   1  16   3]
 [  1  12 163   5  18   2]
 [  3  17  31 135  24   1]
 [  0  23   5   2 146   3]
 [  1   2  43   0  33  74]]";84;[11 19 11 17  6 20]
15;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9444444444444444;0.9236709660329686;"[[ 8  1  0  1  2  0]
 [ 0 20  0  0  0  0]
 [ 0  0 11  0  0  0]
 [ 1  0  0 18  0  0]
 [ 0  0  0  0  6  0]
 [ 0  0  0  0  0 22]]";0.7128801431127012;0.63562908459608;"[[ 15  62  24  16  35  19]
 [ 16 306  47   4  17  20]
 [  3  17 426  21  19  11]
 [  1  42  53 285  43   8]
 [  2  36   2   3 373   6]
 [  5   9  49   5  47 189]]";0.6483516483516484;0.5816017316956757;"[[  6  25   7   9  23  10]
 [  7 111  31   1  12  15]
 [  1  12 159   8  17   4]
 [  4  19  23 137  25   3]
 [  0  24   3   2 144   6]
 [  2   2  28   0  29  92]]";90;[12 20 11 19  6 22]
16;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9583333333333334;0.948802180106528;"[[10  0  0  1  1  0]
 [ 1 22  0  0  0  0]
 [ 0  0 12  0  0  0]
 [ 0  0  0 19  0  0]
 [ 0  0  0  0  7  0]
 [ 0  0  1  0  0 22]]";0.6860986547085202;0.6272335358828062;"[[ 27  57  24  11  38  12]
 [ 18 327  61   4  26  11]
 [  4  44 361  19  21   6]
 [  3  43  55 271  53   5]
 [  8  31   4   1 377   5]
 [  9  11  51   4  61 167]]";0.6123876123876124;0.5619755974373859;"[[ 10  22   9   5  28   6]
 [ 12 117  27   2  13   6]
 [  0  35 137   8  18   3]
 [  3  18  27 127  34   2]
 [  6  22   3   0 144   4]
 [  5   4  32   0  34  78]]";96;[12 23 12 19  7 23]
17;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9607843137254902;0.9579900367803759;"[[10  1  0  1  0  0]
 [ 1 22  0  0  0  0]
 [ 0  0 14  0  0  0]
 [ 0  0  0 21  0  0]
 [ 0  0  0  0  7  0]
 [ 0  0  1  0  0 24]]";0.6955935251798561;0.6377312855925954;"[[ 27  42  30  23  30  15]
 [ 20 310  79   7  20   9]
 [  2  33 373  20  15   8]
 [  2  32  69 296  32   5]
 [  7  30  11   2 365   5]
 [  4   6  70   9  40 176]]";0.6323676323676324;0.5788170003427157;"[[ 10  19  12  10  22   7]
 [ 12 112  35   2   9   7]
 [  0  29 143   9  16   4]
 [  3  15  27 146  18   2]
 [  6  22   4   2 140   5]
 [  2   2  42   0  25  82]]";102;[12 23 14 21  7 25]
18;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9629629629629629;0.955253691065614;"[[11  1  0  1  0  0]
 [ 1 23  0  0  0  0]
 [ 0  0 14  0  0  0]
 [ 0  0  0 23  0  0]
 [ 0  0  0  0  7  1]
 [ 0  0  0  0  0 26]]";0.6934174932371506;0.6404001954786188;"[[ 31  65  15  19  32  17]
 [ 12 337  65   4  18   8]
 [  3  47 347  21  15  10]
 [  3  56  52 276  34   6]
 [  6  41   6   2 365   7]
 [  8  10  48   7  43 182]]";0.6153846153846154;0.568001272304448;"[[ 10  32   8   3  19   8]
 [ 11 118  31   1  10   6]
 [  1  42 127   9  17   5]
 [  3  20  25 137  23   3]
 [  6  28   3   1 136   5]
 [  2   3  34   0  26  88]]";108;[13 24 14 23  8 26]
19;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9736842105263158;0.9684773280381335;"[[13  0  0  1  0  0]
 [ 1 25  0  0  0  0]
 [ 0  0 15  0  0  0]
 [ 0  0  0 24  0  0]
 [ 0  0  0  0  8  0]
 [ 0  0  0  0  1 26]]";0.6849005424954792;0.6463841806135906;"[[ 56  47  16  11  35  13]
 [ 18 318  66   3  29   8]
 [  5  37 353  20  22   5]
 [ 20  43  66 248  45   4]
 [  9  27   7   1 378   5]
 [ 19  10  48   3  55 162]]";0.6133866133866134;0.577766971118541;"[[ 18  22   9   1  23   7]
 [ 16 109  32   1  14   5]
 [  1  31 133   9  23   4]
 [ 12  18  25 128  26   2]
 [  6  22   2   0 145   4]
 [  2   3  37   0  30  81]]";114;[14 26 15 24  8 27]
20;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9583333333333334;0.955312520631148;"[[13  0  0  1  0  0]
 [ 0 26  1  0  0  0]
 [ 0  0 15  0  0  0]
 [ 0  1  1 26  0  0]
 [ 0  0  0  0  8  0]
 [ 0  0  0  0  1 27]]";0.7026291931097008;0.6638958150845515;"[[ 48  62  13  21  24  10]
 [  9 341  57   7  15  11]
 [  2  51 332  27  20   8]
 [ 11  49  48 288  27   4]
 [  7  39   8   5 360   6]
 [  5  16  46  10  38 181]]";0.6223776223776224;0.5825158082059471;"[[ 15  29   7   5  16   8]
 [ 14 119  28   3   8   5]
 [  2  41 126  10  18   4]
 [  9  20  20 145  15   2]
 [  5  30   4   3 132   5]
 [  2   5  35   0  25  86]]";120;[14 27 15 28  8 28]
21;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9920634920634921;0.9917987971569163;"[[15  0  0  1  0  0]
 [ 0 27  0  0  0  0]
 [ 0  0 16  0  0  0]
 [ 0  0  0 29  0  0]
 [ 0  0  0  0  9  0]
 [ 0  0  0  0  0 29]]";0.7040909090909091;0.6622723876012216;"[[ 48  44  15  15  37  13]
 [ 11 324  58  11  24  10]
 [  2  45 324  35  21   8]
 [  6  35  38 304  40   4]
 [  5  31   9   1 383   6]
 [  8  13  44   7  55 166]]";0.6313686313686314;0.5901713766515241;"[[ 16  21   9   4  23   7]
 [ 15 113  28   3  14   4]
 [  2  24 130  19  23   3]
 [  6  16  21 141  25   2]
 [  4  20   3   2 146   4]
 [  5   5  28   1  28  86]]";126;[16 27 16 29  9 29]
