;dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;labeled accuracy;labeled macro-f1;labeled confusion;unlabeled accuracy;unlabeled macro-f1;unlabeled confusion;test accuracy;test macro-f1;test confusion;budget used;class distrubution
0;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.0;0.0;[[]];0.1831470335339639;0.067941756668492;"[[  0   0   2  10 172   0]
 [  0   0   0  31 382   0]
 [  0   0   0  44 423   0]
 [  0   0   2  33 455   0]
 [  0   0   4  20 393   0]
 [  0   0   7  21 327   0]]";0.1848151848151848;0.0693712189647149;"[[  0   0   2   4  74   0]
 [  0   0   1  14 162   0]
 [  0   0   0  16 185   0]
 [  0   0   1  15 195   0]
 [  0   0   2   7 170   0]
 [  0   0   3   8 142   0]]";0;[]
1;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;1.0;1.0;"[[1 0 0 0]
 [0 1 0 0]
 [0 0 1 0]
 [0 0 0 3]]";0.27025862068965517;0.15829460769782136;"[[ 11   4 151  17   0   0]
 [ 15   7 365  26   0   0]
 [ 11   0 392  63   0   0]
 [  8   1 268 213   0   0]
 [  8   0 323  85   0   0]
 [ 12   1 303  32   0   4]]";0.27172827172827174;0.15496871173199675;"[[  4   4  57  15   0   0]
 [  7   2 155  13   0   0]
 [  1   0 168  32   0   0]
 [  2   0 112  97   0   0]
 [  3   1 139  36   0   0]
 [  2   0 140  10   0   1]]";6;[1 1 0 1 0 3]
2;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9166666666666666;0.9047619047619048;"[[1 0 0 0 0]
 [0 3 0 0 0]
 [0 1 1 0 0]
 [0 0 0 2 0]
 [0 0 0 0 4]]";0.3418323249783924;0.22966143544560821;"[[  1  80  49   0  47   0]
 [  0 347  73   0  46   0]
 [  0 319  82   3  13   0]
 [  0 262  84  29 110   0]
 [  0  35  54   3 329   0]
 [  0 163 111   0  71   3]]";0.3196803196803197;0.2204451337263935;"[[  1  32  23   2  22   0]
 [  0 122  31   0  24   0]
 [  0 150  37   0  14   0]
 [  0 119  23  13  56   0]
 [  0  13  19   1 146   0]
 [  0  76  48   0  28   1]]";12;[1 3 0 2 2 4]
3;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9444444444444444;0.942857142857143;"[[2 0 0 0 0 0]
 [0 3 0 0 0 0]
 [0 0 1 0 0 0]
 [0 1 0 2 0 0]
 [0 0 0 0 4 0]
 [0 0 0 0 0 5]]";0.36915077989601386;0.20860734287733604;"[[  0 113   0   2  60   0]
 [  0 398   0   0  68   0]
 [  0 374   1   6  34   0]
 [  1 281   0  51 152   0]
 [  0  23   0   0 400   0]
 [  0 172   0   0 170   2]]";0.33466533466533466;0.19827369614931248;"[[  1  46   0   3  30   0]
 [  0 145   0   1  31   0]
 [  0 177   0   3  21   0]
 [  1 124   0  22  64   0]
 [  0  12   0   1 166   0]
 [  0  78   0   0  74   1]]";18;[2 3 1 3 4 5]
4;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.8333333333333334;0.7888167388167387;"[[2 0 0 0 1 0]
 [0 3 0 0 0 0]
 [0 0 1 2 0 0]
 [0 1 0 3 0 0]
 [0 0 0 0 5 0]
 [0 0 0 0 0 6]]";0.4721980886185925;0.3449592718119982;"[[  0  78   8   4  82   0]
 [  0 324  30   1 106   0]
 [  0 131 231  13  41   0]
 [  1  95  82 106 201   0]
 [  0  10   3   1 418   0]
 [  0  55  67   2 204   8]]";0.4245754245754246;0.31569617423860935;"[[  1  32   3   6  38   0]
 [  0 112  11   2  52   0]
 [  0  85  86   6  24   0]
 [  1  40  37  50  83   0]
 [  0   3   2   1 173   0]
 [  0  17  49   1  83   3]]";24;[3 3 3 4 5 6]
5;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9;0.8873015873015873;"[[3 0 0 0 0 0]
 [0 3 0 0 0 0]
 [0 0 2 2 0 0]
 [1 0 0 6 0 0]
 [0 0 0 0 5 0]
 [0 0 0 0 0 8]]";0.5936411149825784;0.48976991751580323;"[[  0  66   3  29  68   1]
 [  0 328  13  22  94   2]
 [  0 120 203  59  36   0]
 [  1  38  21 339  89   1]
 [  0  10   2   4 413   0]
 [  0  43   9  30 172  80]]";0.5404595404595405;0.45844327244028554;"[[  2  26   2  13  36   1]
 [  0 115   5  10  46   1]
 [  0  81  74  25  21   0]
 [  1  19   8 136  47   0]
 [  0   3   1   2 173   0]
 [  0  14   9  13  76  41]]";30;[3 3 4 7 5 8]
6;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9722222222222222;0.9703703703703703;"[[ 4  0  0  0  0  0]
 [ 0  3  0  0  0  0]
 [ 0  0  6  0  0  0]
 [ 1  0  0  7  0  0]
 [ 0  0  0  0  5  0]
 [ 0  0  0  0  0 10]]";0.5646288209606987;0.4754326893745076;"[[  1  29  63  11  59   4]
 [  0 200 149   1  71   8]
 [  0  44 364  18  20   1]
 [  0  17 181 212  67   8]
 [  0   2  16   1 408   2]
 [  0  21  86   0 118 108]]";0.5154845154845155;0.4418111727317699;"[[  2  16  21   8  31   2]
 [  0  75  56   3  37   6]
 [  0  43 142   5  11   0]
 [  1   6  85  84  31   4]
 [  0   2   6   4 165   2]
 [  0   8  48   0  49  48]]";36;[ 4  3  6  8  5 10]
7;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9285714285714286;0.9049185463659147;"[[ 3  0  1  0  0  0]
 [ 0  3  0  0  0  0]
 [ 0  1  7  0  0  0]
 [ 0  1  0  9  0  0]
 [ 0  0  0  0  5  0]
 [ 0  0  0  0  0 12]]";0.5472854640980735;0.45718123424353957;"[[  1  23  76   8  57   1]
 [  0 167 188   1  68   0]
 [  0  28 394  17  14   0]
 [  0   9 228 196  48   1]
 [  0   3  21   4 400   0]
 [  0  24 116   1  98  92]]";0.5064935064935064;0.43165504663555837;"[[  1  13  29   7  29   1]
 [  0  64  71   3  39   0]
 [  0  33 151   6  11   0]
 [  1   5 105  83  16   1]
 [  0   2   7   6 164   0]
 [  0   7  68   0  34  44]]";42;[ 4  3  8 10  5 12]
8;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9375;0.9288865546218487;"[[ 3  1  0  0  0  0]
 [ 0  7  0  0  0  0]
 [ 0  0  8  1  0  0]
 [ 0  1  0  9  0  0]
 [ 0  0  0  0  5  0]
 [ 0  0  0  0  0 13]]";0.5935030728709394;0.5029776730498412;"[[  1  47  38   9  65   5]
 [  0 203 146   2  66   3]
 [  0  35 383  19  17   0]
 [  0  28 150 230  68   2]
 [  0  11   7   2 406   1]
 [  0  36  59   2 108 129]]";0.5554445554445554;0.48209321115703735;"[[  1  20  14   8  35   2]
 [  0  85  48   3  38   3]
 [  0  37 145   7  11   1]
 [  1  12  76  96  25   1]
 [  0   4   4   7 163   1]
 [  0  12  35   0  40  66]]";48;[ 4  7  9 10  5 13]
9;CiteSeer;own;0.5;0.2;64;0.5;1;0.005;20795212;0.9074074074074074;0.9019943019943021;"[[ 6  0  0  1  0  0]
 [ 0  6  1  0  0  0]
 [ 0  0  8  1  0  0]
 [ 2  0  0  8  0  0]
 [ 0  0  0  0  7  0]
 [ 0  0  0  0  0 14]]";0.5642605633802817;0.4875952754856861;"[[  4  14  27  11 103   6]
 [  0 154 118   1 132   8]
 [  0  16 329  20  71   4]
 [  0   7  68 227 165   2]
 [  0   5   5   4 438   1]
 [  0  12  22   2 166 130]]";0.5144855144855145;0.45849059127607356;"[[  4  12   6   8  47   3]
 [  0  53  42   0  78   4]
 [  0  26 122   8  42   3]
 [  1   2  42  98  66   2]
 [  0   3   2   4 169   1]
 [  0   4  14   0  66  69]]";54;[ 7  7  9 10  7 14]
