;dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;labeled accuracy;labeled macro-f1;labeled confusion;unlabeled accuracy;unlabeled macro-f1;unlabeled confusion;test accuracy;test macro-f1;test confusion;budget used;class distrubution
0;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.0;0.0;[[]];0.1831470335339639;0.067941756668492;"[[  0   0   2  10 172   0]
 [  0   0   0  31 382   0]
 [  0   0   0  44 423   0]
 [  0   0   2  33 455   0]
 [  0   0   4  20 393   0]
 [  0   0   7  21 327   0]]";0.1848151848151848;0.0693712189647149;"[[  0   0   2   4  74   0]
 [  0   0   1  14 162   0]
 [  0   0   0  16 185   0]
 [  0   0   1  15 195   0]
 [  0   0   2   7 170   0]
 [  0   0   3   8 142   0]]";0;[]
1;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;1.0;1.0;"[[1 0 0]
 [0 2 0]
 [0 0 3]]";0.1857758620689655;0.10500508969777676;"[[ 65   3   0   1   0 114]
 [ 99   7   0   0   0 301]
 [ 62   0   0   2   0 339]
 [271   1   0  31   0 182]
 [202   1   0   0   0 211]
 [ 99   1   0   0   0 328]]";0.16483516483516483;0.10098248600935822;"[[ 37   4   0   1   0  38]
 [ 37   2   0   0   0 138]
 [ 26   0   0   2   0 173]
 [ 98   0   0  14   0  99]
 [ 81   1   0   1   0  96]
 [ 41   0   0   0   0 112]]";6;[0 1 0 2 0 3]
2;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.8333333333333334;0.7532467532467533;"[[1 0 0 0 0]
 [0 1 0 0 0]
 [0 0 0 0 0]
 [0 0 1 3 0]
 [0 0 1 0 5]]";0.21910112359550563;0.12958684207916407;"[[  6   0  62   2   0 116]
 [  3   1 113   0   0 286]
 [  0   0  82   2   0 318]
 [  1   0 223  51   0 209]
 [  0   0 189   1   0 224]
 [  1   0  57   0   0 367]]";0.18181818181818182;0.11395997684868113;"[[  3   0  39   2   0  36]
 [  2   0  46   0   0 129]
 [  0   0  36   2   0 163]
 [  0   0  85  20   0 106]
 [  0   1  76   1   0 101]
 [  0   0  30   0   0 123]]";12;[1 1 0 4 0 6]
3;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.8888888888888888;0.753968253968254;"[[1 0 0 0 0 0]
 [0 1 0 0 0 0]
 [0 0 0 0 0 0]
 [0 0 1 6 1 0]
 [0 0 0 0 1 0]
 [0 0 0 0 0 7]]";0.3986135181975737;0.3168893867223556;"[[  6   0  69  27  10  72]
 [  2   1 135  17  16 232]
 [  0   0 116  34   2 242]
 [  0   0 100 306  14  72]
 [  1   0 110  24 146 131]
 [  0   0  42  19  17 345]]";0.36163836163836166;0.2979459914903873;"[[  3   0  33  18   6  20]
 [  2   0  54   9   9 103]
 [  0   0  49  17   2 133]
 [  0   0  43 125   3  40]
 [  0   1  53  19  66  40]
 [  0   0  27   3   4 119]]";18;[1 1 0 8 1 7]
4;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9583333333333334;0.9206349206349206;"[[1 0 0 0 0 0]
 [1 3 0 0 0 0]
 [0 0 1 0 0 0]
 [0 0 0 9 0 0]
 [0 0 0 0 2 0]
 [0 0 0 0 0 7]]";0.3509991311902693;0.3271000286404357;"[[  4  15 135  15   6   6]
 [  4  42 294   3   3  65]
 [  0   2 213  16   3 160]
 [  0   1 232 230   6  21]
 [  0   6 244   7 146   7]
 [  0  27 196   3  17 173]]";0.3076923076923077;0.2860345911414396;"[[  3  10  47  10   5   5]
 [  0  14 138   4   5  16]
 [  0   0 102   9   2  88]
 [  0   1 109  87   0  14]
 [  0   4 101   7  64   3]
 [  0  27  83   0   5  38]]";24;[1 4 1 9 2 7]
5;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9333333333333333;0.8873015873015873;"[[ 2  0  0  0  0  0]
 [ 1  3  0  0  0  0]
 [ 0  0  2  0  0  0]
 [ 0  0  0 11  0  0]
 [ 1  0  0  0  2  0]
 [ 0  0  0  0  0  8]]";0.4564459930313589;0.3784718402861383;"[[ 38   3 102  39   0   8]
 [ 31  17 297  40   0   7]
 [  1   0 482  22   1   0]
 [  3   0 178 294   0   4]
 [ 46   1  96  95  82  44]
 [ 33  27 147  18   5 135]]";0.3916083916083916;0.3261256504920817;"[[ 15   1  38  21   2   3]
 [ 13   9 130  21   0   4]
 [  0   0 179  17   2   3]
 [  1   0  97 112   0   1]
 [ 21   2  40  56  33  27]
 [  8  25  66   4   6  44]]";30;[ 2  4  2 11  3  8]
6;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9722222222222222;0.9748148148148149;"[[ 2  0  0  0  0  0]
 [ 0  6  0  0  0  0]
 [ 0  0  2  0  0  0]
 [ 0  0  0 12  0  0]
 [ 0  0  0  1  4  0]
 [ 0  0  0  0  0  9]]";0.5541484716157206;0.46103850674810826;"[[ 20   4  87  43   4  26]
 [ 11  11 303  33   5  23]
 [  0   0 459  31   7   1]
 [  0   0  96 374   9   7]
 [ 17   2  54  41 181  70]
 [  2  21  91  12  21 224]]";0.48451548451548454;0.4149242987153028;"[[  9   2  34  22   7   6]
 [  4  10 134  19   1   9]
 [  0   0 170  20   7   4]
 [  0   0  65 140   4   2]
 [  6   1  31  30  73  38]
 [  1  18  36   0  15  83]]";36;[ 2  6  2 12  5  9]
7;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9761904761904762;0.9555555555555556;"[[ 2  0  0  0  0  0]
 [ 0  8  0  0  0  0]
 [ 0  0  2  0  0  0]
 [ 0  0  0 13  0  0]
 [ 1  0  0  0  7  0]
 [ 0  0  0  0  0  9]]";0.589754816112084;0.5130394129564756;"[[ 23  11  71  43  15  15]
 [  6  51 270  35  11  11]
 [  0   0 445  42   9   1]
 [  0   4  79 383  18   5]
 [ 17   4  34  38 248  31]
 [  3  32  80  14  38 197]]";0.5254745254745254;0.4539511485418319;"[[  8   6  22  28  12   4]
 [  4  22 119  20   5   7]
 [  0   0 170  21   8   2]
 [  0   0  51 151   7   2]
 [  4   7  14  28 100  26]
 [  1  20  32   0  25  75]]";42;[ 2  8  2 13  8  9]
8;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9583333333333334;0.9383442265795208;"[[ 4  0  0  0  0  0]
 [ 0  8  1  0  0  0]
 [ 0  0  2  0  0  0]
 [ 0  0  0 13  0  0]
 [ 0  1  0  0  8  0]
 [ 0  0  0  0  0 11]]";0.5987708516242318;0.5250512856072652;"[[ 33   8  67  35  18  16]
 [ 22  44 258  24  21  14]
 [  1   0 445  36  12   3]
 [  3   0  83 368  27   5]
 [ 25   2  23  25 267  32]
 [ 10  23  69   8  44 207]]";0.5414585414585414;0.47127701517759685;"[[ 12   4  22  23  15   4]
 [ 14  17 111  16   9  10]
 [  0   0 170  20   8   3]
 [  0   0  51 148   9   3]
 [  9   6   6  21 111  26]
 [  5  11  29   0  24  84]]";48;[ 4  9  2 13  9 11]
9;CiteSeer;own;1;0.2;64;0.5;1;0.005;20795212;0.9629629629629629;0.9683778966131907;"[[ 5  0  0  0  0  0]
 [ 0 10  0  0  0  1]
 [ 0  0  3  0  0  0]
 [ 0  0  0 14  0  0]
 [ 0  1  0  0  8  0]
 [ 0  0  0  0  0 12]]";0.613556338028169;0.544450569976992;"[[ 30  21  58  30  20  17]
 [ 14  69 233  20  28  14]
 [  1   0 442  38  13   2]
 [  1   7  78 370  26   5]
 [ 20   9  18  24 271  32]
 [  3  30  67  10  39 212]]";0.5634365634365635;0.5001392686171163;"[[ 11   9  18  22  16   4]
 [  9  34  96  14  17   7]
 [  0   0 171  19   8   3]
 [  1   0  46 147  14   3]
 [  8   7   7  20 112  25]
 [  1  15  26   1  21  89]]";54;[ 5 11  3 14  9 12]
