dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1943250214961307;0.1487954206206255;ommited for csv readability;0.2017982017982018;0.15543017144111693;ommited for csv readability;0.0;[]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3586206896551724;0.2929017444078545;ommited for csv readability;0.3946053946053946;0.32273008094417827;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9111111111111111;ommited for csv readability;0.45721694036300775;0.3999579652037304;ommited for csv readability;0.4515484515484515;0.3907948544596717;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8857142857142857;ommited for csv readability;0.520363951473137;0.4398717951945481;ommited for csv readability;0.5314685314685315;0.44672810911205635;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5052128583840139;0.4409388560301781;ommited for csv readability;0.5174825174825175;0.43658099883678364;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5418118466898955;0.4971228815537217;ommited for csv readability;0.5414585414585414;0.48987234051947515;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5864628820960699;0.5467117688042085;ommited for csv readability;0.5794205794205795;0.5394404074168356;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5998248686514887;0.5669403274334254;ommited for csv readability;0.5844155844155844;0.5541678304689092;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6409130816505707;0.5990680352544279;ommited for csv readability;0.6353646353646354;0.5936852822998184;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6527288732394366;0.6076591388270375;ommited for csv readability;0.6553446553446554;0.6162470943188215;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6606354810238305;0.6292939355822046;ommited for csv readability;0.6463536463536463;0.6138409602084341;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6597345132743363;0.6289695130597309;ommited for csv readability;0.6473526473526473;0.6182545394649748;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6566104702750666;0.6246854047181322;ommited for csv readability;0.6483516483516484;0.621099193411364;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6574733096085409;0.6256457306350408;ommited for csv readability;0.6503496503496503;0.6210900330339895;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6614629794826048;0.631676292672554;ommited for csv readability;0.6603396603396603;0.6309854742139279;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6610017889087657;0.6353579231866032;ommited for csv readability;0.6533466533466533;0.6263715103243664;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6614349775784754;0.6355265461620467;ommited for csv readability;0.6573426573426573;0.6299182680213354;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6663669064748201;0.6376445426974752;ommited for csv readability;0.6593406593406593;0.6286739249891121;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6663660955816051;0.6382368295602884;ommited for csv readability;0.6583416583416584;0.6279151400013093;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6726943942133815;0.6386077123831565;ommited for csv readability;0.6673326673326674;0.6361411136992082;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6727107887579329;0.6401892999701205;ommited for csv readability;0.6763236763236763;0.6468002194908261;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1638005159071367;0.11922665390084675;ommited for csv readability;0.14985014985014986;0.10822712856701071;ommited for csv readability;0.0;[]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3185344827586207;0.22163456471052587;ommited for csv readability;0.34065934065934067;0.25851936485650084;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8333333333333334;ommited for csv readability;0.34572169403630076;0.2804039723386213;ommited for csv readability;0.35064935064935066;0.2867455475624779;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.8888888888888888;0.8916666666666666;ommited for csv readability;0.3869150779896014;0.3320646606383228;ommited for csv readability;0.38961038961038963;0.33828940220481146;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.875;0.8736772486772488;ommited for csv readability;0.3935708079930495;0.33573682661894116;ommited for csv readability;0.3926073926073926;0.32927815741037986;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.9326599326599326;ommited for csv readability;0.4686411149825784;0.404056564610867;ommited for csv readability;0.4645354645354645;0.39270958176451903;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.496943231441048;0.473049003824313;ommited for csv readability;0.5034965034965035;0.47210750080751;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.9761904761904762;0.976068376068376;ommited for csv readability;0.5683012259194395;0.5300607516843175;ommited for csv readability;0.5564435564435565;0.5041376680889358;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6141352063213346;0.561843912765618;ommited for csv readability;0.5924075924075924;0.5268821905805429;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.9814814814814815;0.9814241486068113;ommited for csv readability;0.644806338028169;0.5926082699120475;ommited for csv readability;0.6323676323676324;0.5735258308387466;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.9833333333333333;0.9832915622389308;ommited for csv readability;0.6509267431597529;0.6006461116246194;ommited for csv readability;0.6393606393606394;0.5835477256505808;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.9848484848484849;0.9848171152518979;ommited for csv readability;0.6539823008849558;0.6105457578921633;ommited for csv readability;0.6323676323676324;0.5855633971523299;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6597160603371783;0.6227677093299792;ommited for csv readability;0.6443556443556444;0.6020098086628431;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6499110320284698;0.6176673610377673;ommited for csv readability;0.6463536463536463;0.6106823417632293;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6614629794826048;0.6260761641907849;ommited for csv readability;0.6703296703296703;0.6298467649845793;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.669051878354204;0.6287315067133986;ommited for csv readability;0.6733266733266733;0.6289213384639794;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6717488789237668;0.6302650811377312;ommited for csv readability;0.6763236763236763;0.6332333769263222;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6758093525179856;0.6322353776191175;ommited for csv readability;0.6753246753246753;0.6302260836473014;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;0.9907407407407407;0.9907335907335907;ommited for csv readability;0.693868349864743;0.6462194160718596;ommited for csv readability;0.6883116883116883;0.6380581304230452;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6858047016274864;0.6426589797033354;ommited for csv readability;0.6893106893106893;0.6470828981903253;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;2;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6790571169537625;0.635753136436983;ommited for csv readability;0.6873126873126874;0.6456266231086436;ommited for csv readability;120.0;[20 20 20 20 20 20]


