dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;0.5;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.15262252794496992;0.04413775954245928;ommited for csv readability;0.15284715284715283;0.04419410745233968;ommited for csv readability;0.0;[]
CiteSeer;own;0.5;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.18232758620689654;0.05757011960688821;ommited for csv readability;0.1838161838161838;0.0660997434050907;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;0.5;0;64;0.5;1;0.005;20795212.0;0.5833333333333334;0.6296296296296295;ommited for csv readability;0.11279170267934313;0.07936303813667885;ommited for csv readability;0.1028971028971029;0.06417228473655216;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;0.5;0;64;0.5;1;0.005;20795212.0;0.7222222222222222;0.7575757575757575;ommited for csv readability;0.2517331022530329;0.13991048280945612;ommited for csv readability;0.24075924075924077;0.12643056583795234;ommited for csv readability;18.0;[3 3 3 3 3 3]


CiteSeer;own;0.5;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.20077386070507308;0.055734574531567015;ommited for csv readability;0.2007992007992008;0.05574043261231282;ommited for csv readability;0.0;[]
CiteSeer;own;0.5;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.2775862068965517;0.1298679937279791;ommited for csv readability;0.27372627372627373;0.12533358729352506;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;0.5;0;64;0.5;1;0.005;649695571.0;0.5;0.5587301587301586;ommited for csv readability;0.219533275713051;0.12068547448701676;ommited for csv readability;0.2177822177822178;0.11870672767810551;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;0.5;0;64;0.5;1;0.005;649695571.0;0.7222222222222222;0.7444444444444446;ommited for csv readability;0.3197573656845754;0.20706073462227184;ommited for csv readability;0.2957042957042957;0.18312701710130844;ommited for csv readability;18.0;[3 3 3 3 3 3]

