dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.18185726569217542;0.13801259873199814;ommited for csv readability;0.15684315684315683;0.11531750528043878;ommited for csv readability;0.0;[]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.18663793103448276;0.07725949724685201;ommited for csv readability;0.17882117882117882;0.07254941656792284;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6722222222222222;ommited for csv readability;0.27398444252376836;0.17683183730126886;ommited for csv readability;0.2957042957042957;0.19466454825147517;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6896825396825398;ommited for csv readability;0.3375216637781629;0.22487392338321877;ommited for csv readability;0.32367632367632365;0.2229093669095208;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9190476190476189;ommited for csv readability;0.35534317984361424;0.3267733807776289;ommited for csv readability;0.3676323676323676;0.34288971418081715;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9663299663299663;ommited for csv readability;0.44381533101045295;0.4139258433869859;ommited for csv readability;0.4485514485514486;0.42754093614932415;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9722222222222222;0.972027972027972;ommited for csv readability;0.46244541484716156;0.43231466815546193;ommited for csv readability;0.4725274725274725;0.44780499803669227;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.952136752136752;ommited for csv readability;0.44439579684763575;0.44778501889594935;ommited for csv readability;0.44255744255744256;0.45271785039521834;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9791666666666666;0.9790849673202615;ommited for csv readability;0.4934152765583846;0.4837666741282249;ommited for csv readability;0.4965034965034965;0.4903795859846642;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9814814814814815;0.9814241486068113;ommited for csv readability;0.4727112676056338;0.456553250655076;ommited for csv readability;0.4745254745254745;0.4610702601160759;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9666248955722639;ommited for csv readability;0.5666372462488968;0.5416485702149624;ommited for csv readability;0.5554445554445554;0.5363037683618043;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9848484848484849;0.9848171152518979;ommited for csv readability;0.55;0.5480657889471471;ommited for csv readability;0.5494505494505495;0.548131061115975;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9588405797101448;ommited for csv readability;0.5856255545696539;0.5616356327348374;ommited for csv readability;0.5744255744255744;0.5578850278296746;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9615384615384616;0.9614814814814815;ommited for csv readability;0.6156583629893239;0.587331575606938;ommited for csv readability;0.5964035964035964;0.5756462044115458;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9880952380952381;0.9880800340570456;ommited for csv readability;0.6454058876003568;0.6082910734480532;ommited for csv readability;0.6173826173826173;0.5929099219235939;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5974955277280859;0.567823482889412;ommited for csv readability;0.5754245754245755;0.5506924900381228;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6071748878923767;0.5816047773314709;ommited for csv readability;0.5874125874125874;0.5668196389348967;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6245503597122302;0.6043356835498667;ommited for csv readability;0.6083916083916084;0.5933327884822537;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9907407407407407;0.9907335907335907;ommited for csv readability;0.6496844003606853;0.61685863400764;ommited for csv readability;0.6253746253746254;0.5969859840791844;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9824561403508771;0.9824439824439825;ommited for csv readability;0.6179927667269439;0.6033365027613738;ommited for csv readability;0.5904095904095904;0.5801013923063949;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;-1;0;64;0.5;1;0.005;20795212.0;0.9833333333333333;0.9830979888746256;ommited for csv readability;0.6160471441523119;0.5996025315777621;ommited for csv readability;0.5894105894105894;0.5756947812215861;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.2175408426483233;0.15453549329039937;ommited for csv readability;0.22277722277722278;0.14919067551695234;ommited for csv readability;0.0;[]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.14741379310344827;0.09715837767168073;ommited for csv readability;0.17782217782217782;0.12630884703973583;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.6666666666666666;0.6944444444444443;ommited for csv readability;0.1672428694900605;0.11404015575403875;ommited for csv readability;0.18281718281718282;0.135317259100929;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.7777777777777778;0.7869047619047619;ommited for csv readability;0.2920277296360485;0.21884146907996968;ommited for csv readability;0.2987012987012987;0.2349725608546173;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9576719576719578;ommited for csv readability;0.42484795829713295;0.3635717203804383;ommited for csv readability;0.4125874125874126;0.36379664277897233;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9663299663299664;ommited for csv readability;0.43031358885017423;0.41038243062624424;ommited for csv readability;0.46653346653346656;0.45200338495874887;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9722222222222222;0.9720279720279721;ommited for csv readability;0.46593886462882095;0.47416964679938506;ommited for csv readability;0.4935064935064935;0.5065945323926718;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5573555166374781;0.5323111920228479;ommited for csv readability;0.5694305694305695;0.546441998638612;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9791666666666666;0.9790849673202615;ommited for csv readability;0.5408252853380158;0.518743157357097;ommited for csv readability;0.5554445554445554;0.5382950679713853;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5356514084507042;0.5237488000340859;ommited for csv readability;0.5614385614385614;0.5477314224137521;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9833333333333333;0.9832915622389308;ommited for csv readability;0.5617828773168579;0.5249679270396344;ommited for csv readability;0.5664335664335665;0.5386478440212737;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9848484848484849;0.9848171152518979;ommited for csv readability;0.5163716814159292;0.4830775837547437;ommited for csv readability;0.5264735264735265;0.5013360803954272;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9583091787439613;ommited for csv readability;0.4982253771073647;0.4777766860951302;ommited for csv readability;0.5084915084915085;0.4965628394213471;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9871794871794872;0.9871604938271604;ommited for csv readability;0.5849644128113879;0.5596429987280528;ommited for csv readability;0.5864135864135864;0.5661792492218624;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9523809523809523;0.95236574834276;ommited for csv readability;0.5709188224799286;0.542907388493703;ommited for csv readability;0.5854145854145855;0.5627025467671397;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9777777777777777;0.9777530589543938;ommited for csv readability;0.6122540250447227;0.5759097450562979;ommited for csv readability;0.6003996003996004;0.5720048556479659;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9791666666666666;0.9794433902593296;ommited for csv readability;0.6282511210762332;0.5863853314246682;ommited for csv readability;0.6233766233766234;0.5849120566930729;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9705882352941176;0.9708273208273209;ommited for csv readability;0.6218525179856115;0.5973833767796847;ommited for csv readability;0.6283716283716284;0.6076017573697341;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9814814814814815;0.981704260651629;ommited for csv readability;0.5951307484220018;0.5755764219905348;ommited for csv readability;0.6063936063936064;0.5895007219255831;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9824561403508771;0.9826576576576577;ommited for csv readability;0.6134719710669078;0.5980355159437133;ommited for csv readability;0.6133866133866134;0.598286808908984;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;-1;0;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9585261621846989;ommited for csv readability;0.6332728921124207;0.6065653600946725;ommited for csv readability;0.6233766233766234;0.5925743699899034;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.14789337919174547;0.13522177145129324;ommited for csv readability;0.14185814185814186;0.13365620916877122;ommited for csv readability;0.0;[]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.2806034482758621;0.24767818109589834;ommited for csv readability;0.24975024975024976;0.2195192409745074;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.5833333333333334;0.6296296296296295;ommited for csv readability;0.21477960242005187;0.09237121596982532;ommited for csv readability;0.21978021978021978;0.09704310336541257;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.7777777777777778;0.7873015873015873;ommited for csv readability;0.36351819757365683;0.2593342772751642;ommited for csv readability;0.35064935064935066;0.25434620685836207;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.875;0.878968253968254;ommited for csv readability;0.447871416159861;0.4071537623705315;ommited for csv readability;0.43956043956043955;0.40397959656576665;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9333333333333333;0.9326599326599329;ommited for csv readability;0.37282229965156793;0.3252931475705553;ommited for csv readability;0.3806193806193806;0.3393755310204172;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9444444444444444;0.9440559440559441;ommited for csv readability;0.5192139737991266;0.475975672583367;ommited for csv readability;0.5024975024975025;0.4608468291970474;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9523809523809523;0.9500000000000001;ommited for csv readability;0.4316987740805604;0.42854829391933097;ommited for csv readability;0.42657342657342656;0.42397398213955323;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5794556628621598;0.5448422926907271;ommited for csv readability;0.5654345654345654;0.5331111589320836;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6012323943661971;0.5672019069014712;ommited for csv readability;0.5844155844155844;0.552324097399759;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9833333333333333;0.9832915622389308;ommited for csv readability;0.5741394527802295;0.5267219541994247;ommited for csv readability;0.5694305694305695;0.5171123027788643;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9848484848484849;0.9848171152518979;ommited for csv readability;0.5938053097345133;0.5658825026964485;ommited for csv readability;0.5874125874125874;0.5553038888261316;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9583333333333334;0.9587978446674099;ommited for csv readability;0.6007098491570542;0.5579593811340607;ommited for csv readability;0.5884115884115884;0.5447286067164382;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9743589743589743;0.9737654320987654;ommited for csv readability;0.5867437722419929;0.5574747627919304;ommited for csv readability;0.5754245754245755;0.5381297020554773;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9880952380952381;0.9880800340570456;ommited for csv readability;0.636485280999108;0.6023703087020857;ommited for csv readability;0.6423576423576424;0.6163209315206559;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9888888888888889;0.988876529477197;ommited for csv readability;0.6238819320214669;0.5932770700557154;ommited for csv readability;0.6343656343656343;0.6101885992474595;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;-1;0;64;0.5;1;0.005;831763849.0;0.9791666666666666;0.9791463017269469;ommited for csv readability;0.6085201793721973;0.5827283623169004;ommited for csv readability;0.6063936063936064;0.5890689660671903;ommited for csv readability;96.0;[16 16 16 16 16 16]
