dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.15262252794496992;0.04413775954245928;ommited for csv readability;0.15284715284715283;0.04419410745233968;ommited for csv readability;0.0;[]
CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.31767241379310346;0.21306685041666032;ommited for csv readability;0.3126873126873127;0.2068519736360848;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.911111111111111;ommited for csv readability;0.39325842696629215;0.309939073023637;ommited for csv readability;0.39760239760239763;0.309827563511119;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.942857142857143;ommited for csv readability;0.3587521663778163;0.25229564094081347;ommited for csv readability;0.3356643356643357;0.2290917426687198;ommited for csv readability;18.0;[3 3 3 3 3 3]


CiteSeer;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.20077386070507308;0.055734574531567015;ommited for csv readability;0.2007992007992008;0.05574043261231282;ommited for csv readability;0.0;[]
CiteSeer;own;-1;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3625;0.2496378228734573;ommited for csv readability;0.34465534465534464;0.2262309218981845;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;-1;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4343128781331029;0.3088886580644671;ommited for csv readability;0.39760239760239763;0.2668395533161981;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;-1;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5623916811091855;0.5132767241911472;ommited for csv readability;0.5494505494505495;0.4838577553166903;ommited for csv readability;18.0;[3 3 3 3 3 3]

