dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.18185726569217542;0.13801259873199814;ommited for csv readability;0.15684315684315683;0.11531750528043878;ommited for csv readability;0.0;[]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3521551724137931;0.24804488893523602;ommited for csv readability;0.33966033966033965;0.24859893779219233;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.5833333333333334;0.611111111111111;ommited for csv readability;0.2843560933448574;0.1647078792977163;ommited for csv readability;0.2807192807192807;0.16567246048720774;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.7777777777777778;0.7873015873015873;ommited for csv readability;0.32365684575389947;0.21966005674805314;ommited for csv readability;0.32367632367632365;0.2251865255899946;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.526498696785404;0.4687132382741194;ommited for csv readability;0.5364635364635365;0.47686941855887327;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5718641114982579;0.5333295257422285;ommited for csv readability;0.5994005994005994;0.565374044457276;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5816593886462882;0.526965099297531;ommited for csv readability;0.6043956043956044;0.5605391768178726;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.976068376068376;ommited for csv readability;0.5805604203152365;0.5205869321020975;ommited for csv readability;0.6093906093906094;0.556359554931588;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.9791666666666666;0.9790849673202615;ommited for csv readability;0.6062335381913959;0.5480554198116151;ommited for csv readability;0.6223776223776224;0.5683317975220571;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;0.9814814814814815;0.9814241486068113;ommited for csv readability;0.5642605633802817;0.543327399415191;ommited for csv readability;0.5834165834165834;0.5614260247905873;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6235657546337158;0.588161380805857;ommited for csv readability;0.6383616383616384;0.6055002018952065;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6159292035398231;0.5881102977898968;ommited for csv readability;0.6473526473526473;0.6230598268348905;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6237799467613132;0.5960148103723631;ommited for csv readability;0.6533466533466533;0.6289213245935688;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6485765124555161;0.6137621028430611;ommited for csv readability;0.6793206793206793;0.6483583679001395;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6467439785905441;0.610225553988953;ommited for csv readability;0.6853146853146853;0.6570152677552313;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;2;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6507155635062611;0.6176838923238199;ommited for csv readability;0.6873126873126874;0.6618012597111727;ommited for csv readability;90.0;[15 15 15 15 15 15]
