dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1943250214961307;0.1487954206206255;ommited for csv readability;0.2017982017982018;0.15543017144111693;ommited for csv readability;0.0;[]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3129310344827586;0.18175251120577704;ommited for csv readability;0.3206793206793207;0.19097497601268718;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.75;0.7444444444444444;ommited for csv readability;0.2878133102852204;0.16156335317963236;ommited for csv readability;0.2917082917082917;0.15276786687214933;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8345238095238096;ommited for csv readability;0.3747833622183709;0.2739422597198986;ommited for csv readability;0.3706293706293706;0.27134001113796885;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.4843614248479583;0.39048431017679247;ommited for csv readability;0.4925074925074925;0.3975465027454385;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9663299663299664;ommited for csv readability;0.5300522648083623;0.4463317221655781;ommited for csv readability;0.5134865134865135;0.4374021481468491;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9440559440559441;ommited for csv readability;0.5668122270742358;0.5138363832633978;ommited for csv readability;0.5784215784215784;0.5195345093514652;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9760683760683762;ommited for csv readability;0.5788091068301225;0.5404191574787313;ommited for csv readability;0.5834165834165834;0.5379530064601733;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9375;0.9384259259259261;ommited for csv readability;0.6150131694468832;0.5614088767711825;ommited for csv readability;0.6103896103896104;0.5610346282624935;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.9629056300882928;ommited for csv readability;0.6047535211267606;0.5495721011331441;ommited for csv readability;0.6153846153846154;0.5594538497588353;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9665831244778613;ommited for csv readability;0.5922330097087378;0.5399871053117501;ommited for csv readability;0.6103896103896104;0.5629637750165023;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9848484848484849;0.9848171152518979;ommited for csv readability;0.5969026548672567;0.5491964592069913;ommited for csv readability;0.6103896103896104;0.5614802269877729;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9861111111111112;0.986086956521739;ommited for csv readability;0.6095829636202307;0.5564062344330457;ommited for csv readability;0.6253746253746254;0.5702843149427526;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9871794871794872;0.9871604938271604;ommited for csv readability;0.6147686832740213;0.5648328918955957;ommited for csv readability;0.6343656343656343;0.5870842163780893;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9761600681140911;ommited for csv readability;0.6186440677966102;0.5775543883001486;ommited for csv readability;0.6293706293706294;0.5906537249307712;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9777777777777777;0.9773425499231951;ommited for csv readability;0.6176207513416816;0.584793355499752;ommited for csv readability;0.6363636363636364;0.6023793636644194;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9791666666666666;0.9791463017269469;ommited for csv readability;0.6269058295964126;0.596594014615807;ommited for csv readability;0.6403596403596403;0.6106821226925213;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9901960784313726;0.9901875901875902;ommited for csv readability;0.6641187050359713;0.6262722284481214;ommited for csv readability;0.6753246753246753;0.643712008666379;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9907407407407407;0.9907335907335907;ommited for csv readability;0.6834986474301172;0.6410832311940421;ommited for csv readability;0.6983016983016983;0.6622977318927409;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9912280701754386;0.9912219912219912;ommited for csv readability;0.6862567811934901;0.6451089563014155;ommited for csv readability;0.6953046953046953;0.6597087643627942;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9916666666666667;0.9916614550760893;ommited for csv readability;0.6926563916591115;0.6512114041804505;ommited for csv readability;0.6993006993006993;0.6608957426835516;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1638005159071367;0.11922665390084675;ommited for csv readability;0.14985014985014986;0.10822712856701071;ommited for csv readability;0.0;[]
CiteSeer;own;entropy;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3081896551724138;0.20678721332549252;ommited for csv readability;0.3106893106893107;0.20620466978438798;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;entropy;0;64;0.5;1;0.005;649695571.0;0.75;0.7619047619047619;ommited for csv readability;0.40319792566983575;0.30460561953808385;ommited for csv readability;0.3986013986013986;0.3024201103998943;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;entropy;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8345238095238096;ommited for csv readability;0.4150779896013865;0.34687468357734835;ommited for csv readability;0.41058941058941056;0.3434838909424059;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;entropy;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.916005291005291;ommited for csv readability;0.5503909643788011;0.4892415468645758;ommited for csv readability;0.5304695304695305;0.46318223716227536;ommited for csv readability;24.0;[4 4 4 4 4 4]
