dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.14445399828030955;0.1340659756043573;ommited for csv readability;0.16183816183816183;0.15323882974908376;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3642241379310345;0.19965803225534376;ommited for csv readability;0.36163836163836166;0.1956737873121562;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8277777777777778;ommited for csv readability;0.36646499567847884;0.3175901720688396;ommited for csv readability;0.36863136863136864;0.31996301372477504;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.875;ommited for csv readability;0.44974003466204504;0.4210856425165657;ommited for csv readability;0.43656343656343655;0.4084922793043115;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9576719576719577;ommited for csv readability;0.4626411815812337;0.4469562332633445;ommited for csv readability;0.42857142857142855;0.4130041988252903;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9663299663299663;ommited for csv readability;0.5056620209059234;0.4769050172480806;ommited for csv readability;0.4805194805194805;0.4536454759476998;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9442501942501943;ommited for csv readability;0.5323144104803493;0.49671564880015784;ommited for csv readability;0.5124875124875125;0.48502510011204514;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9760683760683762;ommited for csv readability;0.5831873905429071;0.5616181192191235;ommited for csv readability;0.5284715284715285;0.5125903437869211;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5983318700614574;0.5790709432194857;ommited for csv readability;0.5474525474525475;0.5363300735121909;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9814814814814815;0.9814241486068113;ommited for csv readability;0.5845070422535211;0.5692853425666057;ommited for csv readability;0.5404595404595405;0.5350849369946368;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9833333333333333;0.9832915622389308;ommited for csv readability;0.6222418358340689;0.6020862116867691;ommited for csv readability;0.5674325674325674;0.5542829675176849;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9696969696969697;0.9696656001003827;ommited for csv readability;0.6415929203539823;0.6198345585494528;ommited for csv readability;0.5954045954045954;0.5785553845523729;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9722222222222222;0.9722222222222222;ommited for csv readability;0.6428571428571429;0.621441455032318;ommited for csv readability;0.5904095904095904;0.5745946235995518;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9487179487179487;0.9481861348528016;ommited for csv readability;0.6432384341637011;0.6231917240674621;ommited for csv readability;0.6003996003996004;0.5836029088715572;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9522436482206597;ommited for csv readability;0.6338090990187333;0.6124100539122217;ommited for csv readability;0.5934065934065934;0.5754650971386591;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9777777777777777;0.9777654183660859;ommited for csv readability;0.6350626118067979;0.6092921480296017;ommited for csv readability;0.5824175824175825;0.5629419851059335;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9791666666666666;0.9791666666666666;ommited for csv readability;0.6390134529147982;0.6155787733398608;ommited for csv readability;0.5934065934065934;0.5755511761066556;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9803921568627451;0.9803836686189628;ommited for csv readability;0.658273381294964;0.6388612562242916;ommited for csv readability;0.6023976023976024;0.583938770849702;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6618575293056808;0.6439271318202392;ommited for csv readability;0.5984015984015985;0.5797135952139756;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9912280701754386;0.9912219912219912;ommited for csv readability;0.6930379746835443;0.6775220581039331;ommited for csv readability;0.6263736263736264;0.6062445408881695;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;own;0.2;64;0.5;1;0.005;20795212.0;0.975;0.9749947884094227;ommited for csv readability;0.6881233000906618;0.6713362514849454;ommited for csv readability;0.6073926073926074;0.5841104228668691;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.14789337919174547;0.12026710362005612;ommited for csv readability;0.17282717282717283;0.14692712691009627;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.35172413793103446;0.2343042575255412;ommited for csv readability;0.3306693306693307;0.23357332330563793;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.9111111111111111;ommited for csv readability;0.48098530682800344;0.40743553583948255;ommited for csv readability;0.44755244755244755;0.3718476921210458;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8190476190476191;ommited for csv readability;0.5155979202772963;0.46511627750914314;ommited for csv readability;0.48951048951048953;0.43875853503417456;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6272806255430061;0.5765125781575261;ommited for csv readability;0.6093906093906094;0.5460400799411113;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6223867595818815;0.5829252209094757;ommited for csv readability;0.5914085914085914;0.539203641039301;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6606986899563319;0.6221747430170866;ommited for csv readability;0.6053946053946054;0.5586490004813849;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9761904761904762;0.9760683760683762;ommited for csv readability;0.6751313485113836;0.6453327380369934;ommited for csv readability;0.6133866133866134;0.5758798957647886;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9592592592592594;ommited for csv readability;0.6694468832309043;0.6395382138233421;ommited for csv readability;0.6053946053946054;0.5688300432135144;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9629629629629629;0.9637254901960786;ommited for csv readability;0.6690140845070423;0.6397975133534585;ommited for csv readability;0.6063936063936064;0.5709665466215548;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.9340434419381789;ommited for csv readability;0.6619593998234775;0.6329976619151861;ommited for csv readability;0.6053946053946054;0.5695484926616157;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9393939393939394;0.9399899617290921;ommited for csv readability;0.6809734513274336;0.6516450227054579;ommited for csv readability;0.6043956043956044;0.5707105033223888;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9444444444444444;0.944951690821256;ommited for csv readability;0.6765749778172139;0.6479809308615238;ommited for csv readability;0.6053946053946054;0.5706837102189477;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9615384615384616;0.9619223985890653;ommited for csv readability;0.6806049822064056;0.651908454443984;ommited for csv readability;0.6073926073926074;0.5737307314359888;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9642857142857143;0.9646232439335888;ommited for csv readability;0.6806422836752899;0.6516771744864024;ommited for csv readability;0.6133866133866134;0.5797636041822211;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9777777777777777;0.9777530589543938;ommited for csv readability;0.6896243291592129;0.6573414636009163;ommited for csv readability;0.6363636363636364;0.6050780005768986;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9579545454545455;ommited for csv readability;0.6968609865470852;0.6629374698134437;ommited for csv readability;0.6343656343656343;0.600663793478705;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9509803921568627;0.9506067325920267;ommited for csv readability;0.704136690647482;0.6711456466337594;ommited for csv readability;0.6353646353646354;0.5995377085754645;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9629629629629629;0.9629056300882927;ommited for csv readability;0.71190261496844;0.678374080963045;ommited for csv readability;0.6463536463536463;0.6073383736864107;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9385964912280702;0.9378285167758853;ommited for csv readability;0.7079566003616636;0.674126894271585;ommited for csv readability;0.6483516483516484;0.6086815530831534;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;own;0.2;64;0.5;1;0.005;649695571.0;0.9416666666666667;0.9418028341648368;ommited for csv readability;0.7107887579329103;0.683484565261307;ommited for csv readability;0.6483516483516484;0.6178595723016781;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.1706792777300086;0.15180245590554284;ommited for csv readability;0.15584415584415584;0.1420526485083233;ommited for csv readability;0.0;[]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.2353448275862069;0.12161230069075953;ommited for csv readability;0.1928071928071928;0.10345255015697309;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;0.6666666666666666;0.6;ommited for csv readability;0.3197925669835782;0.2868714707671621;ommited for csv readability;0.30569430569430567;0.26660697061445493;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;0.9444444444444444;0.9428571428571427;ommited for csv readability;0.541161178509532;0.4874615001576316;ommited for csv readability;0.5264735264735265;0.4792783156028868;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;own;0.2;64;0.5;1;0.005;831763849.0;0.875;0.873015873015873;ommited for csv readability;0.5712423979148566;0.5118904066128508;ommited for csv readability;0.5614385614385614;0.5057486747472347;ommited for csv readability;24.0;[4 4 4 4 4 4]
