dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.14445399828030955;0.1340659756043573;ommited for csv readability;0.16183816183816183;0.15323882974908376;ommited for csv readability;0.0;[]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2801724137931034;0.17659527216914542;ommited for csv readability;0.2707292707292707;0.17471831928735002;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42566983578219536;0.31901147605391517;ommited for csv readability;0.4205794205794206;0.31932360210557187;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4865684575389948;0.3833314838247786;ommited for csv readability;0.46853146853146854;0.3675561763977877;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9576719576719577;ommited for csv readability;0.49869678540399653;0.39339977011080696;ommited for csv readability;0.4825174825174825;0.38180535058844295;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9663299663299664;ommited for csv readability;0.5705574912891986;0.4763002710181432;ommited for csv readability;0.5344655344655345;0.45433420336616576;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9722222222222222;0.972027972027972;ommited for csv readability;0.5991266375545852;0.5498408715343951;ommited for csv readability;0.5724275724275725;0.5304492834082772;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.976068376068376;ommited for csv readability;0.5678633975481612;0.5641686664156295;ommited for csv readability;0.5364635364635365;0.52811456906642;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5715539947322212;0.5584615411154313;ommited for csv readability;0.5324675324675324;0.5225500112687452;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9814814814814815;0.9814241486068113;ommited for csv readability;0.5845070422535211;0.5700372265656782;ommited for csv readability;0.5454545454545454;0.5328420109649024;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.95;0.9519450800915332;ommited for csv readability;0.6059135039717564;0.5883671710081207;ommited for csv readability;0.5654345654345654;0.5522301571236577;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9242424242424242;0.9252211556559383;ommited for csv readability;0.5876106194690266;0.58400138059339;ommited for csv readability;0.5194805194805194;0.5195829935430903;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.915079365079365;ommited for csv readability;0.5913930789707187;0.5856535192916262;ommited for csv readability;0.5234765234765235;0.5167210332490701;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.921189915827597;ommited for csv readability;0.6209964412811388;0.6065337528122312;ommited for csv readability;0.5834165834165834;0.5693978840885947;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9138295931399382;ommited for csv readability;0.6204281891168599;0.6056122647899593;ommited for csv readability;0.5894105894105894;0.5742526969002553;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9222222222222223;0.9204259427076447;ommited for csv readability;0.6431127012522362;0.6307524135749641;ommited for csv readability;0.5864135864135864;0.5745791177761365;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9375;0.9363079900952864;ommited for csv readability;0.6623318385650224;0.6482513542854063;ommited for csv readability;0.5864135864135864;0.5729624396164777;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9607843137254902;0.960451680672269;ommited for csv readability;0.6780575539568345;0.6597260356940543;ommited for csv readability;0.6043956043956044;0.5843805752330778;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9351851851851852;0.934899184899185;ommited for csv readability;0.6713255184851218;0.6516586059071433;ommited for csv readability;0.6003996003996004;0.5790319338247522;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9385964912280702;0.9387676137676139;ommited for csv readability;0.6754068716094033;0.6528668592906257;ommited for csv readability;0.6023976023976024;0.5796666179354681;ommited for csv readability;114.0;[19 19 19 19 19 19]
