dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.14445399828030955;0.1340659756043573;ommited for csv readability;0.16183816183816183;0.15323882974908376;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.24482758620689654;0.17772461070857407;ommited for csv readability;0.23076923076923078;0.1651765718658258;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.38807260155574763;0.33632608033598044;ommited for csv readability;0.36363636363636365;0.3083005340435246;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3479202772963605;0.34864404648694997;ommited for csv readability;0.30569430569430567;0.30908327408471736;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42354474370112943;0.42696652633862664;ommited for csv readability;0.3756243756243756;0.3787921431329191;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9;0.9015151515151515;ommited for csv readability;0.4377177700348432;0.4404464673643498;ommited for csv readability;0.4085914085914086;0.41185220782447;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.945887445887446;ommited for csv readability;0.4834061135371179;0.4816973897763522;ommited for csv readability;0.43156843156843155;0.4336035562329503;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9522588522588521;ommited for csv readability;0.5345884413309983;0.5276794403984723;ommited for csv readability;0.4935064935064935;0.48454272636427603;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9375;0.937037037037037;ommited for csv readability;0.5307287093942055;0.525268013401189;ommited for csv readability;0.4835164835164835;0.47313042333399985;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9259259259259259;0.925599128540305;ommited for csv readability;0.5356514084507042;0.5306920724911527;ommited for csv readability;0.4595404595404595;0.45023617647663716;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9;0.897883597883598;ommited for csv readability;0.5759046778464254;0.5702986889039304;ommited for csv readability;0.48951048951048953;0.4798693049178591;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9393939393939394;0.9386096994792646;ommited for csv readability;0.6057522123893805;0.5982451460216217;ommited for csv readability;0.5294705294705294;0.5153630012559781;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9576021080368906;ommited for csv readability;0.611357586512866;0.6035402334603838;ommited for csv readability;0.5254745254745254;0.5125904069278215;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9230769230769231;0.9221775701485848;ommited for csv readability;0.6169928825622776;0.6091584367146182;ommited for csv readability;0.5154845154845155;0.5020774151059222;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9496168582375479;ommited for csv readability;0.6480820695807314;0.6353820427588824;ommited for csv readability;0.5374625374625375;0.5112142297954679;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9420661489974615;ommited for csv readability;0.6435599284436494;0.6353134687561859;ommited for csv readability;0.5304695304695305;0.5148070604382416;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.96875;0.9683610296513523;ommited for csv readability;0.6515695067264574;0.6443911761844784;ommited for csv readability;0.5314685314685315;0.5211139293569634;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9803921568627451;0.9803751803751805;ommited for csv readability;0.6591726618705036;0.6499883085726927;ommited for csv readability;0.5364635364635365;0.5277223891621716;ommited for csv readability;102.0;[17 17 17 17 17 17]
