dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.16294067067927773;0.15961039572703542;ommited for csv readability;0.16683316683316685;0.1631084341826332;ommited for csv readability;0.0;[]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.25;0.2393315033345773;ommited for csv readability;0.25274725274725274;0.24189905592708472;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3146067415730337;0.2923561782445845;ommited for csv readability;0.2997002997002997;0.2793649183727305;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.38128249566724437;0.3493403680268267;ommited for csv readability;0.35564435564435565;0.3276827590380724;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.38575152041702865;0.3542493841771553;ommited for csv readability;0.3596403596403596;0.33127260477099835;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.42726480836236935;0.3996473288479409;ommited for csv readability;0.3996003996003996;0.3732863826010205;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.44497816593886463;0.410238911479841;ommited for csv readability;0.4025974025974026;0.3721082109219443;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.46935201401050786;0.4405647801229486;ommited for csv readability;0.3956043956043956;0.3717282333524285;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.47322212467076386;0.4426870538997023;ommited for csv readability;0.4005994005994006;0.3737650804824051;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4867957746478873;0.4576899206365359;ommited for csv readability;0.4435564435564436;0.41539511789888767;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.49029126213592233;0.46649183050048465;ommited for csv readability;0.41058941058941056;0.38501744079940114;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.48097345132743363;0.4509686035528098;ommited for csv readability;0.38461538461538464;0.36155222673604825;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5252883762200532;0.4999516627208472;ommited for csv readability;0.43956043956043955;0.415193299406652;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5222419928825622;0.49718497410223844;ommited for csv readability;0.44955044955044954;0.42465022122534074;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.524085637823372;0.49639536317293204;ommited for csv readability;0.4565434565434565;0.43136238802787047;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9777777777777777;0.9777777777777779;ommited for csv readability;0.5402504472271914;0.5142464443372089;ommited for csv readability;0.44755244755244755;0.4228622099633528;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9791666666666666;0.9791666666666666;ommited for csv readability;0.531390134529148;0.5050978803286014;ommited for csv readability;0.44455544455544455;0.42051671560590825;ommited for csv readability;96.0;[16 16 16 16 16 16]
