dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1706792777300086;0.16691061421077544;ommited for csv readability;0.1798201798201798;0.17450709055476454;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.22198275862068967;0.2042839827159515;ommited for csv readability;0.23776223776223776;0.2246218875721903;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2878133102852204;0.26469871153130836;ommited for csv readability;0.25874125874125875;0.23662358824213905;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3678509532062392;0.327387583879229;ommited for csv readability;0.32867132867132864;0.2906890728084209;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3631624674196351;0.3149418645438184;ommited for csv readability;0.3386613386613387;0.2924065768898056;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3902439024390244;0.3475250876093317;ommited for csv readability;0.35364635364635366;0.31051344188297175;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.41179039301310044;0.36251298806158766;ommited for csv readability;0.36663336663336665;0.3202142384014024;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.425569176882662;0.3748230358232192;ommited for csv readability;0.36063936063936064;0.31181667905374083;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.43810359964881473;0.38538172826325795;ommited for csv readability;0.36863136863136864;0.31722827431964123;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4515845070422535;0.4020032213784075;ommited for csv readability;0.3886113886113886;0.3396244494224563;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4567519858781995;0.40392281023586846;ommited for csv readability;0.3936063936063936;0.34075268171159534;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4725663716814159;0.4183878444533336;ommited for csv readability;0.3926073926073926;0.3402859184138205;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4964507542147294;0.4488869234249779;ommited for csv readability;0.42657342657342656;0.38583511740991083;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5044483985765125;0.45884800330144926;ommited for csv readability;0.4515484515484515;0.41332516007300674;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.49643175735950046;0.4508742877785959;ommited for csv readability;0.44755244755244755;0.40956254561045174;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5022361359570662;0.4589414721765113;ommited for csv readability;0.4385614385614386;0.40270560970009034;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5076233183856502;0.4659247363995597;ommited for csv readability;0.4515484515484515;0.42070516924943496;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5049460431654677;0.46666574957286805;ommited for csv readability;0.43956043956043955;0.4036442919705841;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4954914337240757;0.456202671962417;ommited for csv readability;0.44455544455544455;0.4126464164411295;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5054249547920434;0.4630124041207298;ommited for csv readability;0.4385614385614386;0.40332016773636686;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5126926563916591;0.47513506717408327;ommited for csv readability;0.4385614385614386;0.4021918468287893;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.17540842648323302;0.1729111869396661;ommited for csv readability;0.18181818181818182;0.17678930280255659;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3168103448275862;0.2876840363077263;ommited for csv readability;0.2787212787212787;0.25614670569423603;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.35220397579948143;0.31193827344494357;ommited for csv readability;0.3076923076923077;0.2689882342963908;ommited for csv readability;12.0;[2 2 2 2 2 2]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.3986135181975737;0.36975243977509176;ommited for csv readability;0.35864135864135865;0.3347818056301601;ommited for csv readability;18.0;[3 3 3 3 3 3]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4118158123370982;0.38224566890874173;ommited for csv readability;0.37462537462537465;0.34515437680332656;ommited for csv readability;24.0;[4 4 4 4 4 4]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.43902439024390244;0.39857348056194164;ommited for csv readability;0.3926073926073926;0.3524283566927517;ommited for csv readability;30.0;[5 5 5 5 5 5]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4406113537117904;0.4054446531416476;ommited for csv readability;0.3946053946053946;0.36381584079487683;ommited for csv readability;36.0;[6 6 6 6 6 6]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.45402802101576184;0.41410398718673097;ommited for csv readability;0.4075924075924076;0.37027628974274013;ommited for csv readability;42.0;[7 7 7 7 7 7]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4679543459174715;0.4422348648821215;ommited for csv readability;0.41058941058941056;0.38782967084039094;ommited for csv readability;48.0;[8 8 8 8 8 8]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.47755281690140844;0.4525819846519082;ommited for csv readability;0.4225774225774226;0.40068506993854697;ommited for csv readability;54.0;[9 9 9 9 9 9]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4854368932038835;0.45867058404908073;ommited for csv readability;0.4245754245754246;0.39961435835311626;ommited for csv readability;60.0;[10 10 10 10 10 10]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4853982300884956;0.45906029266138;ommited for csv readability;0.4245754245754246;0.3998498827072092;ommited for csv readability;66.0;[11 11 11 11 11 11]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4902395740905058;0.4610795899244467;ommited for csv readability;0.4085914085914086;0.38221328105119606;ommited for csv readability;72.0;[12 12 12 12 12 12]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4986654804270463;0.46893393569090863;ommited for csv readability;0.4085914085914086;0.38312516374992783;ommited for csv readability;78.0;[13 13 13 13 13 13]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4933095450490633;0.4635273706844356;ommited for csv readability;0.4385614385614386;0.4091155043714017;ommited for csv readability;84.0;[14 14 14 14 14 14]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4964221824686941;0.46814770283992946;ommited for csv readability;0.42357642357642356;0.3975341335373916;ommited for csv readability;90.0;[15 15 15 15 15 15]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.48834080717488787;0.4605825973463757;ommited for csv readability;0.43956043956043955;0.4147436483313078;ommited for csv readability;96.0;[16 16 16 16 16 16]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.49910071942446044;0.4722291109004586;ommited for csv readability;0.42157842157842157;0.40350595269631806;ommited for csv readability;102.0;[17 17 17 17 17 17]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4914337240757439;0.4684711066701491;ommited for csv readability;0.4175824175824176;0.3983809701773198;ommited for csv readability;108.0;[18 18 18 18 18 18]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5067811934900542;0.484976445783009;ommited for csv readability;0.4225774225774226;0.40213389222125157;ommited for csv readability;114.0;[19 19 19 19 19 19]
CiteSeer;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5090661831368993;0.4872264390472001;ommited for csv readability;0.42657342657342656;0.40822831379190494;ommited for csv readability;120.0;[20 20 20 20 20 20]


CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.16638005159071367;0.1622783379117055;ommited for csv readability;0.15684315684315683;0.15309886901996603;ommited for csv readability;0.0;[]
CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.21939655172413794;0.2118468157007587;ommited for csv readability;0.20679320679320679;0.20072928078824726;ommited for csv readability;6.0;[1 1 1 1 1 1]
CiteSeer;own;random;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.219533275713051;0.21181055587224332;ommited for csv readability;0.17082917082917082;0.16563575594145993;ommited for csv readability;12.0;[2 2 2 2 2 2]
