;dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;labeled accuracy;labeled macro-f1;labeled confusion;unlabeled accuracy;unlabeled macro-f1;unlabeled confusion;test accuracy;test macro-f1;test confusion;budget used;class distrubution
0;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;"[[ 95  16   1  16 113   2   2]
 [ 41  37   0   2  61   9   1]
 [ 29  69   0  22 145  23   4]
 [175  81   3   6 276  19  12]
 [ 85  46   4   9 132   3  19]
 [ 46  18   8   0 135   0   1]
 [ 20  11   7   3  84   0   0]]";0.1419828641370869;0.0925337535462661;"[[ 36  10   1   8  48   1   2]
 [ 19  15   0   0  26   4   2]
 [ 13  36   0   5  61  10   1]
 [ 75  27   2   4 122   8   8]
 [ 30  18   1  11  61   0   7]
 [ 25   8   1   0  56   0   0]
 [  9   5   4   0  37   0   0]]";0;[]
1;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.14285714285714285;0.041666666666666664;"[[0 0 1 0 0 0]
 [0 0 1 0 0 0]
 [0 0 1 0 0 0]
 [0 0 1 0 0 0]
 [0 0 2 0 0 0]
 [0 0 1 0 0 0]]";0.1910828025477707;0.04583651642475173;"[[  0   0 247   0   0   0   0]
 [  0   0 102   0   0   0   0]
 [  0   0 360   0   0   0   0]
 [  0   0 584   0   0   0   0]
 [  0   0 285   0   0   0   0]
 [  0   0 184   0   0   0   0]
 [  0   0 122   0   0   0   0]]";0.15422276621787026;0.03817603393425239;"[[  0   0 106   0   0   0   0]
 [  0   0  66   0   0   0   0]
 [  0   0 126   0   0   0   0]
 [  0   0 246   0   0   0   0]
 [  0   0 128   0   0   0   0]
 [  0   0  90   0   0   0   0]
 [  0   0  55   0   0   0   0]]";7;[1 1 1 1 2 0 1]
2;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.14285714285714285;0.03571428571428571;"[[0 0 2 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 2 0 0 0 0]
 [0 0 3 0 0 0 0]
 [0 0 3 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 2 0 0 0 0]]";0.20458177943526903;0.04852467302710557;"[[  0   0 234   0   0   0   0]
 [  0   0 101   0   0   0   0]
 [  0   0 384   0   0   0   0]
 [  0   0 539   0   0   0   0]
 [  0   0 282   0   0   0   0]
 [  0   0 221   0   0   0   0]
 [  0   0 116   0   0   0   0]]";0.15422276621787026;0.03817603393425239;"[[  0   0 106   0   0   0   0]
 [  0   0  66   0   0   0   0]
 [  0   0 126   0   0   0   0]
 [  0   0 246   0   0   0   0]
 [  0   0 128   0   0   0   0]
 [  0   0  90   0   0   0   0]
 [  0   0  55   0   0   0   0]]";14;[2 1 2 3 3 1 2]
3;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.9047619047619048;0.6698412698412699;"[[4 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 2 0 0 0 0]
 [0 0 0 5 0 0 0]
 [0 0 0 0 4 0 0]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 4]]";0.3839572192513369;0.29314108354263607;"[[124   0  32   3   0   0  58]
 [  0   0  98   0   0   0   4]
 [  1   0 376   0   0   0   1]
 [ 26   0 451  33   0   0  23]
 [ 30   0 126  60  39   0  19]
 [ 15   0 140   0   1   0  51]
 [  1   0  12   0   0   0 146]]";0.30599755201958384;0.2494460634848031;"[[ 44   0  21   1   0   0  40]
 [  0   0  66   0   0   0   0]
 [  0   0 125   0   0   0   1]
 [ 22   0 212   8   0   0   4]
 [ 10   0  60  24  26   0   8]
 [  6   0  57   0   0   0  27]
 [  2   0   6   0   0   0  47]]";21;[4 1 2 5 4 1 4]
4;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.8928571428571429;0.6458652458652459;"[[5 0 0 0 0 0 0]
 [0 0 1 0 0 0 0]
 [0 0 2 0 0 0 0]
 [0 0 0 6 0 0 1]
 [0 0 0 0 8 0 0]
 [1 0 0 0 0 0 0]
 [0 0 0 0 0 0 4]]";0.46859903381642515;0.38653615388997153;"[[148   0  21   0   6   0  49]
 [  0   0 122   0   0   0   4]
 [  2   0 333   0   0   0   1]
 [ 41   0 397  59  29   0  33]
 [ 25   0  20  21 193   0  10]
 [ 23   0 105   1  27   0  45]
 [  2   0   6   0   0   0 140]]";0.40636474908200737;0.33417975357891905;"[[ 57   0  10   1   2   0  36]
 [  1   0  64   0   0   0   1]
 [  0   0 123   0   1   0   2]
 [ 35   0 181  10  14   0   6]
 [ 15   0  11   8  93   0   1]
 [ 11   0  49   1   6   0  23]
 [  2   0   4   0   0   0  49]]";28;[5 1 2 7 8 1 4]
5;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.9142857142857143;0.6913919413919414;"[[ 6  0  0  0  0  0  0]
 [ 0  0  0  1  0  0  0]
 [ 0  0  2  0  0  0  0]
 [ 0  0  0 11  0  0  0]
 [ 0  0  0  0  9  0  0]
 [ 1  0  0  1  0  0  0]
 [ 0  0  0  0  0  0  4]]";0.650323275862069;0.5030092612768303;"[[135   0   5  42   1   0  37]
 [  0   0  31  86   0   0   2]
 [  2   0 288  32   0   0   2]
 [ 10   0  18 544   2   0  12]
 [ 18   0   1 123 112   0   3]
 [ 12   0  18 142   5   0  27]
 [  1   0   2  15   0   0 128]]";0.5997552019583844;0.46745478118798933;"[[ 53   0   3  25   1   0  24]
 [  0   0  14  52   0   0   0]
 [  0   0 114   9   1   0   2]
 [  8   0  11 223   2   0   2]
 [ 11   0   0  61  55   0   1]
 [  5   0   8  64   2   0  11]
 [  2   0   0   8   0   0  45]]";35;[ 6  1  2 11  9  2  4]
6;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.8571428571428571;0.6311550882979455;"[[ 6  0  0  0  0  0  1]
 [ 0  0  1  1  0  0  0]
 [ 0  0  3  0  0  0  0]
 [ 0  0  0 13  0  0  0]
 [ 1  0  0  0 10  0  0]
 [ 1  0  0  0  1  0  0]
 [ 0  0  0  0  0  0  4]]";0.6700919415900487;0.5123804257916673;"[[148   0   5  24   3   0  37]
 [  1   0  42  79   0   0   3]
 [  2   0 288   8   0   0   1]
 [ 20   0  51 512  14   0  24]
 [ 15   0   1  69 168   0  10]
 [  9   0  54  42  54   0  29]
 [  4   0   2   7   0   0 123]]";0.631578947368421;0.48397560297390035;"[[ 56   0   4  13   2   0  31]
 [  0   0  22  44   0   0   0]
 [  0   0 117   5   1   0   3]
 [ 13   0  17 210   4   0   2]
 [ 10   0   1  33  84   0   0]
 [ 10   0  28  19  21   0  12]
 [  2   0   0   4   0   0  49]]";42;[ 7  2  3 13 11  2  4]
7;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.8163265306122449;0.6256438239631518;"[[ 7  0  0  0  0  0  1]
 [ 0  0  1  3  0  0  0]
 [ 0  0  3  0  0  0  0]
 [ 0  0  0 13  0  0  0]
 [ 1  0  0  0 12  0  0]
 [ 1  0  0  1  1  0  0]
 [ 0  0  0  0  0  0  5]]";0.6753528773072747;0.531079362624682;"[[128   0   3  44   9   0  17]
 [  1   0  20 109   0   0   3]
 [  2   0 256  28   2   0   0]
 [ 12   0   5 563  17   0   3]
 [  6   0   1  74 193   0   4]
 [  4   0  12  97  75   0  15]
 [  2   0   5  26   2   0 104]]";0.631578947368421;0.5010096943699186;"[[ 53   0   0  32   6   0  15]
 [  0   0  10  56   0   0   0]
 [  0   0 113  12   1   0   0]
 [  8   0   3 221  14   0   0]
 [  1   0   0  36  91   0   0]
 [  4   0   6  47  29   0   4]
 [  0   0   0  15   2   0  38]]";49;[ 8  4  3 13 13  3  5]
8;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.9285714285714286;0.8183673469387756;"[[11  0  0  0  0  0  0]
 [ 0  0  2  2  0  0  0]
 [ 0  0  4  0  0  0  0]
 [ 0  0  0 13  0  0  0]
 [ 0  0  0  0 13  0  0]
 [ 0  0  0  0  0  6  0]
 [ 0  0  0  0  0  0  5]]";0.7395095367847412;0.6511780280345952;"[[147   0   8  34  10  16   6]
 [  0   0  46  79   1   0   0]
 [  2   0 301  11   0   4   1]
 [ 13   0  37 492  22  12   5]
 [  9   0   0  71 182   6   3]
 [  5   0  14  15   4 148   6]
 [  5   0   3  14   1  15  87]]";0.6915544675642595;0.6176490369244012;"[[ 61   0   4  21   7  12   1]
 [  0   0  24  42   0   0   0]
 [  0   0 119   6   1   0   0]
 [ 15   0  14 199  16   2   0]
 [  2   0   0  39  86   1   0]
 [  1   0   6  10   2  67   4]
 [  1   0   0  10   2   9  33]]";56;[11  4  4 13 13  6  5]
9;Cora;own;1;0.2;64;0.5;1;0.005;20795212;0.8888888888888888;0.7873829873829875;"[[12  0  0  0  0  0  1]
 [ 0  0  3  2  0  0  0]
 [ 0  0  5  0  0  0  0]
 [ 0  0  0 14  0  0  0]
 [ 1  0  0  0 13  0  0]
 [ 0  0  0  0  0  6  0]
 [ 0  0  0  0  0  0  6]]";0.7390590809628009;0.6539778612516001;"[[152   0   7  35   9   4  15]
 [  0   0  33  96   1   0   1]
 [  1   0 297  11   0   2   2]
 [ 20   0  30 518  16   3   5]
 [ 15   0   0  85 145   1   3]
 [  6   0  17  23   2 127  15]
 [  2   0   3  11   1   2 112]]";0.6927784577723378;0.6226012528757613;"[[ 65   0   9  19   3   1   9]
 [  0   0  18  48   0   0   0]
 [  0   0 119   6   1   0   0]
 [ 14   0  13 206   9   2   2]
 [  4   0   0  49  75   0   0]
 [  4   0   7  11   1  57  10]
 [  1   0   0   8   2   0  44]]";63;[13  5  5 14 14  6  6]
