;dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;labeled accuracy;labeled macro-f1;labeled confusion;unlabeled accuracy;unlabeled macro-f1;unlabeled confusion;test accuracy;test macro-f1;test confusion;budget used;class distrubution
0;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.0;0.0;[[]];0.15441565309360128;0.03825243990305889;"[[  0   0 245   0   0   0   0]
 [  0   0 151   0   0   0   0]
 [  0   0 292   0   0   0   0]
 [  0   0 570   0   0   2   0]
 [  0   0 298   0   0   0   0]
 [  0   0 208   0   0   0   0]
 [  0   0 125   0   0   0   0]]";0.15422276621787026;0.03817603393425239;"[[  0   0 106   0   0   0   0]
 [  0   0  66   0   0   0   0]
 [  0   0 126   0   0   0   0]
 [  0   0 246   0   0   0   0]
 [  0   0 128   0   0   0   0]
 [  0   0  90   0   0   0   0]
 [  0   0  55   0   0   0   0]]";0;[]
1;Cora;own;0;0.2;64;0.5;1;0.005;20795212;1.0;1.0;"[[2 0 0]
 [0 3 0]
 [0 0 2]]";0.22505307855626328;0.14878041319849436;"[[271  12   0  41   0   0   0]
 [115  15   0  18   0   0   0]
 [153  94   0  44   0   0   0]
 [338 101   0 113   0   0   2]
 [161  34   0  57   0   0   0]
 [165  26   0  15   0   0   0]
 [ 72   3   0   9   0   0  25]]";0.18727050183598531;0.1321627231715906;"[[ 85   2   0  19   0   0   0]
 [ 57   6   0   3   0   0   0]
 [ 68  43   0  15   0   0   0]
 [162  33   0  51   0   0   0]
 [ 74  15   0  39   0   0   0]
 [ 81   7   0   2   0   0   0]
 [ 40   1   0   3   0   0  11]]";7;[2 0 0 3 0 0 2]
2;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.7857142857142857;0.6647619047619047;"[[2 0 0 0 0]
 [0 0 0 0 0]
 [0 0 1 0 0]
 [0 2 0 6 0]
 [0 0 1 0 2]]";0.44485881726158766;0.33660624906133935;"[[209  74  18  13   0   0   0]
 [  5 106  14   0   0   0   0]
 [  0  27 333   1   0   0   0]
 [ 68 217  86 163   0   0   0]
 [ 96  97  16  37   0   0   0]
 [ 22  66 103   1   0   0   0]
 [ 37  35   9   0   0   0  24]]";0.35495716034271724;0.27312954014213503;"[[ 62  25  13   6   0   0   0]
 [  4  46  16   0   0   0   0]
 [  0  12 114   0   0   0   0]
 [ 51  81  55  59   0   0   0]
 [ 48  52  12  16   0   0   0]
 [  8  31  51   0   0   0   0]
 [ 22  17   6   1   0   0   9]]";14;[2 0 1 8 0 0 3]
3;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.8095238095238095;0.6031746031746031;"[[ 2  0  0  0  1  0]
 [ 0  0  0  0  1  0]
 [ 0  0  1  0  0  0]
 [ 1  0  0 10  0  0]
 [ 0  1  0  0  0  0]
 [ 0  0  0  0  0  4]]";0.5368983957219251;0.39501066692668313;"[[113   0  13  25  85   4   0]
 [  6   3  10   2  59   3   0]
 [  0   0 279   2  33   0   0]
 [ 47   0  30 215 175   3   0]
 [ 54   1  16  32 373   7   0]
 [  8   0  55   6 111   0   0]
 [ 20   0   3  11  44   1  21]]";0.38310893512851896;0.3015455703208355;"[[ 37   0   2  14  53   0   0]
 [  2   3   7   2  48   4   0]
 [  0   0 105   0  20   1   0]
 [ 26   0  17  71 127   5   0]
 [ 26   1   0   7  90   4   0]
 [  0   0  37   1  52   0   0]
 [  9   0   6   5  28   0   7]]";21;[ 3  1  1 11  1  0  4]
4;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.9285714285714286;0.9177536231884057;"[[ 3  0  0  0  1  0]
 [ 0  3  0  0  0  0]
 [ 0  0  2  0  0  0]
 [ 1  0  0 11  0  0]
 [ 0  0  0  0  2  0]
 [ 0  0  0  0  0  5]]";0.548040794417606;0.4951518202923684;"[[103   3   6   8 102   6   0]
 [  5 119   9   0  23   2   0]
 [  0   2 286   0  20   4   0]
 [ 41   2  21 207 232  16   0]
 [ 47  17   5  15 279   8   0]
 [ 11  17  47   1  96   7   0]
 [ 21   0   0   5  49   1  20]]";0.4504283965728274;0.4201761468641574;"[[ 39   4   2   5  56   0   0]
 [  0  48   7   1   8   2   0]
 [  0   0 112   0  13   1   0]
 [ 20   6  10  78 126   6   0]
 [ 21  20   1   4  79   3   0]
 [  0   6  28   1  52   3   0]
 [  7   0   2   2  34   1   9]]";28;[ 4  3  2 12  2  0  5]
5;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.9428571428571428;0.8049886621315192;"[[ 4  0  0  0  0  0  0]
 [ 0  4  0  0  0  1  0]
 [ 0  0  3  0  0  0  0]
 [ 0  0  0 13  0  0  0]
 [ 1  0  0  0  3  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  6]]";0.6341594827586207;0.5672477660109188;"[[103   6   5  25  66   8   0]
 [  3 132   9   2   5  13   0]
 [  1   3 313   2   4   1   0]
 [ 15   5  48 309  97  34   0]
 [ 32   7   8  43 266  19   0]
 [  5  29  72   7  31  32   0]
 [ 20   0   1  14  22  17  22]]";0.5152998776009792;0.4655322849552062;"[[ 39   6   2  13  41   5   0]
 [  0  47   7   3   1   8   0]
 [  0   2 117   0   4   3   0]
 [  8   6  32 119  69  12   0]
 [ 15   6   7   9  77  14   0]
 [  0  19  31   3  25  12   0]
 [  9   1   5   8  14   8  10]]";35;[ 4  5  3 13  4  0  6]
6;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.9761904761904762;0.9746031746031747;"[[ 4  0  0  0  0  0  0]
 [ 0  6  0  0  0  0  0]
 [ 0  0  4  0  0  0  0]
 [ 0  0  0 15  0  0  0]
 [ 0  0  0  0  4  0  0]
 [ 0  0  0  0  0  1  0]
 [ 0  0  1  0  0  0  7]]";0.644131963223364;0.5887749096694692;"[[ 88  14   8  28  44   0  10]
 [  1 146  10   2   3   0   0]
 [  1   3 312   3   4   1   0]
 [ 24  15  67 309  93   1   4]
 [ 40  23  17  40 247   0   3]
 [ 10  62  58   5  10  23   5]
 [  7  10  20   8   4   0  66]]";0.543451652386781;0.504221819328007;"[[ 38   5   6  18  34   0   5]
 [  0  56   7   3   0   0   0]
 [  0   2 120   1   2   0   1]
 [  6   8  41 125  64   0   2]
 [ 15  22  10  14  67   0   0]
 [  2  38  19   1  15  11   4]
 [  6   5   9   5   3   0  27]]";42;[ 4  6  4 15  4  1  8]
7;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.9795918367346939;0.9872676343264579;"[[ 6  0  0  0  0  0  0]
 [ 0  6  0  0  0  0  0]
 [ 0  0  4  0  0  0  0]
 [ 0  0  0 16  0  0  1]
 [ 0  0  0  0  5  0  0]
 [ 0  0  0  0  0  3  0]
 [ 0  0  0  0  0  0  8]]";0.6981541802388708;0.6893571487144944;"[[102   5   6  27  52   5  11]
 [  1 129   8   2   5   2   3]
 [  1   3 306   2   4   2   0]
 [ 20   8  51 317  92   4  20]
 [ 44   8  13  42 245  12   2]
 [ 10  13  19   8   9 123   6]
 [  7   3  11   4   3   8  64]]";0.6132190942472461;0.6199971209186269;"[[ 43   3   4  17  32   2   5]
 [  0  55   7   3   0   1   0]
 [  0   2 120   1   2   0   1]
 [  6   7  29 130  68   5   1]
 [ 22   9   5  17  69   5   1]
 [  1   7   7   0  17  52   6]
 [  6   1   8   4   3   1  32]]";49;[ 6  6  4 17  5  3  8]
8;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.9821428571428571;0.9881521986785146;"[[ 7  0  0  0  0  0  0]
 [ 0  7  0  0  0  0  0]
 [ 0  0  5  0  0  0  0]
 [ 0  0  0 16  0  0  1]
 [ 0  0  0  0  7  0  0]
 [ 0  0  0  0  0  4  0]
 [ 0  0  0  0  0  0  9]]";0.691008174386921;0.6794444673310623;"[[ 90   7  16  28  32   3  32]
 [  0 127  15   1   0   2   4]
 [  0   4 302   4   0   0   0]
 [  7  16  70 294  81   2  25]
 [ 28  11  20  31 240  12  15]
 [  2  17  21   5  11 111  16]
 [  3   3   6   4   6   7 104]]";0.602203182374541;0.6033374620516716;"[[ 40   3   9  15  26   2  11]
 [  0  55   8   2   0   1   0]
 [  0   2 121   0   0   0   3]
 [  3  10  43 118  59   3  10]
 [ 12  11  11  12  68   5   9]
 [  1   7  11   1  14  46  10]
 [  2   0   5   1   2   1  44]]";56;[ 7  7  5 17  7  4  9]
9;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.9841269841269841;0.9840778416629811;"[[ 8  0  0  0  0  0  1]
 [ 0  8  0  0  0  0  0]
 [ 0  0  6  0  0  0  0]
 [ 0  0  0 18  0  0  0]
 [ 0  0  0  0  8  0  0]
 [ 0  0  0  0  0  5  0]
 [ 0  0  0  0  0  0  9]]";0.7204595185995624;0.720799320214008;"[[143   3   9  14  29   4  22]
 [  0 128   6   3   3   1   8]
 [  0   3 311   5   2   0   2]
 [ 24  14  57 275  84   4  25]
 [ 58   5  12  21 242   8   4]
 [ 14  11  10   2  11 116  14]
 [  7   3   1   2   2   4 102]]";0.6144430844553244;0.6256988380584045;"[[ 53   4   6  13  22   1   7]
 [  0  54   8   2   1   0   1]
 [  0   4 118   0   0   0   4]
 [ 13   9  34 108  68   4  10]
 [ 21   8   5  10  75   4   5]
 [  7   6   3   0  14  51   9]
 [  5   0   1   0   4   2  43]]";63;[ 9  8  6 18  8  5  9]
10;Cora;own;0;0.2;64;0.5;1;0.005;20795212;0.9857142857142858;0.9888181993445152;"[[ 9  0  0  0  0  0  0]
 [ 0  9  0  0  0  0  0]
 [ 0  0  7  0  0  0  0]
 [ 0  0  0 19  1  0  0]
 [ 0  0  0  0  9  0  0]
 [ 0  0  0  0  0  6  0]
 [ 0  0  0  0  0  0 10]]";0.729269632070291;0.7206490704322518;"[[122   4   6  19  27   2  31]
 [  0 126   7   3   3   1   7]
 [  0   4 308   5   2   0   3]
 [ 17  13  46 291  84   1  35]
 [ 29   7   6  24 261   1  10]
 [  4  14  18   2   7 107  25]
 [ 13   1   1   2   4   5 113]]";0.6328029375764994;0.6300143692141928;"[[ 47   4   5  13  20   1  16]
 [  0  54   8   2   1   0   1]
 [  0   4 117   0   0   0   5]
 [ 10   9  30 121  59   3  14]
 [ 15   8   3   9  87   1   5]
 [  4   6   8   2  11  45  14]
 [  4   0   1   0   2   2  46]]";70;[ 9  9  7 20  9  6 10]
11;Cora;own;0;0.2;64;0.5;1;0.005;20795212;1.0;1.0;"[[10  0  0  0  0  0  0]
 [ 0 10  0  0  0  0  0]
 [ 0  0  8  0  0  0  0]
 [ 0  0  0 23  0  0  0]
 [ 0  0  0  0  9  0  0]
 [ 0  0  0  0  0  6  0]
 [ 0  0  0  0  0  0 11]]";0.756890848952591;0.7369977075738;"[[118   8   7  22  20   2  26]
 [  2 140   4   4   2   1   1]
 [  0   5 334   4   0   1   0]
 [ 17  32  28 330  54   5  16]
 [ 20  14   8  29 234   0  11]
 [  9  17  18   6   7  93  22]
 [  6   2   3   3   2   3 124]]";0.6438188494492044;0.6278031946013548;"[[ 43   8   6  17  15   0  17]
 [  0  54   8   2   1   0   1]
 [  0   4 118   1   0   0   3]
 [ 11  19  24 140  42   4   6]
 [ 12   9   7  11  83   1   5]
 [  4   7  11   3   7  42  16]
 [  4   1   1   0   2   1  46]]";77;[10 10  8 23  9  6 11]
12;Cora;own;0;0.2;64;0.5;1;0.005;20795212;1.0;1.0;"[[10  0  0  0  0  0  0]
 [ 0 10  0  0  0  0  0]
 [ 0  0  9  0  0  0  0]
 [ 0  0  0 25  0  0  0]
 [ 0  0  0  0 11  0  0]
 [ 0  0  0  0  0  7  0]
 [ 0  0  0  0  0  0 12]]";0.7609297177642501;0.742219139583814;"[[113   7   2  28  25   0  27]
 [  2 135   5   3   3   1   2]
 [  0   4 328   6   1   0   0]
 [ 13  31  25 330  51   4  21]
 [ 16  10   5  31 247   0  14]
 [  3  11  17   9   9  96  30]
 [  5   1   3   2   3   2 126]]";0.6634026927784578;0.6448131114538999;"[[ 42   7   4  19  16   0  18]
 [  0  54   8   2   1   0   1]
 [  0   4 118   1   0   0   3]
 [  8  21  16 145  41   2  13]
 [  8   7   5  10  93   0   5]
 [  2   6  10   4   7  43  18]
 [  4   1   1   0   2   0  47]]";84;[10 10  9 25 11  7 12]
