dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3195329087048832;0.25874415703678116;ommited for csv readability;0.31456548347613217;0.24996468741103706;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.309536494405967;0.24733396392158571;ommited for csv readability;0.29498164014687883;0.2276531669972605;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8581632653061223;ommited for csv readability;0.3315508021390374;0.2985475795314717;ommited for csv readability;0.31701346389228885;0.2900447217151088;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.8928571428571429;0.891156462585034;ommited for csv readability;0.581857219538379;0.5870985809277067;ommited for csv readability;0.565483476132191;0.5745843246586817;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9711399711399712;ommited for csv readability;0.6481681034482759;0.6437322224024841;ommited for csv readability;0.6291309669522643;0.6284372556326597;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6884802595997837;0.668919998539139;ommited for csv readability;0.6731946144430845;0.6604193909239885;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9795918367346939;0.9794871794871794;ommited for csv readability;0.7057546145494028;0.678606594520715;ommited for csv readability;0.7013463892288861;0.6815956118009937;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9641456582633054;ommited for csv readability;0.7318801089918257;0.6935823323222615;ommited for csv readability;0.7343941248470012;0.7041617431543186;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9841269841269841;0.9840778416629811;ommited for csv readability;0.7543763676148797;0.7220541790933026;ommited for csv readability;0.7527539779681762;0.731311137466939;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9857142857142858;0.9856784819190835;ommited for csv readability;0.7660626029654036;0.7437023444455587;ommited for csv readability;0.7564259485924113;0.742621758725997;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.974025974025974;0.9744897959183673;ommited for csv readability;0.7541345093715546;0.7328046726960046;ommited for csv readability;0.7454100367197063;0.73431453411795;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7742114001106807;0.7531208245676851;ommited for csv readability;0.762545899632803;0.7482613840014077;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.978021978021978;0.978005698005698;ommited for csv readability;0.7622222222222222;0.7347144293739403;ommited for csv readability;0.7613219094247246;0.7438748150646921;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9591836734693877;0.9590950556467799;ommited for csv readability;0.7484662576687117;0.7199607310495664;ommited for csv readability;0.7539779681762546;0.7362386525954776;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9711399711399712;ommited for csv readability;0.7665173572228443;0.7279883009238324;ommited for csv readability;0.7772337821297429;0.749142890422184;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9464285714285714;0.9454313543599258;ommited for csv readability;0.774592467678471;0.7365791448019026;ommited for csv readability;0.7784577723378213;0.7530791064902901;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9495798319327731;0.9482190910762338;ommited for csv readability;0.781038374717833;0.7467938100758202;ommited for csv readability;0.7821297429620563;0.7601618448061833;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9761352051489159;ommited for csv readability;0.794900849858357;0.7747214143862777;ommited for csv readability;0.7760097919216646;0.760803067139592;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9774436090225563;0.9773966273966275;ommited for csv readability;0.8088737201365188;0.7874651584809109;ommited for csv readability;0.795593635250918;0.7792711682980007;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
