dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.4857142857142857;ommited for csv readability;0.44904458598726116;0.2943731538496204;ommited for csv readability;0.42105263157894735;0.2759344747863258;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;0.7857142857142857;0.7482993197278912;ommited for csv readability;0.46297282898241876;0.41573710509531114;ommited for csv readability;0.41615667074663404;0.371991112971755;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;0.9047619047619048;0.8928571428571429;ommited for csv readability;0.6909090909090909;0.6183746004329799;ommited for csv readability;0.6413708690330477;0.5775773605668141;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9238095238095239;ommited for csv readability;0.6672034353193773;0.5982494822272969;ommited for csv readability;0.6193390452876377;0.5632523656027707;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7144396551724138;0.6925911333432945;ommited for csv readability;0.6376988984088128;0.6163743219525053;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7360735532720389;0.7055541972872784;ommited for csv readability;0.6744186046511628;0.6377060207779407;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7866449511400652;0.7592158193819739;ommited for csv readability;0.7184822521419829;0.685755273104476;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7743869209809264;0.750701358992578;ommited for csv readability;0.7111383108935129;0.6776909356199311;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7833698030634574;0.7598820624117534;ommited for csv readability;0.7172582619339045;0.6882242562495565;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8088962108731467;0.7851770891207377;ommited for csv readability;0.7552019583843329;0.7236507185302737;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.814773980154355;0.7883070773104298;ommited for csv readability;0.7527539779681762;0.7165906009443617;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8068622025456558;0.7831861555805524;ommited for csv readability;0.7356181150550796;0.7017066433365776;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8205555555555556;0.79742194712608;ommited for csv readability;0.7564259485924113;0.7232841572151404;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8215281650864473;0.8018195096605734;ommited for csv readability;0.7429620563035496;0.7086543537498207;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8197088465845465;0.800656207335705;ommited for csv readability;0.7454100367197063;0.7144796500848903;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8201236649803261;0.8050896835961302;ommited for csv readability;0.7503059975520195;0.7229451788113286;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8199774266365688;0.8053371535108625;ommited for csv readability;0.7662178702570379;0.7412992753159511;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8192634560906515;0.8043641340717266;ommited for csv readability;0.7515299877600979;0.723321761347063;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8242320819112628;0.8093145427761572;ommited for csv readability;0.7527539779681762;0.7248840688295071;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
Cora;own;2;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.8206739006282124;0.8056727033377948;ommited for csv readability;0.7503059975520195;0.7245825890966656;ommited for csv readability;140.0;[20 20 20 20 20 20 20]


Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.14119513484928609;0.0674658898285896;ommited for csv readability;0.1383108935128519;0.07731715181305877;ommited for csv readability;0.0;[]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;0.14285714285714285;0.03571428571428571;ommited for csv readability;0.16401273885350318;0.04688892681724223;ommited for csv readability;0.15422276621787026;0.03817603393425239;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5594033031433138;0.5515478410594692;ommited for csv readability;0.4700122399020808;0.46736373227183775;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6631016042780749;0.6556539388324214;ommited for csv readability;0.576499388004896;0.5669986892782076;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7192699946323134;0.7174829303950995;ommited for csv readability;0.6181150550795593;0.6070325316788406;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7467672413793104;0.7354534941590346;ommited for csv readability;0.6744186046511628;0.6446630860513496;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7312060573282856;0.7258227738289611;ommited for csv readability;0.620563035495716;0.6055701153639813;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.754071661237785;0.7453276657402081;ommited for csv readability;0.6609547123623011;0.6387497829453982;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7384196185286104;0.7328824080653372;ommited for csv readability;0.627906976744186;0.6138595328392512;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.763129102844639;0.7560071109210131;ommited for csv readability;0.6511627906976745;0.6317240866607076;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7633168588687534;0.7559614046927406;ommited for csv readability;0.6474908200734394;0.6263538208518252;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7657111356119074;0.7617449275631307;ommited for csv readability;0.6487148102815178;0.6314166902643776;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7603763143331489;0.7576364762122608;ommited for csv readability;0.6376988984088128;0.6191475197793476;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7727777777777778;0.7707467847670222;ommited for csv readability;0.6634026927784578;0.6387905260967107;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7557166759620747;0.7525807860074203;ommited for csv readability;0.6438188494492044;0.6264557540986958;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7670772676371781;0.7652458098406223;ommited for csv readability;0.6487148102815178;0.6289299451671546;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7672849915682968;0.7642775704904948;ommited for csv readability;0.6572827417380661;0.6333235816147832;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7753950338600452;0.7718548453435782;ommited for csv readability;0.6646266829865362;0.6417810805788432;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7818696883852692;0.7783329711821588;ommited for csv readability;0.6756425948592412;0.6512932205260258;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7764505119453925;0.7731598269620596;ommited for csv readability;0.6548347613219094;0.6344508688235393;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
Cora;own;2;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7858366647629925;0.7799356513465143;ommited for csv readability;0.6780905752753978;0.6562560154377675;ommited for csv readability;140.0;[20 20 20 20 20 20 20]


Cora;own;2;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.07932310946589106;0.05716074796130333;ommited for csv readability;0.07466340269277846;0.05458606447491704;ommited for csv readability;0.0;[]
Cora;own;2;0.2;64;0.5;1;0.005;831763849.0;0.8571428571428571;0.8095238095238094;ommited for csv readability;0.3535031847133758;0.34049605393065935;ommited for csv readability;0.3402692778457772;0.3223553793439128;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;2;0.2;64;0.5;1;0.005;831763849.0;0.8571428571428571;0.7999999999999999;ommited for csv readability;0.4965370271710176;0.46209211346793816;ommited for csv readability;0.47613219094247244;0.4495306783369316;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;2;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7385026737967915;0.716064193264862;ommited for csv readability;0.7209302325581395;0.6955932004406414;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;2;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7455716586151369;0.7275681667796674;ommited for csv readability;0.6829865361077111;0.662271826422599;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
