dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.15441565309360128;0.03825243990305889;ommited for csv readability;0.15422276621787026;0.03817603393425239;ommited for csv readability;0.0;[]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.30201698513800423;0.22544172049495925;ommited for csv readability;0.26805385556915545;0.21383186008737873;ommited for csv readability;7.0;[0 0 0 0 3 2 2]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3846563665423548;0.39636082788137006;ommited for csv readability;0.30966952264381886;0.3502527592060086;ommited for csv readability;14.0;[2 1 0 2 3 3 3]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6;0.5191100160931823;ommited for csv readability;0.5018359853121175;0.4455989723403763;ommited for csv readability;21.0;[2 1 0 5 5 4 4]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6532474503488996;0.6253300723680947;ommited for csv readability;0.5569155446756426;0.5180558140147253;ommited for csv readability;28.0;[4 2 1 6 5 5 5]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9746031746031747;ommited for csv readability;0.7106681034482759;0.6876102914192873;ommited for csv readability;0.5960832313341493;0.56588819556381;ommited for csv readability;35.0;[5 3 2 8 5 5 7]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9720730397422127;ommited for csv readability;0.719848566792861;0.7011414713994863;ommited for csv readability;0.6230110159118727;0.5923880122630257;ommited for csv readability;42.0;[6 4 3 9 6 6 8]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9795918367346939;0.9773242630385487;ommited for csv readability;0.751357220412595;0.7371511868076498;ommited for csv readability;0.6793145654834761;0.6615991331288935;ommited for csv readability;49.0;[ 6  5  5 10  8  6  9]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9256827967354283;ommited for csv readability;0.7607629427792916;0.7480455148654734;ommited for csv readability;0.6866585067319462;0.6681293242835737;ommited for csv readability;56.0;[ 7  5  6 12  9  8  9]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9528845384307569;ommited for csv readability;0.7571115973741794;0.7451850120060685;ommited for csv readability;0.6719706242350061;0.6526866331641353;ommited for csv readability;63.0;[ 7  6  8 13 10  9 10]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9571428571428572;0.9527837450769782;ommited for csv readability;0.7688083470620538;0.7509526424996401;ommited for csv readability;0.6793145654834761;0.6577132539086277;ommited for csv readability;70.0;[ 8  7  9 16 10 10 10]


Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07985193019566367;0.021148459383753503;ommited for csv readability;0.08078335373317014;0.021379980563654036;ommited for csv readability;0.0;[]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.47876857749469215;0.3344384075418048;ommited for csv readability;0.4541003671970624;0.317888633299052;ommited for csv readability;7.0;[2 0 0 3 1 1]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.7481481481481481;ommited for csv readability;0.6020245071923281;0.47219333669213365;ommited for csv readability;0.554467564259486;0.43966513133839596;ommited for csv readability;14.0;[2 0 1 5 3 3]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9523809523809523;0.9179487179487179;ommited for csv readability;0.6240641711229946;0.44849039802081964;ommited for csv readability;0.4908200734394125;0.3716834699753666;ommited for csv readability;21.0;[2 0 2 6 5 6]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9642857142857143;0.9215686274509803;ommited for csv readability;0.6682769726247987;0.46402926076890744;ommited for csv readability;0.5287637698898409;0.3791167758467183;ommited for csv readability;28.0;[2 0 3 7 8 8]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9714285714285714;0.9650793650793651;ommited for csv readability;0.7085129310344828;0.6032377676280845;ommited for csv readability;0.5679314565483476;0.4879132146325164;ommited for csv readability;35.0;[3 0 6 8 9 8 1]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9761904761904762;0.9682539682539683;ommited for csv readability;0.680908599242834;0.5819837665309928;ommited for csv readability;0.5287637698898409;0.4591558571608845;ommited for csv readability;42.0;[ 3  0  7  9 11 10  2]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9795918367346939;0.9594202898550724;ommited for csv readability;0.7242128121606949;0.5975191231085313;ommited for csv readability;0.598531211750306;0.49918830813942056;ommited for csv readability;49.0;[ 3  0  8 12 12 11  3]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7525885558583106;0.7081387932368782;ommited for csv readability;0.6328029375764994;0.5848319076621143;ommited for csv readability;56.0;[ 5  1  9 14 12 11  4]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7620350109409191;0.7414820818152629;ommited for csv readability;0.6572827417380661;0.6342957023882583;ommited for csv readability;63.0;[ 6  2 11 16 12 12  4]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9857142857142858;0.9851499851499852;ommited for csv readability;0.8028555738605162;0.7949271046149372;ommited for csv readability;0.7099143206854345;0.6931121446367007;ommited for csv readability;70.0;[ 7  3 11 18 14 13  4]


Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.10312004230565838;0.044901162162677366;ommited for csv readability;0.10526315789473684;0.04310258465237427;ommited for csv readability;0.0;[]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5270700636942676;0.4819017006718868;ommited for csv readability;0.48714810281517745;0.44835005494868163;ommited for csv readability;7.0;[1 0 1 2 2 1]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.512519978689398;0.483157308844818;ommited for csv readability;0.4908200734394125;0.46368769151173234;ommited for csv readability;14.0;[2 1 2 4 3 2]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6930481283422459;0.6050032849530548;ommited for csv readability;0.631578947368421;0.5529624624199382;ommited for csv readability;21.0;[3 2 3 5 5 3]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9285714285714286;0.9266955266955268;ommited for csv readability;0.6951154052603328;0.6689221589257179;ommited for csv readability;0.6658506731946144;0.6383305047352275;ommited for csv readability;28.0;[4 2 5 5 6 5 1]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9428571428571428;0.9194139194139194;ommited for csv readability;0.7580818965517241;0.7337620762743172;ommited for csv readability;0.6903304773561811;0.6487045332960635;ommited for csv readability;35.0;[7 2 6 6 6 6 2]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7209302325581395;0.712595146568458;ommited for csv readability;0.6523867809057528;0.6297208608522904;ommited for csv readability;42.0;[9 2 8 7 7 6 3]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7361563517915309;0.7152258832182794;ommited for csv readability;0.6609547123623011;0.6239334583322121;ommited for csv readability;49.0;[10  3  9  9  8  7  3]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9821428571428571;0.9711884753901561;ommited for csv readability;0.7411444141689373;0.6974399670786868;ommited for csv readability;0.6780905752753978;0.6296630009480966;ommited for csv readability;56.0;[11  3 10 12  8  9  3]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9682539682539683;0.9505557371690095;ommited for csv readability;0.7396061269146609;0.6955107555467727;ommited for csv readability;0.6768665850673194;0.6183244155211617;ommited for csv readability;63.0;[12  3 11 15  9 10  3]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9714285714285714;0.9774105593654465;ommited for csv readability;0.741900054914882;0.6855590977566715;ommited for csv readability;0.6988984088127295;0.6276056617705696;ommited for csv readability;70.0;[14  4 12 17  9 11  3]


Cora;own;-1;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.15441565309360128;0.03821739414959755;ommited for csv readability;0.15422276621787026;0.03817603393425239;ommited for csv readability;0.0;[]
