dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;0.5;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1110523532522475;0.029335325323122722;ommited for csv readability;0.11015911872705018;0.02835092140494566;ommited for csv readability;0.0;[]
Cora;own;0.5;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3678343949044586;0.3409538259363347;ommited for csv readability;0.37454100367197063;0.34573725759740614;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;0.5;0;64;0.5;1;0.005;20795212.0;0.7857142857142857;0.780952380952381;ommited for csv readability;0.4864144912093767;0.42689020413567114;ommited for csv readability;0.4675642594859241;0.4066784928209599;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;0.5;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8581632653061223;ommited for csv readability;0.33101604278074864;0.352136171000242;ommited for csv readability;0.33659730722154224;0.346878195365508;ommited for csv readability;21.0;[3 3 3 3 3 3 3]


Cora;own;0.5;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.13960867265996826;0.03835569866644002;ommited for csv readability;0.13586291309669524;0.03481260780931473;ommited for csv readability;0.0;[]
Cora;own;0.5;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.24150743099787686;0.21463946045597065;ommited for csv readability;0.2386780905752754;0.21156748675227807;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;0.5;0;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.5904761904761904;ommited for csv readability;0.4299413958444326;0.2937334616142527;ommited for csv readability;0.42105263157894735;0.29129741333376113;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;0.5;0;64;0.5;1;0.005;649695571.0;0.7619047619047619;0.7666666666666666;ommited for csv readability;0.353475935828877;0.3465047905787075;ommited for csv readability;0.3243574051407589;0.3157609910229841;ommited for csv readability;21.0;[3 3 3 3 3 3 3]

