dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1406663141195135;0.13511598152838555;ommited for csv readability;0.1591187270501836;0.14962961510415893;ommited for csv readability;0.0;[]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.34501061571125263;0.2523279880094441;ommited for csv readability;0.3623011015911873;0.25744809617972203;ommited for csv readability;7.0;[0 0 2 3 1 0 1]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4038359083644113;0.34315085361557746;ommited for csv readability;0.4112607099143207;0.3382401672225647;ommited for csv readability;14.0;[1 0 2 3 3 1 4]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.45240641711229945;0.3998653679269025;ommited for csv readability;0.4614443084455324;0.4046632051002582;ommited for csv readability;21.0;[1 0 3 4 6 3 4]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4793344068706388;0.4227464412271785;ommited for csv readability;0.4785801713586291;0.41795927247163706;ommited for csv readability;28.0;[3 0 3 8 7 3 4]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.47737068965517243;0.42163150909340363;ommited for csv readability;0.4810281517747858;0.4176730395509642;ommited for csv readability;35.0;[ 3  0  4  9 11  3  5]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9333333333333332;ommited for csv readability;0.5040562466197945;0.44162317053950984;ommited for csv readability;0.5140758873929009;0.44106643714213284;ommited for csv readability;42.0;[ 3  0  4 13 12  5  5]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9183673469387755;0.8976190476190475;ommited for csv readability;0.5238870792616721;0.4655536115082904;ommited for csv readability;0.5287637698898409;0.4632590540369792;ommited for csv readability;49.0;[ 5  0  4 14 14  5  7]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9002645502645502;ommited for csv readability;0.5237057220708446;0.46212742047133626;ommited for csv readability;0.5275397796817626;0.46081857158182865;ommited for csv readability;56.0;[ 5  0  4 17 18  5  7]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9365079365079365;0.9067460317460317;ommited for csv readability;0.537199124726477;0.47913994621532424;ommited for csv readability;0.5458996328029376;0.48414176639275075;ommited for csv readability;63.0;[ 6  0  6 19 20  5  7]
