dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1406663141195135;0.13511598152838555;ommited for csv readability;0.1591187270501836;0.14962961510415893;ommited for csv readability;0.0;[]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3529723991507431;0.33289035932947836;ommited for csv readability;0.3561811505507956;0.33487724050607653;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3484283431006926;0.34792441758467874;ommited for csv readability;0.3635250917992656;0.3613831266239024;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5256684491978609;0.5227799787526647;ommited for csv readability;0.5079559363525091;0.5024252520404001;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5324745034889963;0.526567552993613;ommited for csv readability;0.48225214198286415;0.48857418495996996;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5813577586206896;0.5679290224505478;ommited for csv readability;0.5422276621787026;0.5383525628490583;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6149269875608437;0.6067396118607189;ommited for csv readability;0.5667074663402693;0.5684463827006011;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6281216069489685;0.6193891105593771;ommited for csv readability;0.5789473684210527;0.5819638559317105;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6419618528610355;0.640405720391354;ommited for csv readability;0.5936352509179926;0.5904125862375302;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6575492341356673;0.657082993226916;ommited for csv readability;0.602203182374541;0.603743904537603;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
