dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.2857142857142857;0.18367346938775508;ommited for csv readability;0.1321656050955414;0.0951650484192241;ommited for csv readability;0.13096695226438188;0.09269639646357934;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9238095238095239;ommited for csv readability;0.38412360149174213;0.36479656827169116;ommited for csv readability;0.34394124847001223;0.33706819496293183;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9510204081632654;ommited for csv readability;0.6122994652406417;0.5917085140469814;ommited for csv readability;0.5618115055079559;0.5536882248212789;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9637188208616781;ommited for csv readability;0.7525496511003757;0.7369978093682874;ommited for csv readability;0.6988984088127295;0.6853238974720418;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7413793103448276;0.7364765589453851;ommited for csv readability;0.6878824969400245;0.6794990559210037;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7528393726338561;0.7478425183526844;ommited for csv readability;0.6878824969400245;0.6856820606968709;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7790445168295331;0.7747145608162738;ommited for csv readability;0.7160342717258262;0.7131865246894755;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7683923705722071;0.7695171248537679;ommited for csv readability;0.6952264381884945;0.7011567968084241;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7888402625820569;0.79501044492328;ommited for csv readability;0.7221542227662179;0.728052581592248;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
