dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.1427815970386039;0.09455894499607427;[[95, 16, 1, 16, 113, 2, 2], [41, 37, 0, 2, 61, 9, 1], [29, 69, 0, 22, 145, 23, 4], [175, 81, 3, 6, 276, 19, 12], [85, 46, 4, 9, 132, 3, 19], [46, 18, 8, 0, 135, 0, 1], [20, 11, 7, 3, 84, 0, 0]];[0.3877551020408163, 0.24503311258278146, 0.0, 0.01048951048951049, 0.4429530201342282, 0.0, 0.0];0.1419828641370869;0.0925337535462661;[[36, 10, 1, 8, 48, 1, 2], [19, 15, 0, 0, 26, 4, 2], [13, 36, 0, 5, 61, 10, 1], [75, 27, 2, 4, 122, 8, 8], [30, 18, 1, 11, 61, 0, 7], [25, 8, 1, 0, 56, 0, 0], [9, 5, 4, 0, 37, 0, 0]];[0.33962264150943394, 0.22727272727272727, 0.0, 0.016260162601626018, 0.4765625, 0.0, 0.0];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.7142857142857143;0.625;[[2, 0, 0, 0], [0, 1, 0, 0], [0, 2, 0, 0], [0, 0, 0, 2]];[1.0, 1.0, 0.0, 1.0];0.19745222929936307;0.10004126042008009;[[0, 0, 244, 0, 0, 0, 0], [0, 8, 135, 0, 0, 0, 0], [0, 0, 311, 0, 0, 0, 0], [0, 0, 571, 0, 0, 0, 0], [0, 0, 244, 0, 53, 0, 0], [0, 0, 193, 0, 0, 0, 0], [0, 0, 125, 0, 0, 0, 0]];[0.0, 0.055944055944055944, 1.0, 0.0, 0.17845117845117844, 0.0, 0.0];0.18115055079559364;0.09063952741866012;[[0, 0, 106, 0, 0, 0, 0], [0, 4, 62, 0, 0, 0, 0], [0, 0, 126, 0, 0, 0, 0], [0, 0, 246, 0, 0, 0, 0], [0, 0, 110, 0, 18, 0, 0], [0, 0, 90, 0, 0, 0, 0], [0, 0, 55, 0, 0, 0, 0]];[0.0, 0.06060606060606061, 1.0, 0.0, 0.140625, 0.0, 0.0];7.0;[0, 2, 1, 2, 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.5;0.3376623376623376;[[0, 0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]];[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0];0.24453915823122002;0.14501106801357802;[[0, 0, 231, 0, 0, 0, 0], [0, 12, 121, 0, 0, 0, 0], [0, 0, 342, 0, 0, 0, 0], [0, 0, 552, 0, 3, 0, 0], [0, 0, 188, 0, 105, 0, 0], [0, 0, 182, 0, 0, 0, 0], [0, 0, 141, 0, 0, 0, 0]];[0.0, 0.09022556390977443, 1.0, 0.0, 0.3583617747440273, 0.0, 0.0];0.20930232558139536;0.12430762117470644;[[0, 0, 106, 0, 0, 0, 0], [0, 4, 62, 0, 0, 0, 0], [0, 0, 126, 0, 0, 0, 0], [0, 0, 242, 0, 4, 0, 0], [0, 0, 87, 0, 41, 0, 0], [0, 0, 90, 0, 0, 0, 0], [0, 0, 55, 0, 0, 0, 0]];[0.0, 0.06060606060606061, 1.0, 0.0, 0.3203125, 0.0, 0.0];14.0;[1, 2, 2, 4, 3, 1, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.38095238095238093;0.2693877551020408;[[0, 1, 1, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 6, 0, 2, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]];[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0];0.36524064171122994;0.25167424049716614;[[0, 25, 160, 0, 45, 0, 0], [0, 109, 23, 0, 1, 0, 0], [0, 4, 332, 0, 0, 0, 0], [0, 45, 386, 0, 144, 0, 0], [0, 3, 40, 0, 242, 0, 0], [0, 6, 169, 0, 2, 0, 0], [0, 1, 132, 0, 1, 0, 0]];[0.0, 0.8195488721804511, 0.9880952380952381, 0.0, 0.8491228070175438, 0.0, 0.0];0.34516523867809057;0.2479678723766406;[[0, 14, 75, 0, 17, 0, 0], [0, 48, 17, 0, 1, 0, 0], [0, 0, 126, 0, 0, 0, 0], [0, 7, 174, 0, 65, 0, 0], [0, 3, 17, 0, 108, 0, 0], [0, 1, 87, 0, 2, 0, 0], [0, 0, 55, 0, 0, 0, 0]];[0.0, 0.7272727272727273, 1.0, 0.0, 0.84375, 0.0, 0.0];21.0;[2, 2, 2, 8, 4, 2, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.75;0.5204081632653061;[[0, 0, 0, 3, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 11, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 1, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0]];[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0];0.558239398819109;0.3589063913927764;[[0, 0, 14, 218, 0, 0, 0], [0, 47, 6, 70, 0, 0, 0], [0, 0, 310, 22, 0, 0, 0], [0, 0, 10, 581, 1, 0, 0], [0, 1, 1, 173, 102, 0, 0], [0, 0, 87, 87, 0, 0, 0], [0, 0, 13, 120, 0, 0, 0]];[0.0, 0.3821138211382114, 0.9337349397590361, 0.981418918918919, 0.36823104693140796, 0.0, 0.0];0.5079559363525091;0.3125861523502187;[[0, 0, 2, 103, 1, 0, 0], [0, 16, 7, 43, 0, 0, 0], [0, 0, 120, 6, 0, 0, 0], [0, 0, 4, 241, 1, 0, 0], [0, 1, 0, 89, 38, 0, 0], [0, 0, 46, 44, 0, 0, 0], [0, 0, 11, 44, 0, 0, 0]];[0.0, 0.24242424242424243, 0.9523809523809523, 0.9796747967479674, 0.296875, 0.0, 0.0];28.0;[3, 2, 3, 11, 5, 3, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.7714285714285715;0.5176470588235295;[[0, 0, 0, 3, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 14, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 2, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0]];[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0];0.6169181034482759;0.4260073472471596;[[0, 6, 25, 198, 3, 0, 0], [0, 110, 11, 12, 0, 0, 0], [0, 3, 309, 9, 0, 0, 0], [0, 5, 19, 561, 3, 0, 0], [0, 2, 10, 98, 165, 0, 0], [0, 4, 133, 34, 1, 0, 0], [0, 1, 55, 79, 0, 0, 0]];[0.0, 0.8270676691729323, 0.9626168224299065, 0.9540816326530612, 0.6, 0.0, 0.0];0.594859241126071;0.41276742601487243;[[0, 2, 17, 86, 1, 0, 0], [0, 50, 11, 5, 0, 0, 0], [0, 0, 121, 5, 0, 0, 0], [0, 3, 7, 234, 2, 0, 0], [0, 4, 3, 40, 81, 0, 0], [0, 1, 64, 25, 0, 0, 0], [0, 2, 29, 24, 0, 0, 0]];[0.0, 0.7575757575757576, 0.9603174603174603, 0.9512195121951219, 0.6328125, 0.0, 0.0];35.0;[3, 3, 4, 14, 6, 3, 2]


Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.14119513484928609;0.0674658898285896;[[9, 4, 9, 4, 211, 0, 8], [1, 2, 13, 1, 132, 0, 2], [9, 5, 16, 15, 235, 0, 12], [5, 5, 42, 4, 506, 0, 10], [6, 9, 30, 4, 231, 0, 18], [3, 0, 12, 0, 188, 0, 5], [0, 6, 9, 1, 104, 0, 5]];[0.036734693877551024, 0.013245033112582781, 0.0547945205479452, 0.006993006993006993, 0.7751677852348994, 0.0, 0.04];0.1383108935128519;0.07731715181305877;[[2, 4, 2, 0, 96, 0, 2], [2, 1, 5, 0, 58, 0, 0], [3, 2, 6, 2, 108, 0, 5], [2, 2, 11, 4, 226, 0, 1], [3, 15, 10, 2, 94, 0, 4], [0, 0, 4, 0, 83, 0, 3], [0, 3, 5, 0, 41, 0, 6]];[0.018867924528301886, 0.015151515151515152, 0.047619047619047616, 0.016260162601626018, 0.734375, 0.0, 0.10909090909090909];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.4615384615384615;[[0, 1], [0, 6]];[0.0, 1.0];0.3205944798301486;0.06936150666054203;[[0, 0, 0, 243, 0, 0, 0], [0, 0, 0, 122, 0, 0, 0], [0, 0, 0, 293, 0, 0, 0], [0, 0, 0, 604, 0, 0, 0], [0, 0, 0, 289, 0, 0, 0], [0, 0, 0, 208, 0, 0, 0], [0, 0, 0, 125, 0, 0, 0]];[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0];0.3011015911872705;0.06612014514178201;[[0, 0, 0, 106, 0, 0, 0], [0, 0, 0, 66, 0, 0, 0], [0, 0, 0, 126, 0, 0, 0], [0, 0, 0, 246, 0, 0, 0], [0, 0, 0, 128, 0, 0, 0], [0, 0, 0, 90, 0, 0, 0], [0, 0, 0, 55, 0, 0, 0]];[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0];7.0;[0, 0, 1, 6]
