dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.29670912951167727;0.20260191739734768;ommited for csv readability;0.3108935128518972;0.21142277181522987;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;0.7857142857142857;0.780952380952381;ommited for csv readability;0.4672349493873202;0.3574835257332541;ommited for csv readability;0.4638922888616891;0.3468032660506725;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6775401069518716;0.6375806147707453;ommited for csv readability;0.6609547123623011;0.6206935614195527;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7412775093934514;0.7170019254821802;ommited for csv readability;0.7417380660954712;0.7239129239764271;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7580818965517241;0.740563377442136;ommited for csv readability;0.7429620563035496;0.7278944034230129;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7522985397512169;0.7402849587378298;ommited for csv readability;0.7429620563035496;0.7374962602389739;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7643865363735071;0.7455587027617872;ommited for csv readability;0.758873929008568;0.7443907274173193;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.761307901907357;0.7416752685085114;ommited for csv readability;0.7600979192166463;0.747014852997143;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.762582056892779;0.7441068121044336;ommited for csv readability;0.758873929008568;0.7491212295667665;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7693574958813838;0.7527572267140447;ommited for csv readability;0.7478580171358629;0.73651564836529;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7613009922822491;0.7424973073669078;ommited for csv readability;0.7478580171358629;0.735098962811916;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7565024903154399;0.7347262108875595;ommited for csv readability;0.7539779681762546;0.7402992817717687;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7555555555555555;0.7330392162241218;ommited for csv readability;0.7539779681762546;0.740813217572553;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7573898494143892;0.7342925241279806;ommited for csv readability;0.7552019583843329;0.7434074845118406;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7659574468085106;0.7426016349677572;ommited for csv readability;0.758873929008568;0.747841492695903;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7672849915682968;0.7434985019847941;ommited for csv readability;0.7527539779681762;0.7440362524432428;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7686230248306998;0.7463997016106105;ommited for csv readability;0.7564259485924113;0.7477556494774061;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.769971671388102;0.7447309757348799;ommited for csv readability;0.7637698898408812;0.7520725756168655;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.770193401592719;0.7432742514944858;ommited for csv readability;0.7662178702570379;0.754293925755624;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
Cora;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7664191890348372;0.7400572948338782;ommited for csv readability;0.7637698898408812;0.7525097553817032;ommited for csv readability;140.0;[20 20 20 20 20 20 20]


Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.14119513484928609;0.0674658898285896;ommited for csv readability;0.1383108935128519;0.07731715181305877;ommited for csv readability;0.0;[]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.34076433121019106;0.24308076199718215;ommited for csv readability;0.33414932680538556;0.2511990891042876;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;0.6428571428571429;0.6666666666666666;ommited for csv readability;0.37133724027703785;0.27645890179576044;ommited for csv readability;0.3659730722154223;0.2767789377388848;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8581632653061224;ommited for csv readability;0.4283422459893048;0.40072490413362943;ommited for csv readability;0.43818849449204406;0.42288338852662427;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;0.9642857142857143;0.963718820861678;ommited for csv readability;0.5512614063338701;0.5564976019762937;ommited for csv readability;0.5385556915544676;0.5440558037649763;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;0.9714285714285714;0.9711399711399712;ommited for csv readability;0.6610991379310345;0.6558530201332006;ommited for csv readability;0.6193390452876377;0.6177793345163263;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7571660356949702;0.7352491401820311;ommited for csv readability;0.7417380660954712;0.7157363653437646;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7698154180238871;0.7461141907251293;ommited for csv readability;0.762545899632803;0.7370625888936118;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7732970027247956;0.7487687583588146;ommited for csv readability;0.7662178702570379;0.7386315035109395;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
