dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.1427815970386039;0.09455894499607427;[[95, 16, 1, 16, 113, 2, 2], [41, 37, 0, 2, 61, 9, 1], [29, 69, 0, 22, 145, 23, 4], [175, 81, 3, 6, 276, 19, 12], [85, 46, 4, 9, 132, 3, 19], [46, 18, 8, 0, 135, 0, 1], [20, 11, 7, 3, 84, 0, 0]];[0.3877551020408163, 0.24503311258278146, 0.0, 0.01048951048951049, 0.4429530201342282, 0.0, 0.0];0.1419828641370869;0.0925337535462661;[[36, 10, 1, 8, 48, 1, 2], [19, 15, 0, 0, 26, 4, 2], [13, 36, 0, 5, 61, 10, 1], [75, 27, 2, 4, 122, 8, 8], [30, 18, 1, 11, 61, 0, 7], [25, 8, 1, 0, 56, 0, 0], [9, 5, 4, 0, 37, 0, 0]];[0.33962264150943394, 0.22727272727272727, 0.0, 0.016260162601626018, 0.4765625, 0.0, 0.0];0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.42857142857142855;0.24761904761904763;[[0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [0, 0, 2, 0, 0], [0, 0, 2, 0, 0], [0, 1, 0, 0, 0]];[0.0, 1.0, 1.0, 0.0, 0.0];0.4585987261146497;0.1793429860584402;[[0, 0, 41, 191, 0, 0, 0], [0, 0, 39, 104, 0, 0, 0], [0, 0, 291, 5, 0, 0, 0], [0, 0, 19, 573, 0, 0, 0], [0, 0, 10, 283, 0, 0, 0], [0, 0, 160, 44, 0, 0, 0], [0, 0, 53, 71, 0, 0, 0]];[0.0, 0.0, 0.9831081081081081, 0.9679054054054054, 0.0, 0.0, 0.0];0.43818849449204406;0.17389553659680881;[[0, 0, 14, 92, 0, 0, 0], [0, 0, 16, 50, 0, 0, 0], [0, 0, 124, 2, 0, 0, 0], [0, 0, 12, 234, 0, 0, 0], [0, 0, 6, 122, 0, 0, 0], [0, 0, 65, 25, 0, 0, 0], [0, 0, 32, 23, 0, 0, 0]];[0.0, 0.0, 0.9841269841269841, 0.9512195121951219, 0.0, 0.0, 0.0];7.0;[0, 1, 1, 2, 2, 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.40277777777777773;[[0, 0, 1, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 3, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 1, 2, 0, 0], [0, 0, 0, 0, 0, 1]];[0.0, 0.0, 1.0, 1.0, 0.0, 1.0];0.45231752797016517;0.1955169528326311;[[0, 0, 105, 128, 0, 0, 0], [0, 0, 72, 70, 0, 0, 0], [0, 0, 290, 5, 0, 0, 0], [0, 0, 48, 539, 0, 0, 0], [0, 0, 34, 258, 0, 0, 0], [0, 0, 142, 42, 0, 20, 0], [0, 0, 68, 56, 0, 0, 0]];[0.0, 0.0, 0.9830508474576272, 0.9182282793867121, 0.0, 0.09803921568627451, 0.0];0.43818849449204406;0.18991304783376162;[[0, 0, 45, 61, 0, 0, 0], [0, 0, 29, 37, 0, 0, 0], [0, 0, 125, 1, 0, 0, 0], [0, 0, 21, 225, 0, 0, 0], [0, 0, 18, 110, 0, 0, 0], [0, 0, 58, 24, 0, 8, 0], [0, 0, 43, 12, 0, 0, 0]];[0.0, 0.0, 0.9920634920634921, 0.9146341463414634, 0.0, 0.08888888888888889, 0.0];14.0;[2, 1, 3, 4, 3, 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.42087542087542085;[[0, 0, 0, 3, 0, 0], [0, 0, 1, 1, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 7, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 1]];[0.0, 0.0, 1.0, 1.0, 0.0, 1.0];0.5149732620320856;0.28715533009014493;[[0, 0, 38, 191, 0, 1, 0], [0, 0, 30, 106, 0, 0, 0], [0, 0, 285, 5, 0, 0, 0], [0, 0, 16, 584, 0, 0, 0], [0, 0, 9, 278, 0, 0, 0], [0, 0, 53, 56, 0, 94, 0], [0, 0, 16, 108, 0, 0, 0]];[0.0, 0.0, 0.9827586206896551, 0.9733333333333334, 0.0, 0.4630541871921182, 0.0];0.4920440636474908;0.28527367981595325;[[0, 0, 21, 85, 0, 0, 0], [0, 0, 14, 52, 0, 0, 0], [0, 0, 123, 3, 0, 0, 0], [0, 0, 14, 232, 0, 0, 0], [0, 0, 7, 121, 0, 0, 0], [0, 0, 16, 27, 0, 47, 0], [0, 0, 13, 42, 0, 0, 0]];[0.0, 0.0, 0.9761904761904762, 0.943089430894309, 0.0, 0.5222222222222223, 0.0];21.0;[3, 2, 4, 7, 4, 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6071428571428571;0.45359477124183006;[[0, 0, 3, 1, 0, 0], [0, 0, 2, 1, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 8, 0, 0], [0, 0, 2, 2, 1, 0], [0, 0, 0, 0, 0, 3]];[0.0, 0.0, 1.0, 1.0, 0.2, 1.0];0.5260332796564681;0.29032442180702805;[[0, 0, 118, 113, 0, 5, 0], [0, 0, 48, 87, 0, 0, 0], [0, 0, 284, 6, 0, 0, 0], [0, 0, 30, 555, 0, 7, 0], [0, 0, 27, 228, 3, 28, 0], [0, 0, 39, 24, 0, 138, 0], [0, 0, 51, 59, 0, 13, 0]];[0.0, 0.0, 0.9793103448275862, 0.9375, 0.01048951048951049, 0.6865671641791045, 0.0];0.5018359853121175;0.27959857457289594;[[0, 0, 51, 55, 0, 0, 0], [0, 0, 22, 44, 0, 0, 0], [0, 0, 124, 2, 0, 0, 0], [0, 0, 19, 227, 0, 0, 0], [0, 0, 18, 98, 0, 12, 0], [0, 0, 17, 14, 0, 59, 0], [0, 0, 29, 19, 0, 7, 0]];[0.0, 0.0, 0.9841269841269841, 0.9227642276422764, 0.0, 0.6555555555555556, 0.0];28.0;[4, 3, 5, 8, 5, 3]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.6857142857142857;0.4552220888355341;[[0, 0, 0, 2, 2, 0, 0], [0, 0, 2, 1, 1, 0, 0], [0, 0, 7, 0, 0, 0, 0], [0, 0, 0, 9, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 1, 2, 0], [0, 0, 1, 0, 1, 0, 0]];[0.0, 0.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.0];0.584051724137931;0.3807726983283538;[[0, 0, 33, 54, 131, 0, 0], [0, 0, 50, 79, 32, 5, 0], [0, 0, 300, 8, 3, 2, 0], [0, 0, 28, 502, 34, 0, 0], [0, 0, 2, 96, 182, 0, 0], [0, 0, 34, 9, 37, 100, 0], [0, 0, 55, 30, 49, 1, 0]];[0.0, 0.0, 0.9584664536741214, 0.8900709219858156, 0.65, 0.5555555555555556, 0.0];0.5752753977968176;0.3765390749601276;[[0, 0, 22, 27, 57, 0, 0], [0, 0, 19, 36, 11, 0, 0], [0, 0, 124, 2, 0, 0, 0], [0, 0, 15, 214, 17, 0, 0], [0, 0, 1, 43, 84, 0, 0], [0, 0, 15, 4, 23, 48, 0], [0, 0, 30, 3, 22, 0, 0]];[0.0, 0.0, 0.9841269841269841, 0.8699186991869918, 0.65625, 0.5333333333333333, 0.0];35.0;[4, 4, 7, 9, 6, 3, 2]


Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.14119513484928609;0.0674658898285896;[[9, 4, 9, 4, 211, 0, 8], [1, 2, 13, 1, 132, 0, 2], [9, 5, 16, 15, 235, 0, 12], [5, 5, 42, 4, 506, 0, 10], [6, 9, 30, 4, 231, 0, 18], [3, 0, 12, 0, 188, 0, 5], [0, 6, 9, 1, 104, 0, 5]];[0.036734693877551024, 0.013245033112582781, 0.0547945205479452, 0.006993006993006993, 0.7751677852348994, 0.0, 0.04];0.1383108935128519;0.07731715181305877;[[2, 4, 2, 0, 96, 0, 2], [2, 1, 5, 0, 58, 0, 0], [3, 2, 6, 2, 108, 0, 5], [2, 2, 11, 4, 226, 0, 1], [3, 15, 10, 2, 94, 0, 4], [0, 0, 4, 0, 83, 0, 3], [0, 3, 5, 0, 41, 0, 6]];[0.018867924528301886, 0.015151515151515152, 0.047619047619047616, 0.016260162601626018, 0.734375, 0.0, 0.10909090909090909];0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;0.42857142857142855;0.15;[[0, 0, 2, 0], [0, 0, 1, 0], [0, 0, 3, 0], [0, 0, 1, 0]];[0.0, 0.0, 1.0, 0.0];0.1624203821656051;0.03992172211350293;[[0, 0, 0, 0, 240, 0, 0], [0, 0, 0, 0, 146, 0, 0], [0, 0, 0, 0, 290, 0, 0], [0, 0, 0, 0, 573, 0, 0], [0, 0, 0, 0, 306, 0, 0], [0, 0, 0, 0, 204, 0, 0], [0, 0, 0, 0, 125, 0, 0]];[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0];0.15667074663402691;0.03869992441421012;[[0, 0, 0, 0, 106, 0, 0], [0, 0, 0, 0, 66, 0, 0], [0, 0, 0, 0, 126, 0, 0], [0, 0, 0, 0, 246, 0, 0], [0, 0, 0, 0, 128, 0, 0], [0, 0, 0, 0, 90, 0, 0], [0, 0, 0, 0, 55, 0, 0]];[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0];7.0;[0, 0, 2, 1, 3, 1]
