dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.1427815970386039;0.09455894499607427;[[95, 16, 1, 16, 113, 2, 2], [41, 37, 0, 2, 61, 9, 1], [29, 69, 0, 22, 145, 23, 4], [175, 81, 3, 6, 276, 19, 12], [85, 46, 4, 9, 132, 3, 19], [46, 18, 8, 0, 135, 0, 1], [20, 11, 7, 3, 84, 0, 0]];[0.3877551020408163, 0.24503311258278146, 0.0, 0.01048951048951049, 0.4429530201342282, 0.0, 0.0];0.1419828641370869;0.0925337535462661;[[36, 10, 1, 8, 48, 1, 2], [19, 15, 0, 0, 26, 4, 2], [13, 36, 0, 5, 61, 10, 1], [75, 27, 2, 4, 122, 8, 8], [30, 18, 1, 11, 61, 0, 7], [25, 8, 1, 0, 56, 0, 0], [9, 5, 4, 0, 37, 0, 0]];[0.33962264150943394, 0.22727272727272727, 0.0, 0.016260162601626018, 0.4765625, 0.0, 0.0];0.0;[]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8666666666666666;[[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 2, 0, 0], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 0.5, 1.0];0.46178343949044587;0.2723796070750903;[[0, 0, 34, 78, 1, 132, 0], [0, 10, 7, 27, 0, 106, 0], [0, 0, 244, 17, 0, 30, 0], [0, 5, 20, 424, 1, 120, 0], [0, 0, 43, 129, 0, 124, 0], [0, 0, 8, 6, 1, 192, 0], [0, 0, 17, 28, 0, 80, 0]];[0.0, 0.06666666666666667, 0.8384879725085911, 0.743859649122807, 0.0, 0.927536231884058, 0.0];0.45165238678090575;0.27300940992754086;[[0, 0, 12, 33, 0, 61, 0], [0, 5, 6, 15, 0, 40, 0], [0, 0, 103, 6, 0, 17, 0], [0, 3, 9, 175, 1, 58, 0], [0, 1, 16, 44, 1, 66, 0], [0, 0, 2, 3, 0, 85, 0], [0, 0, 9, 7, 0, 39, 0]];[0.0, 0.07575757575757576, 0.8174603174603174, 0.7113821138211383, 0.0078125, 0.9444444444444444, 0.0];7.0;[0, 1, 1, 2, 2, 1]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8533333333333333;[[2, 0, 1, 0, 0], [0, 1, 1, 0, 0], [0, 0, 4, 0, 0], [0, 0, 0, 2, 0], [0, 0, 0, 0, 3]];[0.6666666666666666, 0.5, 1.0, 1.0, 1.0];0.43899840170484816;0.2964099833277511;[[0, 2, 0, 235, 0, 8, 0], [0, 58, 0, 87, 0, 3, 0], [0, 0, 62, 187, 0, 41, 0], [0, 3, 0, 557, 0, 8, 0], [0, 2, 0, 264, 0, 30, 0], [0, 0, 0, 58, 0, 147, 0], [0, 0, 0, 106, 0, 19, 0]];[0.0, 0.3918918918918919, 0.21379310344827587, 0.9806338028169014, 0.0, 0.7170731707317073, 0.0];0.42105263157894735;0.2691229217654619;[[0, 1, 0, 102, 0, 3, 0], [0, 21, 0, 43, 0, 2, 0], [0, 0, 19, 92, 0, 15, 0], [0, 1, 0, 241, 0, 4, 0], [0, 2, 0, 115, 0, 11, 0], [0, 0, 0, 27, 0, 63, 0], [0, 0, 0, 43, 0, 12, 0]];[0.0, 0.3181818181818182, 0.15079365079365079, 0.9796747967479674, 0.0, 0.7, 0.0];14.0;[0, 3, 2, 4, 2, 3]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9418181818181818;[[3, 0, 0, 0, 0], [0, 2, 0, 0, 1], [0, 0, 8, 0, 0], [0, 0, 0, 2, 0], [0, 0, 0, 0, 5]];[1.0, 0.6666666666666666, 1.0, 1.0, 1.0];0.4679144385026738;0.3366545369804541;[[0, 2, 1, 234, 0, 8, 0], [0, 74, 0, 72, 0, 2, 0], [0, 0, 98, 158, 0, 33, 0], [0, 1, 0, 555, 0, 8, 0], [0, 1, 0, 264, 0, 31, 0], [0, 0, 3, 52, 0, 148, 0], [0, 0, 0, 99, 0, 26, 0]];[0.0, 0.5, 0.3391003460207612, 0.9840425531914894, 0.0, 0.729064039408867, 0.0];0.4541003671970624;0.31729626647070786;[[0, 1, 0, 104, 0, 1, 0], [0, 28, 0, 38, 0, 0, 0], [0, 0, 34, 81, 0, 11, 0], [0, 1, 0, 243, 0, 2, 0], [0, 2, 0, 113, 0, 13, 0], [0, 0, 0, 24, 0, 66, 0], [0, 0, 0, 44, 0, 11, 0]];[0.0, 0.42424242424242425, 0.2698412698412698, 0.9878048780487805, 0.0, 0.7333333333333333, 0.0];21.0;[0, 3, 3, 8, 2, 5]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.7769119769119769;[[3, 0, 0, 0, 0, 0], [0, 5, 0, 0, 0, 0], [0, 0, 10, 0, 0, 0], [0, 0, 1, 2, 0, 0], [0, 0, 0, 0, 6, 0], [0, 1, 0, 0, 0, 0]];[1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 0.0];0.5367686527106817;0.393452809083513;[[0, 6, 5, 213, 1, 20, 0], [0, 80, 3, 63, 0, 2, 0], [0, 1, 223, 57, 0, 6, 0], [0, 2, 1, 544, 0, 15, 0], [0, 1, 0, 258, 0, 36, 0], [0, 0, 6, 43, 0, 153, 0], [0, 0, 6, 76, 0, 42, 0]];[0.0, 0.5405405405405406, 0.7770034843205574, 0.9679715302491103, 0.0, 0.7574257425742574, 0.0];0.5397796817625459;0.39319246256219353;[[0, 1, 0, 98, 0, 7, 0], [0, 36, 1, 28, 0, 1, 0], [0, 0, 97, 24, 0, 5, 0], [0, 1, 1, 240, 0, 4, 0], [0, 2, 0, 113, 0, 13, 0], [0, 0, 2, 20, 0, 68, 0], [0, 0, 8, 23, 0, 24, 0]];[0.0, 0.5454545454545454, 0.7698412698412699, 0.975609756097561, 0.0, 0.7555555555555555, 0.0];28.0;[0, 3, 5, 10, 3, 6, 1]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.8857142857142857;0.6384440955869527;[[0, 0, 0, 1, 0, 0, 0], [0, 3, 0, 1, 0, 0, 0], [0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 12, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0], [0, 0, 0, 0, 0, 8, 0], [0, 0, 1, 0, 0, 0, 0]];[0.0, 0.75, 1.0, 1.0, 0.6666666666666666, 1.0, 0.0];0.5630387931034483;0.4104045348210356;[[0, 4, 20, 165, 5, 50, 0], [0, 92, 9, 44, 0, 2, 0], [0, 0, 248, 35, 0, 3, 0], [0, 1, 7, 531, 1, 20, 0], [0, 3, 3, 245, 5, 39, 0], [0, 0, 8, 21, 2, 169, 0], [0, 0, 21, 47, 0, 56, 0]];[0.0, 0.6258503401360545, 0.8671328671328671, 0.9482142857142857, 0.01694915254237288, 0.845, 0.0];0.5642594859241126;0.4109166099850073;[[0, 1, 6, 81, 0, 18, 0], [0, 42, 4, 17, 0, 3, 0], [0, 0, 109, 16, 0, 1, 0], [0, 1, 3, 234, 1, 7, 0], [0, 2, 0, 111, 1, 14, 0], [0, 0, 2, 13, 0, 75, 0], [0, 0, 11, 16, 1, 27, 0]];[0.0, 0.6363636363636364, 0.8650793650793651, 0.9512195121951219, 0.0078125, 0.8333333333333334, 0.0];35.0;[1, 4, 6, 12, 3, 8, 1]


Cora;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.14119513484928609;0.0674658898285896;[[9, 4, 9, 4, 211, 0, 8], [1, 2, 13, 1, 132, 0, 2], [9, 5, 16, 15, 235, 0, 12], [5, 5, 42, 4, 506, 0, 10], [6, 9, 30, 4, 231, 0, 18], [3, 0, 12, 0, 188, 0, 5], [0, 6, 9, 1, 104, 0, 5]];[0.036734693877551024, 0.013245033112582781, 0.0547945205479452, 0.006993006993006993, 0.7751677852348994, 0.0, 0.04];0.1383108935128519;0.07731715181305877;[[2, 4, 2, 0, 96, 0, 2], [2, 1, 5, 0, 58, 0, 0], [3, 2, 6, 2, 108, 0, 5], [2, 2, 11, 4, 226, 0, 1], [3, 15, 10, 2, 94, 0, 4], [0, 0, 4, 0, 83, 0, 3], [0, 3, 5, 0, 41, 0, 6]];[0.018867924528301886, 0.015151515151515152, 0.047619047619047616, 0.016260162601626018, 0.734375, 0.0, 0.10909090909090909];0.0;[]
Cora;own;own;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8809523809523809;[[1, 0, 1, 0], [0, 1, 0, 0], [0, 0, 3, 0], [0, 0, 0, 1]];[0.5, 1.0, 1.0, 1.0];0.1592356687898089;0.04309770885413067;[[0, 0, 0, 0, 245, 0, 0], [0, 0, 0, 0, 151, 0, 0], [0, 0, 2, 0, 288, 0, 0], [0, 0, 0, 2, 569, 0, 0], [0, 0, 0, 0, 295, 0, 0], [0, 0, 0, 0, 206, 1, 0], [0, 0, 0, 0, 125, 0, 0]];[0.0, 0.0, 0.006896551724137931, 0.0035026269702276708, 1.0, 0.004830917874396135, 0.0];0.1591187270501836;0.04307845815113454;[[0, 0, 0, 0, 106, 0, 0], [0, 0, 0, 0, 66, 0, 0], [0, 0, 0, 0, 126, 0, 0], [0, 0, 0, 1, 245, 0, 0], [0, 0, 0, 0, 128, 0, 0], [0, 0, 0, 0, 89, 1, 0], [0, 0, 0, 0, 55, 0, 0]];[0.0, 0.0, 0.0, 0.0040650406504065045, 1.0, 0.011111111111111112, 0.0];7.0;[0, 0, 2, 1, 3, 1]
