dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.1427815970386039;0.09455894499607427;[[95, 16, 1, 16, 113, 2, 2], [41, 37, 0, 2, 61, 9, 1], [29, 69, 0, 22, 145, 23, 4], [175, 81, 3, 6, 276, 19, 12], [85, 46, 4, 9, 132, 3, 19], [46, 18, 8, 0, 135, 0, 1], [20, 11, 7, 3, 84, 0, 0]];[0.3877551020408163, 0.24503311258278146, 0.0, 0.01048951048951049, 0.4429530201342282, 0.0, 0.0];0.1419828641370869;0.0925337535462661;[[36, 10, 1, 8, 48, 1, 2], [19, 15, 0, 0, 26, 4, 2], [13, 36, 0, 5, 61, 10, 1], [75, 27, 2, 4, 122, 8, 8], [30, 18, 1, 11, 61, 0, 7], [25, 8, 1, 0, 56, 0, 0], [9, 5, 4, 0, 37, 0, 0]];[0.33962264150943394, 0.22727272727272727, 0.0, 0.016260162601626018, 0.4765625, 0.0, 0.0];0.0;[]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.2857142857142857;0.08888888888888889;[[0, 0, 0, 0, 2], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 1], [0, 0, 0, 0, 2]];[0.0, 0.0, 0.0, 0.0, 1.0];0.18046709129511676;0.043679342240493316;[[0, 0, 0, 0, 0, 254, 0], [0, 0, 0, 0, 0, 146, 0], [0, 0, 0, 0, 0, 180, 0], [0, 0, 0, 0, 0, 554, 0], [0, 0, 0, 0, 0, 297, 0], [0, 0, 0, 0, 0, 340, 0], [0, 0, 0, 0, 0, 113, 0]];[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0];0.11015911872705018;0.02835092140494566;[[0, 0, 0, 0, 0, 106, 0], [0, 0, 0, 0, 0, 66, 0], [0, 0, 0, 0, 0, 126, 0], [0, 0, 0, 0, 0, 246, 0], [0, 0, 0, 0, 0, 128, 0], [0, 0, 0, 0, 0, 90, 0], [0, 0, 0, 0, 0, 55, 0]];[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0];7.0;[2, 1, 0, 1, 1, 2]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.5;0.3197278911564626;[[4, 0, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 2, 0], [1, 0, 0, 0, 0, 0, 0]];[1.0, 0.0, 0.0, 0.0, 1.0, 0.6666666666666666, 0.0];0.21150772509323387;0.1282963797226145;[[270, 0, 0, 0, 0, 1, 0], [132, 0, 0, 0, 0, 2, 0], [183, 0, 0, 0, 0, 164, 0], [504, 0, 0, 0, 0, 20, 0], [252, 0, 0, 0, 38, 0, 0], [112, 0, 0, 0, 0, 89, 0], [108, 0, 0, 0, 0, 2, 0]];[0.996309963099631, 0.0, 0.0, 0.0, 0.1310344827586207, 0.4427860696517413, 0.0];0.204406364749082;0.13804312615315276;[[106, 0, 0, 0, 0, 0, 0], [64, 0, 0, 0, 0, 2, 0], [77, 0, 0, 0, 0, 49, 0], [243, 0, 0, 0, 0, 3, 0], [109, 0, 0, 0, 19, 0, 0], [48, 0, 0, 0, 0, 42, 0], [52, 0, 0, 0, 0, 3, 0]];[1.0, 0.0, 0.0, 0.0, 0.1484375, 0.4666666666666667, 0.0];14.0;[4, 3, 1, 1, 1, 3, 1]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.38095238095238093;0.35714285714285715;[[3, 0, 1, 0, 0, 0, 0], [0, 1, 2, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [1, 0, 4, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]];[0.75, 0.3333333333333333, 1.0, 0.0, 1.0, 0.0, 0.0];0.2374331550802139;0.13158635591923698;[[26, 0, 223, 0, 0, 0, 0], [0, 1, 132, 0, 0, 0, 0], [0, 0, 346, 0, 0, 0, 0], [6, 0, 536, 0, 1, 0, 0], [0, 0, 222, 0, 70, 0, 0], [1, 0, 195, 0, 0, 1, 0], [4, 0, 106, 0, 0, 0, 0]];[0.10441767068273092, 0.007518796992481203, 1.0, 0.0, 0.23972602739726026, 0.005076142131979695, 0.0];0.20318237454100369;0.11506656351576738;[[5, 0, 101, 0, 0, 0, 0], [0, 0, 66, 0, 0, 0, 0], [0, 0, 126, 0, 0, 0, 0], [3, 0, 242, 0, 1, 0, 0], [0, 0, 94, 0, 34, 0, 0], [1, 0, 88, 0, 0, 1, 0], [3, 0, 52, 0, 0, 0, 0]];[0.04716981132075472, 0.0, 1.0, 0.0, 0.265625, 0.011111111111111112, 0.0];21.0;[4, 3, 2, 5, 2, 4, 1]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.7142857142857143;0.6561533704390846;[[5, 0, 0, 0, 0, 0, 0], [0, 2, 1, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0], [2, 1, 2, 3, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 4, 0], [2, 0, 0, 0, 0, 0, 0]];[1.0, 0.6666666666666666, 1.0, 0.375, 1.0, 1.0, 0.0];0.4825550187869028;0.3940432125300255;[[122, 0, 108, 0, 12, 6, 0], [2, 10, 105, 0, 8, 0, 0], [0, 0, 343, 0, 1, 1, 0], [111, 0, 334, 33, 57, 14, 0], [11, 0, 18, 0, 261, 1, 0], [19, 0, 44, 0, 2, 130, 0], [69, 0, 35, 0, 0, 6, 0]];[0.49193548387096775, 0.08, 0.9942028985507246, 0.060109289617486336, 0.8969072164948454, 0.6666666666666666, 0.0];0.43084455324357407;0.3563706951683218;[[45, 0, 51, 0, 7, 3, 0], [3, 4, 54, 0, 5, 0, 0], [1, 0, 125, 0, 0, 0, 0], [48, 0, 159, 7, 30, 2, 0], [2, 0, 12, 0, 113, 1, 0], [13, 0, 18, 0, 1, 58, 0], [33, 0, 16, 0, 0, 6, 0]];[0.42452830188679247, 0.06060606060606061, 0.9920634920634921, 0.028455284552845527, 0.8828125, 0.6444444444444445, 0.0];28.0;[5, 3, 3, 8, 3, 4, 2]
Cora;own;random;0.2;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.7730480046269521;[[5, 0, 0, 0, 0, 0, 0], [0, 2, 0, 1, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [1, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 5, 0], [2, 0, 0, 1, 0, 0, 0]];[1.0, 0.6666666666666666, 1.0, 0.8888888888888888, 1.0, 1.0, 0.0];0.5915948275862069;0.4597079584840108;[[63, 0, 63, 80, 23, 7, 0], [0, 7, 88, 22, 8, 0, 0], [0, 0, 340, 2, 1, 1, 0], [15, 0, 176, 284, 52, 10, 0], [4, 0, 3, 16, 272, 1, 0], [8, 0, 39, 13, 2, 132, 0], [50, 0, 35, 28, 0, 11, 0]];[0.2669491525423729, 0.056, 0.9883720930232558, 0.5288640595903166, 0.918918918918919, 0.6804123711340206, 0.0];0.5275397796817626;0.3999909363182708;[[18, 0, 29, 46, 8, 5, 0], [0, 1, 50, 10, 5, 0, 0], [1, 0, 124, 0, 0, 1, 0], [15, 0, 82, 114, 32, 3, 0], [0, 0, 5, 3, 120, 0, 0], [5, 0, 20, 10, 1, 54, 0], [15, 0, 18, 13, 0, 9, 0]];[0.16981132075471697, 0.015151515151515152, 0.9841269841269841, 0.4634146341463415, 0.9375, 0.6, 0.0];35.0;[5, 3, 4, 9, 6, 5, 3]


Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.14119513484928609;0.0674658898285896;[[9, 4, 9, 4, 211, 0, 8], [1, 2, 13, 1, 132, 0, 2], [9, 5, 16, 15, 235, 0, 12], [5, 5, 42, 4, 506, 0, 10], [6, 9, 30, 4, 231, 0, 18], [3, 0, 12, 0, 188, 0, 5], [0, 6, 9, 1, 104, 0, 5]];[0.036734693877551024, 0.013245033112582781, 0.0547945205479452, 0.006993006993006993, 0.7751677852348994, 0.0, 0.04];0.1383108935128519;0.07731715181305877;[[2, 4, 2, 0, 96, 0, 2], [2, 1, 5, 0, 58, 0, 0], [3, 2, 6, 2, 108, 0, 5], [2, 2, 11, 4, 226, 0, 1], [3, 15, 10, 2, 94, 0, 4], [0, 0, 4, 0, 83, 0, 3], [0, 3, 5, 0, 41, 0, 6]];[0.018867924528301886, 0.015151515151515152, 0.047619047619047616, 0.016260162601626018, 0.734375, 0.0, 0.10909090909090909];0.0;[]
Cora;own;random;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[2, 0, 0, 0], [0, 2, 0, 0], [0, 0, 2, 0], [0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0];0.43789808917197454;0.24414283724221267;[[252, 0, 0, 13, 0, 0, 0], [86, 0, 6, 54, 0, 0, 0], [72, 0, 161, 67, 0, 0, 0], [118, 0, 30, 410, 0, 0, 0], [107, 0, 0, 187, 0, 0, 0], [192, 0, 5, 4, 0, 2, 0], [98, 0, 0, 20, 0, 0, 0]];[0.9509433962264151, 0.0, 0.5366666666666666, 0.7347670250896058, 0.0, 0.009852216748768473, 0.0];0.4149326805385557;0.23445225310454015;[[95, 0, 0, 11, 0, 0, 0], [41, 0, 2, 23, 0, 0, 0], [37, 0, 64, 25, 0, 0, 0], [51, 0, 17, 178, 0, 0, 0], [50, 0, 0, 78, 0, 0, 0], [83, 0, 4, 1, 0, 2, 0], [46, 0, 0, 9, 0, 0, 0]];[0.8962264150943396, 0.0, 0.5079365079365079, 0.7235772357723578, 0.0, 0.022222222222222223, 0.0];7.0;[2, 0, 2, 2, 0, 1]
