dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.1427815970386039;0.09455894499607427;[[95, 16, 1, 16, 113, 2, 2], [41, 37, 0, 2, 61, 9, 1], [29, 69, 0, 22, 145, 23, 4], [175, 81, 3, 6, 276, 19, 12], [85, 46, 4, 9, 132, 3, 19], [46, 18, 8, 0, 135, 0, 1], [20, 11, 7, 3, 84, 0, 0]];[0.3877551020408163, 0.24503311258278146, 0.0, 0.01048951048951049, 0.4429530201342282, 0.0, 0.0];0.1419828641370869;0.0925337535462661;[[36, 10, 1, 8, 48, 1, 2], [19, 15, 0, 0, 26, 4, 2], [13, 36, 0, 5, 61, 10, 1], [75, 27, 2, 4, 122, 8, 8], [30, 18, 1, 11, 61, 0, 7], [25, 8, 1, 0, 56, 0, 0], [9, 5, 4, 0, 37, 0, 0]];[0.33962264150943394, 0.22727272727272727, 0.0, 0.016260162601626018, 0.4765625, 0.0, 0.0];0.0;[]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8933333333333333;[[1, 0, 0, 0, 1], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 0, 2]];[0.5, 1.0, 1.0, 1.0, 1.0];0.1464968152866242;0.0890856201942201;[[9, 0, 0, 0, 2, 232, 0], [0, 2, 0, 0, 0, 148, 0], [0, 0, 0, 0, 3, 289, 0], [2, 0, 0, 4, 6, 559, 0], [11, 0, 0, 0, 57, 229, 0], [0, 0, 0, 0, 2, 204, 0], [0, 0, 0, 0, 0, 125, 0]];[0.037037037037037035, 0.013333333333333334, 0.0, 0.0070052539404553416, 0.1919191919191919, 0.9902912621359223, 0.0];0.1419828641370869;0.07777053898867825;[[1, 0, 0, 0, 2, 103, 0], [0, 0, 0, 0, 1, 65, 0], [0, 0, 0, 0, 0, 126, 0], [2, 0, 0, 2, 1, 241, 0], [3, 0, 0, 0, 24, 101, 0], [0, 0, 0, 0, 1, 89, 0], [1, 0, 0, 0, 0, 54, 0]];[0.009433962264150943, 0.0, 0.0, 0.008130081300813009, 0.1875, 0.9888888888888889, 0.0];7.0;[2, 1, 0, 1, 1, 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.8095238095238094;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 1, 0]];[1.0, 1.0, 1.0, 1.0, 1.0, 0.0];0.2503995737879595;0.1361600459290709;[[3, 0, 0, 0, 73, 167, 0], [0, 2, 0, 0, 37, 111, 0], [0, 0, 0, 0, 12, 280, 0], [6, 0, 0, 11, 157, 396, 0], [0, 0, 0, 0, 259, 34, 0], [0, 0, 0, 0, 10, 195, 0], [0, 0, 0, 0, 16, 108, 0]];[0.012345679012345678, 0.013333333333333334, 0.0, 0.01929824561403509, 0.8839590443686007, 0.9512195121951219, 0.0];0.2484700122399021;0.1284825248433282;[[1, 0, 0, 0, 33, 72, 0], [0, 0, 0, 0, 21, 45, 0], [0, 0, 0, 0, 10, 116, 0], [2, 0, 0, 4, 71, 169, 0], [0, 0, 0, 0, 114, 14, 0], [0, 0, 0, 0, 6, 84, 0], [0, 0, 0, 0, 6, 49, 0]];[0.009433962264150943, 0.0, 0.0, 0.016260162601626018, 0.890625, 0.9333333333333333, 0.0];14.0;[2, 1, 0, 2, 5, 3, 1]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.6621315192743765;[[2, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 3, 1, 0, 0], [0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 1, 0]];[1.0, 1.0, 0.0, 0.75, 1.0, 1.0, 0.0];0.25775401069518716;0.13645166423319532;[[12, 0, 0, 0, 137, 94, 0], [0, 2, 0, 0, 112, 36, 0], [0, 0, 0, 1, 107, 183, 0], [7, 0, 0, 21, 394, 146, 0], [0, 0, 0, 0, 274, 16, 0], [0, 0, 0, 0, 31, 173, 0], [1, 0, 0, 0, 46, 77, 0]];[0.04938271604938271, 0.013333333333333334, 0.0, 0.03697183098591549, 0.9448275862068966, 0.8480392156862745, 0.0];0.2521419828641371;0.12349421186196;[[2, 0, 0, 0, 70, 34, 0], [0, 0, 0, 0, 49, 17, 0], [0, 0, 0, 0, 50, 76, 0], [4, 0, 0, 9, 168, 65, 0], [0, 0, 0, 0, 123, 5, 0], [0, 0, 0, 0, 18, 72, 0], [0, 0, 0, 0, 19, 36, 0]];[0.018867924528301886, 0.0, 0.0, 0.036585365853658534, 0.9609375, 0.8, 0.0];21.0;[2, 1, 1, 4, 8, 4, 1]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8214285714285714;0.6430117501546073;[[3, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 2, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 11, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 1, 0]];[0.75, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0];0.3446054750402576;0.23272833899732856;[[64, 0, 0, 3, 139, 35, 0], [1, 2, 0, 3, 118, 26, 0], [1, 0, 0, 21, 143, 124, 0], [33, 0, 0, 140, 329, 66, 0], [8, 0, 0, 1, 276, 2, 0], [3, 0, 0, 0, 41, 160, 0], [22, 0, 0, 0, 54, 48, 0]];[0.26556016597510373, 0.013333333333333334, 0.0, 0.24647887323943662, 0.9616724738675958, 0.7843137254901961, 0.0];0.3390452876376989;0.21909014106408442;[[20, 0, 0, 0, 67, 19, 0], [0, 0, 0, 3, 52, 11, 0], [3, 0, 0, 9, 67, 47, 0], [20, 0, 0, 64, 143, 19, 0], [1, 0, 0, 0, 124, 3, 0], [6, 0, 0, 0, 15, 69, 0], [8, 0, 0, 0, 25, 22, 0]];[0.18867924528301888, 0.0, 0.0, 0.2601626016260163, 0.96875, 0.7666666666666667, 0.0];28.0;[4, 1, 3, 4, 11, 4, 1]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.6597402597402597;[[6, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [2, 0, 0, 1, 0, 1, 0], [0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 13, 0, 0], [0, 0, 0, 0, 0, 5, 0], [1, 0, 0, 0, 0, 0, 0]];[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0];0.4854525862068966;0.3415443140995385;[[199, 0, 0, 11, 24, 5, 0], [60, 2, 0, 53, 30, 5, 0], [129, 0, 0, 115, 25, 19, 0], [135, 0, 0, 326, 98, 8, 0], [32, 0, 0, 6, 247, 0, 0], [52, 0, 0, 7, 17, 127, 0], [86, 0, 0, 17, 13, 8, 0]];[0.8326359832635983, 0.013333333333333334, 0.0, 0.5749559082892416, 0.8666666666666667, 0.625615763546798, 0.0];0.5030599755201959;0.35477298255068934;[[94, 0, 0, 6, 5, 1, 0], [19, 0, 0, 26, 20, 1, 0], [61, 0, 0, 42, 18, 5, 0], [57, 0, 0, 137, 49, 3, 0], [7, 0, 0, 5, 116, 0, 0], [19, 0, 0, 2, 5, 64, 0], [41, 0, 0, 7, 3, 4, 0]];[0.8867924528301887, 0.0, 0.0, 0.556910569105691, 0.90625, 0.7111111111111111, 0.0];35.0;[6, 1, 4, 5, 13, 5, 1]


Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.14119513484928609;0.0674658898285896;[[9, 4, 9, 4, 211, 0, 8], [1, 2, 13, 1, 132, 0, 2], [9, 5, 16, 15, 235, 0, 12], [5, 5, 42, 4, 506, 0, 10], [6, 9, 30, 4, 231, 0, 18], [3, 0, 12, 0, 188, 0, 5], [0, 6, 9, 1, 104, 0, 5]];[0.036734693877551024, 0.013245033112582781, 0.0547945205479452, 0.006993006993006993, 0.7751677852348994, 0.0, 0.04];0.1383108935128519;0.07731715181305877;[[2, 4, 2, 0, 96, 0, 2], [2, 1, 5, 0, 58, 0, 0], [3, 2, 6, 2, 108, 0, 5], [2, 2, 11, 4, 226, 0, 1], [3, 15, 10, 2, 94, 0, 4], [0, 0, 4, 0, 83, 0, 3], [0, 3, 5, 0, 41, 0, 6]];[0.018867924528301886, 0.015151515151515152, 0.047619047619047616, 0.016260162601626018, 0.734375, 0.0, 0.10909090909090909];0.0;[]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.7142857142857143;0.75;[[1, 1, 0, 0], [0, 2, 0, 0], [0, 1, 1, 0], [0, 0, 0, 1]];[0.5, 1.0, 0.5, 1.0];0.15817409766454352;0.04487471072014294;[[4, 0, 239, 0, 0, 0, 0], [2, 0, 149, 0, 0, 0, 0], [0, 0, 290, 0, 0, 0, 0], [11, 0, 555, 4, 0, 0, 0], [2, 0, 296, 0, 0, 0, 0], [1, 0, 206, 0, 0, 0, 0], [0, 0, 125, 0, 0, 0, 0]];[0.01646090534979424, 0.0, 1.0, 0.007017543859649123, 0.0, 0.0, 0.0];0.1554467564259486;0.039373298508397415;[[0, 0, 106, 0, 0, 0, 0], [0, 0, 66, 0, 0, 0, 0], [0, 0, 126, 0, 0, 0, 0], [0, 0, 245, 1, 0, 0, 0], [0, 0, 128, 0, 0, 0, 0], [0, 0, 90, 0, 0, 0, 0], [0, 0, 55, 0, 0, 0, 0]];[0.0, 0.0, 1.0, 0.0040650406504065045, 0.0, 0.0, 0.0];7.0;[2, 0, 2, 2, 0, 1]
