dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.11475409836065574;0.10869649242886618;ommited for csv readability;0.1003671970624235;0.09139025591666117;ommited for csv readability;0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2521231422505308;0.1922346546507072;ommited for csv readability;0.2386780905752754;0.16587825070050716;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.5952380952380951;ommited for csv readability;0.2823654768247203;0.2520120668192999;ommited for csv readability;0.27906976744186046;0.24662810005287725;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.8095238095238095;0.8054421768707483;ommited for csv readability;0.513903743315508;0.48963239857200463;ommited for csv readability;0.4847001223990208;0.4630620152718023;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9306122448979591;ommited for csv readability;0.6146001073537305;0.6086610240832143;ommited for csv readability;0.5752753977968176;0.5709416624830602;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9142857142857143;0.9137085137085137;ommited for csv readability;0.6584051724137931;0.6595104207534819;ommited for csv readability;0.6242350061199511;0.6224109981481442;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9760239760239761;ommited for csv readability;0.7057869118442401;0.7105833759312973;ommited for csv readability;0.6780905752753978;0.679060460850737;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9795918367346939;0.9794871794871796;ommited for csv readability;0.7318132464712269;0.7347053408912803;ommited for csv readability;0.7062423500611995;0.7039675600434367;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7346049046321526;0.7374210723530642;ommited for csv readability;0.7172582619339045;0.7137207512648415;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9841269841269841;0.9840778416629811;ommited for csv readability;0.7379649890590809;0.7405902386725512;ommited for csv readability;0.7086903304773562;0.7067031591762818;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9857142857142858;0.9856784819190835;ommited for csv readability;0.7490389895661724;0.7469513634858395;ommited for csv readability;0.7209302325581395;0.7144933022809077;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.974025974025974;0.9732919254658385;ommited for csv readability;0.7425578831312017;0.7423311336664309;ommited for csv readability;0.7233782129742962;0.7225476936866542;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9636796536796536;ommited for csv readability;0.7570558937465413;0.7553562202329471;ommited for csv readability;0.7307221542227662;0.7276767897182481;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9560439560439561;0.955942205942206;ommited for csv readability;0.7694444444444445;0.7671323303477381;ommited for csv readability;0.7417380660954712;0.7388233267160418;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9897959183673469;0.9897828863346104;ommited for csv readability;0.769659788064696;0.7702954024448373;ommited for csv readability;0.7576499388004896;0.759374351661436;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9904761904761905;0.9904655966947402;ommited for csv readability;0.7631578947368421;0.7694515492567879;ommited for csv readability;0.7454100367197063;0.7463142742647397;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7549184935356942;0.7613402843912545;ommited for csv readability;0.7466340269277846;0.7497708281393315;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9915966386554622;0.9915893630179344;ommited for csv readability;0.7562076749435666;0.7622380155627689;ommited for csv readability;0.7466340269277846;0.750347706879643;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9920634920634921;0.9920573634859349;ommited for csv readability;0.7665722379603399;0.7692585498505332;ommited for csv readability;0.758873929008568;0.7633893900210621;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9924812030075187;0.9924759924759925;ommited for csv readability;0.7622298065984073;0.7629306570904887;ommited for csv readability;0.7564259485924113;0.7572925751808839;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
Cora;own;entropy;0;64;0.5;1;0.005;20795212.0;0.9928571428571429;0.9928526757795051;ommited for csv readability;0.7647058823529411;0.7664651466591935;ommited for csv readability;0.7552019583843329;0.7578895518187875;ommited for csv readability;140.0;[20 20 20 20 20 20 20]


Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07615018508725542;0.07822380331022541;ommited for csv readability;0.06119951040391677;0.05888578631319097;ommited for csv readability;0.0;[]
Cora;own;entropy;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.309447983014862;0.30400783909764356;ommited for csv readability;0.3317013463892289;0.3263332607297195;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
