dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.07350608143839238;0.06534740931995171;ommited for csv readability;0.08200734394124846;0.07470029340336626;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.49416135881104034;0.2629275344284217;ommited for csv readability;0.4589963280293758;0.24494362591113902;ommited for csv readability;7.0;[0 0 3 2 0 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5482152370804475;0.42654673559816125;ommited for csv readability;0.5140758873929009;0.3990930835706846;ommited for csv readability;14.0;[0 1 4 4 1 3 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.658288770053476;0.609109138447799;ommited for csv readability;0.605875152998776;0.5582927734029032;ommited for csv readability;21.0;[1 1 5 6 2 5 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9794871794871796;ommited for csv readability;0.6881374127750939;0.6487481868081725;ommited for csv readability;0.6474908200734394;0.6100546785274578;ommited for csv readability;28.0;[2 1 6 8 3 6 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9820728291316527;ommited for csv readability;0.7214439655172413;0.6878942711669381;ommited for csv readability;0.6829865361077111;0.6522011633811061;ommited for csv readability;35.0;[3 2 7 9 5 7 2]


Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.20676890534108938;0.13378950525899305;ommited for csv readability;0.20807833537331702;0.13957155378461913;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.40498938428874737;0.20783288747884704;ommited for csv readability;0.379436964504284;0.18935594747370654;ommited for csv readability;7.0;[2 0 0 3 2]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.9285714285714286;0.7999999999999999;ommited for csv readability;0.48961108151305277;0.3786096543732821;ommited for csv readability;0.4528763769889841;0.36640018514424294;ommited for csv readability;14.0;[3 1 0 6 2 1 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5652406417112299;0.48483579871313837;ommited for csv readability;0.5275397796817626;0.48621169425657146;ommited for csv readability;21.0;[4 2 1 7 4 2 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.9642857142857143;0.9666048237476809;ommited for csv readability;0.7101449275362319;0.6541517045434301;ommited for csv readability;0.6744186046511628;0.6461721091835589;ommited for csv readability;28.0;[6 3 3 7 5 3 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.9714285714285714;0.980952380952381;ommited for csv readability;0.7079741379310345;0.6483304494468302;ommited for csv readability;0.6805385556915544;0.6435318997614712;ommited for csv readability;35.0;[8 4 5 7 6 4 1]


Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.19619249074563722;0.12575900438354015;ommited for csv readability;0.189718482252142;0.13420356640757083;ommited for csv readability;0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.4601910828025478;0.2928420641448283;ommited for csv readability;0.4357405140758874;0.28057144328488576;ommited for csv readability;7.0;[0 1 1 4 0 0 1]
