dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.11475409836065574;0.10869649242886618;ommited for csv readability;0.1003671970624235;0.09139025591666117;ommited for csv readability;0.0;[]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2807855626326964;0.20865810483139294;ommited for csv readability;0.2876376988984088;0.20958774756112206;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.7142857142857143;0.7047619047619048;ommited for csv readability;0.4011720831113479;0.3296858158316702;ommited for csv readability;0.41003671970624234;0.3437795157475715;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9047619047619048;0.9071428571428571;ommited for csv readability;0.574331550802139;0.519302298870125;ommited for csv readability;0.5789473684210527;0.5303308679692589;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6553945249597424;0.634351906174019;ommited for csv readability;0.6731946144430845;0.6618824737136872;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6519396551724138;0.6587934766221943;ommited for csv readability;0.6389228886168911;0.6522133966948063;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.952047952047952;ommited for csv readability;0.6203353163872364;0.6226738107992524;ommited for csv readability;0.627906976744186;0.6319184402444776;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6916395222584147;0.6809066539576155;ommited for csv readability;0.6915544675642595;0.6838263577416965;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9464285714285714;0.9472222222222222;ommited for csv readability;0.7411444141689373;0.7198099153997496;ommited for csv readability;0.7527539779681762;0.7360969113097158;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9365079365079365;0.935359231411863;ommited for csv readability;0.7363238512035011;0.7142646499090913;ommited for csv readability;0.762545899632803;0.7392708169135542;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9571428571428572;0.9562358276643991;ommited for csv readability;0.742998352553542;0.7208871239307678;ommited for csv readability;0.7662178702570379;0.7456214549308599;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.987012987012987;0.986986098787341;ommited for csv readability;0.7502756339581036;0.7323469916272959;ommited for csv readability;0.7723378212974297;0.7605075329036158;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9880952380952381;0.9880745341614906;ommited for csv readability;0.7631433314886552;0.7508314489822087;ommited for csv readability;0.7747858017135862;0.7708618679268807;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.978021978021978;0.977989417989418;ommited for csv readability;0.7677777777777778;0.7563702642297102;ommited for csv readability;0.7711138310893513;0.769434169624996;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9489795918367347;0.9489274637057888;ommited for csv readability;0.7668711656441718;0.7550116386800865;ommited for csv readability;0.7711138310893513;0.76271915349834;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9722346618898344;ommited for csv readability;0.7631578947368421;0.7467226538105873;ommited for csv readability;0.7662178702570379;0.7526122822388166;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9732142857142857;0.9734673928222316;ommited for csv readability;0.7594154019111861;0.7444884429288435;ommited for csv readability;0.7649938800489596;0.7530464939624346;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9831932773109243;0.9831860016733966;ommited for csv readability;0.7590293453724605;0.7440560590294613;ommited for csv readability;0.7662178702570379;0.7538172286069288;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;own;0;64;0.5;1;0.005;20795212.0;0.9841269841269841;0.984120855549427;ommited for csv readability;0.7677053824362606;0.7559471715094094;ommited for csv readability;0.7772337821297429;0.767331295563401;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
