dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.11475409836065574;0.10869649242886618;ommited for csv readability;0.1003671970624235;0.09139025591666117;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2521231422505308;0.1922346546507072;ommited for csv readability;0.2386780905752754;0.16587825070050716;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.5952380952380951;ommited for csv readability;0.2823654768247203;0.2520120668192999;ommited for csv readability;0.27906976744186046;0.24662810005287725;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8581632653061223;ommited for csv readability;0.49732620320855614;0.4934019032944859;ommited for csv readability;0.4749082007343941;0.47556700335794005;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.963718820861678;ommited for csv readability;0.5899087493290391;0.5837555109795665;ommited for csv readability;0.554467564259486;0.5450711117876896;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9428571428571428;0.9425685425685426;ommited for csv readability;0.6627155172413793;0.6660541889887555;ommited for csv readability;0.6254589963280294;0.6237229397262227;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9760239760239761;ommited for csv readability;0.6684694429421308;0.6725483845048199;ommited for csv readability;0.6413708690330477;0.6430568997332242;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9795918367346939;0.9794871794871796;ommited for csv readability;0.6818675352877307;0.6953346908983666;ommited for csv readability;0.6548347613219094;0.6560505761163835;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7024523160762943;0.7094692755050047;ommited for csv readability;0.6866585067319462;0.6857427361821637;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9841269841269841;0.9840778416629811;ommited for csv readability;0.7111597374179431;0.7182934846665929;ommited for csv readability;0.6927784577723378;0.6971634875831771;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7479406919275123;0.7488632112718921;ommited for csv readability;0.7343941248470012;0.7325408471981458;ommited for csv readability;70.0;[10 10 10 10 10 10 10]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.987012987012987;0.986986098787341;ommited for csv readability;0.7552370452039692;0.7546675211995523;ommited for csv readability;0.7380660954712362;0.734828898961261;ommited for csv readability;77.0;[11 11 11 11 11 11 11]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9761490683229814;ommited for csv readability;0.758716104039845;0.7593186681168346;ommited for csv readability;0.7343941248470012;0.7338528280073585;ommited for csv readability;84.0;[12 12 12 12 12 12 12]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.978021978021978;0.977989417989418;ommited for csv readability;0.7583333333333333;0.7562057190634983;ommited for csv readability;0.7380660954712362;0.7348299469458955;ommited for csv readability;91.0;[13 13 13 13 13 13 13]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9897959183673469;0.9897828863346104;ommited for csv readability;0.7451199107640826;0.7517893903011794;ommited for csv readability;0.7307221542227662;0.7359803511316256;ommited for csv readability;98.0;[14 14 14 14 14 14 14]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9713967900842206;ommited for csv readability;0.7418812989921613;0.7506476178895131;ommited for csv readability;0.7294981640146879;0.7359904649704424;ommited for csv readability;105.0;[15 15 15 15 15 15 15]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9910714285714286;0.9910627007401202;ommited for csv readability;0.7459246767847105;0.7540152297070943;ommited for csv readability;0.7392900856793145;0.7460417798623938;ommited for csv readability;112.0;[16 16 16 16 16 16 16]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9915966386554622;0.9915893630179344;ommited for csv readability;0.7494356659142212;0.7546650473906584;ommited for csv readability;0.7380660954712362;0.736455888878433;ommited for csv readability;119.0;[17 17 17 17 17 17 17]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9920634920634921;0.9920573634859349;ommited for csv readability;0.7552407932011331;0.7575518025402234;ommited for csv readability;0.7429620563035496;0.7440978404424683;ommited for csv readability;126.0;[18 18 18 18 18 18 18]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9924812030075187;0.9924759924759925;ommited for csv readability;0.7599544937428896;0.7596558705323904;ommited for csv readability;0.7466340269277846;0.7470693312482861;ommited for csv readability;133.0;[19 19 19 19 19 19 19]
Cora;own;random;0;64;0.5;1;0.005;20795212.0;0.9857142857142858;0.9857053515590101;ommited for csv readability;0.7607081667618504;0.7580482509259533;ommited for csv readability;0.7478580171358629;0.7479953727657174;ommited for csv readability;140.0;[20 20 20 20 20 20 20]


Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07615018508725542;0.07822380331022541;ommited for csv readability;0.06119951040391677;0.05888578631319097;ommited for csv readability;0.0;[]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.309447983014862;0.30400783909764356;ommited for csv readability;0.3317013463892289;0.3263332607297195;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;random;0;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.5904761904761904;ommited for csv readability;0.3590836441129462;0.3219581031417617;ommited for csv readability;0.3990208078335373;0.35030880117400187;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
