dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.13749338974087785;0.1255938931472691;[[32, 36, 38, 33, 37, 37, 32], [20, 13, 20, 24, 22, 21, 31], [46, 40, 39, 47, 46, 29, 45], [88, 75, 81, 94, 80, 79, 75], [43, 35, 49, 41, 40, 50, 40], [22, 33, 34, 29, 34, 23, 33], [13, 27, 17, 19, 20, 10, 19]];[0.1306122448979592, 0.08609271523178808, 0.13356164383561644, 0.16433566433566432, 0.1342281879194631, 0.11057692307692307, 0.152];0.1456548347613219;0.1392095304479121;[[21, 15, 14, 12, 15, 16, 13], [11, 11, 6, 9, 8, 11, 10], [12, 13, 17, 26, 15, 23, 20], [28, 36, 30, 33, 42, 50, 27], [22, 19, 15, 19, 17, 22, 14], [13, 13, 16, 7, 17, 14, 10], [9, 3, 10, 11, 6, 10, 6]];[0.19811320754716982, 0.16666666666666666, 0.1349206349206349, 0.13414634146341464, 0.1328125, 0.15555555555555556, 0.10909090909090909];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[4, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5418220564730953;0.4648711245605246;[[180, 3, 17, 28, 4, 5, 34], [5, 73, 33, 21, 1, 0, 6], [13, 1, 263, 8, 4, 2, 4], [78, 21, 52, 358, 17, 15, 25], [88, 20, 22, 63, 78, 5, 8], [76, 14, 49, 18, 6, 8, 28], [38, 4, 6, 5, 4, 9, 57]];[0.6642066420664207, 0.5251798561151079, 0.8915254237288136, 0.6325088339222615, 0.2746478873239437, 0.04020100502512563, 0.4634146341463415];0.5042839657282742;0.42697319684757795;[[66, 1, 8, 10, 2, 2, 17], [3, 23, 25, 12, 0, 1, 2], [1, 1, 118, 3, 1, 1, 1], [41, 7, 31, 140, 7, 8, 12], [38, 7, 5, 33, 32, 3, 10], [32, 8, 24, 9, 1, 2, 14], [15, 4, 1, 1, 2, 1, 31]];[0.6226415094339622, 0.3484848484848485, 0.9365079365079365, 0.5691056910569106, 0.25, 0.022222222222222223, 0.5636363636363636];14.0;[4, 1, 2, 4, 2, 0, 1]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 3]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5882984433709071;0.554892432618438;[[175, 16, 13, 24, 1, 10, 30], [5, 97, 20, 14, 0, 3, 3], [12, 3, 268, 7, 0, 3, 3], [64, 67, 42, 327, 21, 16, 22], [76, 35, 12, 59, 84, 6, 9], [45, 21, 29, 14, 0, 71, 15], [36, 1, 3, 2, 1, 4, 74]];[0.6505576208178439, 0.6830985915492958, 0.9054054054054054, 0.5849731663685152, 0.298932384341637, 0.3641025641025641, 0.6115702479338843];0.5520195838433293;0.5196770627489714;[[63, 11, 5, 7, 1, 5, 14], [2, 36, 17, 9, 1, 1, 0], [3, 0, 118, 2, 0, 1, 2], [40, 31, 20, 133, 5, 8, 9], [30, 16, 5, 29, 39, 5, 4], [22, 8, 15, 6, 1, 30, 8], [14, 1, 2, 4, 2, 0, 32]];[0.5943396226415094, 0.5454545454545454, 0.9365079365079365, 0.540650406504065, 0.3046875, 0.3333333333333333, 0.5818181818181818];28.0;[5, 3, 4, 8, 4, 1, 3]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9731379731379732;[[6, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 13, 0, 0, 0], [0, 0, 0, 0, 5, 0, 0], [0, 0, 1, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0];0.5965386695511087;0.5684695365125906;[[177, 15, 17, 17, 3, 11, 28], [4, 95, 23, 14, 0, 3, 3], [7, 5, 272, 6, 1, 2, 2], [59, 65, 57, 309, 18, 23, 18], [74, 35, 6, 54, 86, 14, 11], [45, 14, 22, 7, 2, 90, 15], [32, 2, 3, 3, 2, 4, 74]];[0.6604477611940298, 0.6690140845070423, 0.9220338983050848, 0.5628415300546448, 0.30714285714285716, 0.46153846153846156, 0.6166666666666667];0.5507955936352509;0.5295226567784267;[[63, 7, 7, 10, 0, 5, 14], [3, 35, 18, 9, 0, 1, 0], [1, 0, 119, 3, 0, 1, 2], [39, 30, 35, 121, 7, 3, 11], [30, 16, 10, 28, 34, 7, 3], [21, 7, 9, 2, 0, 45, 6], [15, 1, 0, 1, 2, 3, 33]];[0.5943396226415094, 0.5303030303030303, 0.9444444444444444, 0.491869918699187, 0.265625, 0.5, 0.6];42.0;[6, 3, 6, 13, 5, 5, 4]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9821428571428571;0.9760239760239761;[[8, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 5, 0, 0, 1, 0], [0, 0, 0, 19, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 0, 6]];[1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0];0.6049046321525886;0.5828203066766747;[[169, 12, 16, 33, 3, 11, 23], [3, 94, 23, 16, 0, 3, 3], [9, 3, 266, 13, 1, 0, 2], [57, 60, 48, 321, 19, 16, 21], [81, 29, 8, 54, 92, 4, 9], [48, 12, 17, 9, 2, 94, 13], [32, 2, 2, 4, 0, 4, 74]];[0.6329588014981273, 0.6619718309859155, 0.9047619047619048, 0.5922509225092251, 0.33212996389891697, 0.48205128205128206, 0.6271186440677966];0.5667074663402693;0.5495295401234143;[[62, 7, 6, 12, 0, 8, 11], [3, 35, 16, 11, 0, 1, 0], [0, 0, 118, 4, 0, 1, 3], [41, 28, 24, 127, 6, 7, 13], [28, 20, 8, 28, 38, 5, 1], [23, 7, 6, 3, 0, 45, 6], [13, 1, 0, 1, 0, 2, 38]];[0.5849056603773585, 0.5303030303030303, 0.9365079365079365, 0.516260162601626, 0.296875, 0.5, 0.6909090909090909];56.0;[8, 3, 6, 19, 8, 6, 6]
Cora;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.9428571428571428;0.909258248754047;[[10, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0], [0, 0, 6, 0, 0, 1, 0], [0, 1, 0, 25, 0, 0, 0], [0, 0, 0, 0, 11, 0, 0], [0, 0, 2, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 7]];[1.0, 1.0, 0.8571428571428571, 0.9615384615384616, 1.0, 0.6666666666666666, 1.0];0.6397583745194948;0.6211840468220944;[[208, 8, 8, 23, 3, 9, 10], [13, 86, 21, 15, 0, 1, 3], [9, 2, 265, 12, 1, 2, 3], [77, 53, 43, 322, 5, 21, 13], [78, 19, 8, 41, 119, 7, 2], [50, 9, 19, 8, 2, 93, 13], [32, 1, 2, 4, 1, 5, 72]];[0.7732342007434945, 0.6187050359712231, 0.9013605442176871, 0.602996254681648, 0.4343065693430657, 0.4793814432989691, 0.6153846153846154];0.616891064871481;0.601133995770852;[[80, 5, 4, 7, 0, 5, 5], [9, 32, 14, 9, 0, 2, 0], [1, 2, 116, 3, 1, 1, 2], [40, 24, 29, 140, 1, 5, 7], [29, 11, 6, 23, 52, 5, 2], [23, 6, 7, 1, 2, 46, 5], [13, 1, 0, 1, 0, 2, 38]];[0.7547169811320755, 0.48484848484848486, 0.9206349206349206, 0.5691056910569106, 0.40625, 0.5111111111111111, 0.6909090909090909];70.0;[10, 3, 7, 26, 11, 6, 7]


Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.12903225806451613;0.12054821777511784;[[38, 35, 37, 29, 31, 32, 43], [26, 22, 25, 23, 20, 15, 20], [55, 32, 30, 48, 45, 39, 43], [93, 89, 73, 83, 74, 78, 82], [33, 41, 43, 37, 33, 68, 43], [38, 31, 30, 25, 26, 22, 36], [18, 16, 17, 13, 20, 25, 16]];[0.15510204081632653, 0.1456953642384106, 0.10273972602739725, 0.1451048951048951, 0.11073825503355705, 0.10576923076923077, 0.128];0.15055079559363524;0.1472635442755649;[[16, 21, 10, 17, 10, 15, 17], [7, 8, 15, 6, 11, 7, 12], [18, 22, 18, 17, 17, 19, 15], [40, 41, 38, 27, 37, 34, 29], [17, 20, 14, 13, 27, 25, 12], [14, 11, 15, 9, 9, 16, 16], [8, 7, 2, 10, 5, 12, 11]];[0.1509433962264151, 0.12121212121212122, 0.14285714285714285, 0.10975609756097561, 0.2109375, 0.17777777777777778, 0.2];0.0;[]
Cora;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[2, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.567394778902504;0.5387214659826999;[[126, 17, 12, 18, 44, 17, 22], [5, 117, 15, 14, 2, 1, 0], [5, 8, 262, 14, 1, 5, 5], [56, 55, 52, 288, 55, 31, 23], [24, 47, 18, 32, 130, 20, 23], [42, 21, 18, 7, 3, 92, 15], [49, 2, 6, 0, 4, 4, 50]];[0.4921875, 0.7597402597402597, 0.8733333333333333, 0.5142857142857142, 0.4421768707482993, 0.46464646464646464, 0.43478260869565216];0.5997552019583844;0.5748844250345071;[[61, 12, 6, 2, 15, 2, 8], [0, 51, 5, 7, 2, 0, 1], [5, 4, 113, 2, 1, 0, 1], [23, 21, 24, 131, 29, 12, 6], [8, 17, 4, 18, 68, 8, 5], [25, 8, 8, 0, 2, 43, 4], [22, 2, 3, 2, 2, 1, 23]];[0.5754716981132075, 0.7727272727272727, 0.8968253968253969, 0.532520325203252, 0.53125, 0.4777777777777778, 0.41818181818181815];14.0;[2, 1, 1, 4, 3, 1, 2]
