dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.1427815970386039;0.1335703425083267;[[39, 40, 38, 26, 36, 42, 24], [20, 15, 18, 25, 26, 23, 24], [42, 44, 40, 47, 44, 29, 46], [92, 67, 78, 84, 87, 81, 83], [42, 28, 49, 42, 44, 53, 40], [27, 33, 35, 27, 27, 29, 30], [12, 24, 16, 18, 20, 16, 19]];[0.15918367346938775, 0.09933774834437085, 0.136986301369863, 0.14685314685314685, 0.1476510067114094, 0.13942307692307693, 0.152];0.14687882496940025;0.13494620237128777;[[21, 14, 12, 17, 13, 16, 13], [12, 10, 6, 9, 7, 11, 11], [13, 16, 11, 28, 14, 24, 20], [35, 31, 32, 40, 37, 45, 26], [16, 22, 13, 21, 23, 18, 15], [13, 12, 14, 9, 19, 11, 12], [8, 3, 12, 11, 6, 11, 4]];[0.19811320754716982, 0.15151515151515152, 0.0873015873015873, 0.16260162601626016, 0.1796875, 0.12222222222222222, 0.07272727272727272];0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0], [0, 1, 0, 0], [0, 0, 2, 0], [0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0];0.42462845010615713;0.3272776712546131;[[132, 9, 17, 61, 8, 20, 7], [37, 4, 43, 62, 0, 4, 0], [35, 2, 198, 41, 1, 9, 4], [111, 28, 56, 307, 17, 31, 25], [53, 14, 26, 136, 12, 25, 17], [31, 7, 8, 21, 6, 138, 0], [22, 5, 11, 31, 10, 33, 9]];[0.5196850393700787, 0.02666666666666667, 0.6827586206896552, 0.5339130434782609, 0.04240282685512368, 0.6540284360189573, 0.0743801652892562];0.4112607099143207;0.3087904842947024;[[58, 3, 9, 22, 1, 12, 1], [14, 0, 20, 24, 5, 3, 0], [22, 1, 86, 8, 3, 4, 2], [58, 10, 17, 127, 5, 18, 11], [20, 2, 14, 67, 9, 7, 9], [8, 1, 5, 17, 3, 55, 1], [9, 5, 4, 13, 6, 17, 1]];[0.5471698113207547, 0.0, 0.6825396825396826, 0.516260162601626, 0.0703125, 0.6111111111111112, 0.01818181818181818];7.0;[2, 0, 1, 2, 0, 2]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0], [0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.45444858817261585;0.3608876689641046;[[122, 6, 17, 54, 6, 39, 6], [35, 0, 40, 56, 9, 9, 0], [31, 1, 197, 42, 5, 12, 2], [93, 23, 40, 324, 16, 60, 17], [37, 18, 21, 121, 25, 43, 17], [15, 6, 8, 16, 5, 161, 3], [13, 4, 6, 13, 3, 56, 24]];[0.488, 0.0, 0.6793103448275862, 0.5654450261780105, 0.08865248226950355, 0.7523364485981309, 0.20168067226890757];0.42472460220318237;0.3204047165284716;[[50, 0, 8, 22, 4, 21, 1], [12, 0, 20, 18, 7, 8, 1], [24, 2, 85, 9, 1, 4, 1], [49, 7, 17, 133, 7, 26, 7], [19, 7, 10, 51, 10, 26, 5], [3, 2, 4, 12, 3, 65, 1], [10, 2, 0, 10, 1, 28, 4]];[0.4716981132075472, 0.0, 0.6746031746031746, 0.540650406504065, 0.078125, 0.7222222222222222, 0.07272727272727272];14.0;[2, 0, 1, 4, 3, 3, 1]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9047619047619048;0.8611111111111112;[[2, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0], [0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 2, 1], [0, 0, 0, 0, 1, 1]];[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.5];0.49518716577540106;0.41729253719378784;[[113, 5, 18, 57, 12, 42, 3], [17, 1, 15, 16, 91, 3, 2], [34, 4, 193, 43, 5, 8, 3], [83, 16, 46, 310, 54, 51, 12], [10, 8, 19, 82, 126, 29, 7], [18, 2, 8, 17, 7, 159, 2], [15, 4, 4, 13, 7, 52, 24]];[0.452, 0.006896551724137931, 0.6655172413793103, 0.541958041958042, 0.4483985765124555, 0.7464788732394366, 0.20168067226890757];0.4883720930232558;0.40193758156322545;[[49, 2, 7, 20, 7, 20, 1], [6, 1, 5, 9, 41, 3, 1], [23, 0, 83, 8, 5, 4, 3], [42, 6, 18, 126, 27, 19, 8], [3, 6, 2, 29, 71, 11, 6], [5, 2, 3, 13, 2, 64, 1], [8, 2, 3, 6, 5, 26, 5]];[0.46226415094339623, 0.015151515151515152, 0.6587301587301587, 0.5121951219512195, 0.5546875, 0.7111111111111111, 0.09090909090909091];21.0;[2, 0, 1, 5, 8, 3, 2]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8425925925925926;[[3, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 7, 0, 0, 0], [1, 0, 0, 8, 0, 0], [0, 0, 0, 0, 2, 1], [0, 0, 0, 0, 1, 3]];[0.75, 1.0, 1.0, 0.8888888888888888, 0.6666666666666666, 0.75];0.5233494363929146;0.4382609535372549;[[183, 3, 11, 28, 11, 23, 3], [25, 0, 15, 18, 81, 4, 2], [44, 3, 186, 44, 2, 7, 4], [115, 11, 29, 317, 33, 42, 16], [17, 13, 10, 77, 124, 25, 12], [43, 0, 5, 11, 8, 144, 2], [49, 2, 3, 9, 4, 24, 21]];[0.6984732824427481, 0.0, 0.6413793103448275, 0.5630550621669627, 0.4460431654676259, 0.676056338028169, 0.1875];0.5128518971848225;0.4213744562776148;[[73, 1, 4, 11, 4, 13, 0], [9, 0, 6, 9, 38, 4, 0], [27, 0, 80, 10, 4, 4, 1], [64, 4, 17, 128, 13, 13, 7], [4, 3, 6, 27, 72, 12, 4], [13, 2, 3, 8, 2, 61, 1], [29, 1, 2, 3, 2, 13, 5]];[0.6886792452830188, 0.0, 0.6349206349206349, 0.5203252032520326, 0.5625, 0.6777777777777778, 0.09090909090909091];28.0;[4, 0, 1, 7, 9, 3, 4]
Cora;own;own;0.2;64;0.5;1;0.005;20795212.0;0.8857142857142857;0.8738095238095239;[[3, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 10, 0, 0, 0], [1, 0, 0, 0, 9, 0, 0], [0, 0, 0, 0, 0, 2, 1], [0, 0, 0, 0, 0, 1, 4]];[0.75, 1.0, 1.0, 1.0, 0.9, 0.6666666666666666, 0.8];0.572198275862069;0.5432867725103115;[[181, 10, 13, 30, 3, 20, 4], [13, 100, 14, 7, 9, 2, 0], [43, 10, 183, 41, 3, 9, 0], [105, 42, 31, 306, 24, 40, 12], [17, 11, 16, 76, 127, 23, 7], [38, 11, 6, 7, 6, 144, 1], [51, 3, 2, 7, 3, 24, 21]];[0.6934865900383141, 0.6896551724137931, 0.6332179930795848, 0.5464285714285714, 0.4584837545126354, 0.676056338028169, 0.1891891891891892];0.5630354957160343;0.5280039426523955;[[72, 4, 4, 11, 2, 11, 2], [4, 43, 4, 6, 6, 2, 1], [24, 4, 79, 9, 5, 4, 1], [60, 12, 14, 126, 17, 13, 4], [2, 7, 3, 26, 74, 11, 5], [11, 6, 3, 6, 1, 60, 3], [26, 2, 2, 4, 1, 14, 6]];[0.6792452830188679, 0.6515151515151515, 0.626984126984127, 0.5121951219512195, 0.578125, 0.6666666666666666, 0.10909090909090909];35.0;[4, 1, 2, 10, 10, 3, 5]


Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.1417239555790587;0.13152337022058877;[[38, 35, 36, 32, 35, 29, 40], [24, 23, 28, 20, 21, 16, 19], [57, 36, 33, 46, 42, 40, 38], [87, 84, 85, 89, 76, 71, 80], [43, 42, 42, 34, 48, 52, 37], [33, 33, 30, 32, 28, 22, 30], [20, 16, 19, 15, 17, 23, 15]];[0.15510204081632653, 0.152317880794702, 0.11301369863013698, 0.1555944055944056, 0.1610738255033557, 0.10576923076923077, 0.12];0.15177478580171358;0.1473248321469845;[[19, 19, 14, 18, 9, 14, 13], [5, 10, 14, 7, 9, 6, 15], [18, 23, 20, 19, 16, 18, 12], [37, 45, 37, 33, 36, 32, 26], [18, 23, 13, 15, 18, 30, 11], [19, 12, 13, 10, 7, 13, 16], [9, 4, 3, 9, 4, 15, 11]];[0.1792452830188679, 0.15151515151515152, 0.15873015873015872, 0.13414634146341464, 0.140625, 0.14444444444444443, 0.2];0.0;[]
Cora;own;own;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 2, 0, 0], [0, 0, 0, 2, 0], [0, 0, 0, 0, 1]];[1.0, 1.0, 1.0, 1.0, 1.0];0.346072186836518;0.28907167456509386;[[166, 22, 2, 7, 25, 20, 5], [10, 85, 2, 14, 19, 13, 2], [3, 9, 3, 58, 11, 195, 2], [58, 36, 20, 44, 297, 56, 22], [25, 19, 9, 12, 258, 12, 10], [55, 18, 10, 11, 13, 94, 9], [63, 11, 9, 12, 3, 23, 2]];[0.6720647773279352, 0.5862068965517241, 0.010676156583629894, 0.0825515947467167, 0.7478260869565218, 0.44761904761904764, 0.016260162601626018];0.30354957160342716;0.27318220161866663;[[64, 4, 1, 3, 14, 19, 1], [7, 38, 1, 6, 11, 3, 0], [2, 2, 2, 21, 6, 93, 0], [23, 13, 8, 20, 151, 24, 7], [11, 5, 4, 7, 87, 5, 9], [26, 12, 3, 3, 8, 34, 4], [33, 2, 6, 1, 3, 7, 3]];[0.6037735849056604, 0.5757575757575758, 0.015873015873015872, 0.08130081300813008, 0.6796875, 0.37777777777777777, 0.05454545454545454];7.0;[1, 1, 0, 2, 2, 1]
