dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.1427815970386039;0.1335703425083267;[[39, 40, 38, 26, 36, 42, 24], [20, 15, 18, 25, 26, 23, 24], [42, 44, 40, 47, 44, 29, 46], [92, 67, 78, 84, 87, 81, 83], [42, 28, 49, 42, 44, 53, 40], [27, 33, 35, 27, 27, 29, 30], [12, 24, 16, 18, 20, 16, 19]];[0.15918367346938775, 0.09933774834437085, 0.136986301369863, 0.14685314685314685, 0.1476510067114094, 0.13942307692307693, 0.152];0.14687882496940025;0.13494620237128777;[[21, 14, 12, 17, 13, 16, 13], [12, 10, 6, 9, 7, 11, 11], [13, 16, 11, 28, 14, 24, 20], [35, 31, 32, 40, 37, 45, 26], [16, 22, 13, 21, 23, 18, 15], [13, 12, 14, 9, 19, 11, 12], [8, 3, 12, 11, 6, 11, 4]];[0.19811320754716982, 0.15151515151515152, 0.0873015873015873, 0.16260162601626016, 0.1796875, 0.12222222222222222, 0.07272727272727272];0.0;[]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 2, 0], [0, 0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0, 1.0];0.34554140127388533;0.3310276658889165;[[3, 33, 5, 7, 24, 77, 96], [2, 115, 7, 1, 10, 2, 13], [1, 35, 182, 1, 20, 30, 22], [18, 105, 36, 19, 264, 92, 38], [26, 48, 21, 12, 116, 33, 41], [3, 24, 1, 1, 7, 139, 31], [5, 5, 6, 5, 7, 18, 77]];[0.012244897959183673, 0.7666666666666667, 0.6254295532646048, 0.033216783216783216, 0.39057239057239057, 0.6747572815533981, 0.6260162601626016];0.3329253365973072;0.3191183077404017;[[2, 12, 4, 3, 12, 31, 42], [0, 50, 2, 1, 4, 4, 5], [0, 21, 71, 0, 7, 17, 10], [5, 42, 7, 7, 126, 43, 16], [10, 23, 10, 6, 47, 12, 20], [2, 7, 5, 1, 1, 65, 9], [1, 5, 1, 1, 3, 14, 30]];[0.018867924528301886, 0.7575757575757576, 0.5634920634920635, 0.028455284552845527, 0.3671875, 0.7222222222222222, 0.5454545454545454];7.0;[0, 1, 1, 0, 1, 2, 2]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.43367075119872134;0.4439806547867558;[[110, 21, 2, 1, 13, 40, 57], [3, 115, 6, 0, 11, 3, 12], [2, 35, 181, 1, 21, 31, 20], [33, 96, 25, 26, 260, 98, 33], [17, 31, 8, 8, 168, 23, 39], [1, 22, 3, 2, 6, 137, 35], [8, 5, 5, 7, 2, 17, 77]];[0.45081967213114754, 0.7666666666666667, 0.6219931271477663, 0.04553415061295972, 0.5714285714285714, 0.6650485436893204, 0.6363636363636364];0.41003671970624234;0.42014223597215317;[[44, 9, 0, 2, 5, 18, 28], [1, 50, 3, 0, 4, 2, 6], [1, 21, 71, 1, 7, 16, 9], [11, 41, 8, 8, 123, 36, 19], [8, 20, 5, 2, 70, 14, 9], [6, 9, 1, 1, 2, 62, 9], [4, 2, 0, 7, 0, 12, 30]];[0.41509433962264153, 0.7575757575757576, 0.5634920634920635, 0.032520325203252036, 0.546875, 0.6888888888888889, 0.5454545454545454];14.0;[1, 1, 1, 1, 4, 2, 4]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.3967914438502674;0.4219238302055724;[[92, 17, 3, 43, 17, 28, 44], [2, 114, 4, 9, 10, 1, 10], [1, 27, 72, 158, 15, 4, 14], [34, 83, 27, 72, 256, 71, 25], [17, 21, 16, 17, 186, 11, 22], [4, 21, 3, 11, 4, 129, 34], [10, 7, 5, 3, 4, 15, 77]];[0.3770491803278688, 0.76, 0.24742268041237114, 0.1267605633802817, 0.6413793103448275, 0.6262135922330098, 0.6363636363636364];0.3990208078335373;0.4159816354262987;[[41, 8, 0, 13, 8, 12, 24], [2, 50, 3, 1, 4, 2, 4], [1, 16, 28, 68, 3, 5, 5], [7, 38, 9, 22, 126, 28, 16], [3, 7, 2, 7, 95, 7, 7], [7, 8, 1, 5, 0, 60, 9], [3, 5, 2, 2, 1, 12, 30]];[0.3867924528301887, 0.7575757575757576, 0.2222222222222222, 0.08943089430894309, 0.7421875, 0.6666666666666666, 0.5454545454545454];21.0;[1, 1, 1, 4, 8, 2, 4]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 0, 10, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 4]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.41223832528180354;0.4375909674420996;[[109, 17, 2, 40, 17, 17, 41], [2, 114, 4, 10, 9, 2, 9], [9, 24, 72, 155, 12, 3, 16], [59, 78, 19, 76, 249, 54, 29], [18, 21, 6, 17, 192, 9, 25], [7, 18, 2, 10, 5, 130, 34], [5, 4, 4, 6, 9, 18, 75]];[0.448559670781893, 0.76, 0.24742268041237114, 0.1347517730496454, 0.6666666666666666, 0.6310679611650486, 0.6198347107438017];0.40636474908200737;0.42529542490996963;[[49, 7, 0, 10, 7, 11, 22], [2, 50, 4, 1, 3, 1, 5], [1, 16, 28, 68, 3, 5, 5], [21, 40, 7, 25, 120, 19, 14], [9, 8, 2, 9, 92, 5, 3], [8, 8, 1, 5, 1, 58, 9], [6, 3, 2, 2, 3, 9, 30]];[0.46226415094339623, 0.7575757575757576, 0.2222222222222222, 0.1016260162601626, 0.71875, 0.6444444444444445, 0.5454545454545454];28.0;[2, 1, 1, 8, 10, 2, 4]
Cora;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[2, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 11, 0, 0, 0], [0, 0, 0, 0, 13, 0, 0], [0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 5]];[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0];0.5150862068965517;0.5208461833116963;[[110, 16, 3, 44, 13, 14, 43], [1, 116, 4, 13, 6, 1, 9], [9, 23, 69, 165, 10, 3, 12], [47, 68, 17, 236, 129, 47, 17], [10, 18, 9, 19, 201, 7, 21], [4, 20, 2, 11, 5, 131, 33], [4, 1, 2, 6, 1, 13, 93]];[0.45267489711934156, 0.7733333333333333, 0.23711340206185566, 0.4206773618538324, 0.7052631578947368, 0.6359223300970874, 0.775];0.4969400244798042;0.49187551366269405;[[46, 8, 0, 12, 7, 9, 24], [3, 48, 3, 4, 2, 1, 5], [2, 17, 26, 71, 1, 4, 5], [19, 30, 4, 90, 76, 15, 12], [4, 7, 2, 5, 104, 4, 2], [7, 10, 1, 3, 0, 58, 11], [3, 4, 2, 2, 0, 10, 34]];[0.4339622641509434, 0.7272727272727273, 0.20634920634920634, 0.36585365853658536, 0.8125, 0.6444444444444445, 0.6181818181818182];35.0;[2, 1, 1, 11, 13, 2, 5]


Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.1417239555790587;0.13152337022058877;[[38, 35, 36, 32, 35, 29, 40], [24, 23, 28, 20, 21, 16, 19], [57, 36, 33, 46, 42, 40, 38], [87, 84, 85, 89, 76, 71, 80], [43, 42, 42, 34, 48, 52, 37], [33, 33, 30, 32, 28, 22, 30], [20, 16, 19, 15, 17, 23, 15]];[0.15510204081632653, 0.152317880794702, 0.11301369863013698, 0.1555944055944056, 0.1610738255033557, 0.10576923076923077, 0.12];0.15177478580171358;0.1473248321469845;[[19, 19, 14, 18, 9, 14, 13], [5, 10, 14, 7, 9, 6, 15], [18, 23, 20, 19, 16, 18, 12], [37, 45, 37, 33, 36, 32, 26], [18, 23, 13, 15, 18, 30, 11], [19, 12, 13, 10, 7, 13, 16], [9, 4, 3, 9, 4, 15, 11]];[0.1792452830188679, 0.15151515151515152, 0.15873015873015872, 0.13414634146341464, 0.140625, 0.14444444444444443, 0.2];0.0;[]
Cora;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[2, 0, 0, 0], [0, 1, 0, 0], [0, 0, 2, 0], [0, 0, 0, 2]];[1.0, 1.0, 1.0, 1.0];0.25424628450106157;0.19570729129243275;[[169, 28, 2, 7, 30, 2, 5], [10, 128, 1, 0, 11, 0, 0], [168, 67, 8, 6, 34, 5, 4], [117, 74, 18, 48, 262, 25, 26], [43, 63, 18, 24, 117, 10, 21], [83, 65, 12, 20, 12, 7, 9], [87, 10, 9, 7, 3, 7, 2]];[0.6954732510288066, 0.8533333333333334, 0.0273972602739726, 0.08421052631578947, 0.3952702702702703, 0.03365384615384615, 0.016];0.2558139534883721;0.20218546620583067;[[74, 11, 1, 1, 15, 3, 1], [5, 57, 0, 0, 4, 0, 0], [69, 34, 3, 2, 14, 2, 2], [46, 31, 7, 21, 129, 7, 5], [18, 43, 7, 5, 46, 1, 8], [35, 34, 2, 8, 5, 5, 1], [41, 0, 6, 1, 4, 0, 3]];[0.6981132075471698, 0.8636363636363636, 0.023809523809523808, 0.08536585365853659, 0.359375, 0.05555555555555555, 0.05454545454545454];7.0;[2, 1, 0, 2, 2]
