dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.15441565309360128;0.03825243990305889;ommited for csv readability;0.15422276621787026;0.03817603393425239;ommited for csv readability;0.0;[]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3359872611464968;0.32358937495875617;ommited for csv readability;0.30966952264381886;0.3192798651420679;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9285714285714286;0.9238095238095237;ommited for csv readability;0.4821523708044752;0.4779997193591639;ommited for csv readability;0.3929008567931457;0.4065723913072906;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7053475935828877;0.7009361770537306;ommited for csv readability;0.5899632802937577;0.5848203901038483;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6833064949006978;0.6799745074922453;ommited for csv readability;0.5471236230110159;0.5497475292385546;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6939655172413793;0.6930759812447764;ommited for csv readability;0.572827417380661;0.5754480612313062;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.976023976023976;ommited for csv readability;0.7117360735532721;0.7129212520042091;ommited for csv readability;0.5887392900856793;0.589187475982217;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7187839305103149;0.7046857842372981;ommited for csv readability;0.591187270501836;0.5841173674579595;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9821428571428571;0.9820728291316527;ommited for csv readability;0.7258855585831062;0.7261066434615867;ommited for csv readability;0.6144430844553244;0.6140679421561327;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9682539682539683;0.9671052631578948;ommited for csv readability;0.7199124726477024;0.718007095337663;ommited for csv readability;0.6291309669522643;0.6282876467805177;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9571428571428572;0.9563551736484067;ommited for csv readability;0.7270730367929709;0.7240299599016031;ommited for csv readability;0.6376988984088128;0.6341824151723706;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07985193019566367;0.021148459383753503;ommited for csv readability;0.08078335373317014;0.021379980563654036;ommited for csv readability;0.0;[]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.37208067940552014;0.2954591493638885;ommited for csv readability;0.2594859241126071;0.2120512374594073;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9285714285714286;0.9238095238095239;ommited for csv readability;0.43153969099627065;0.42322208890957497;ommited for csv readability;0.3561811505507956;0.37400769280348334;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9523809523809523;0.9510204081632653;ommited for csv readability;0.5106951871657754;0.5214246173433043;ommited for csv readability;0.3818849449204406;0.4171581444474378;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8586167800453515;ommited for csv readability;0.5356951154052604;0.5571311664429158;ommited for csv readability;0.4222766217870257;0.4679135658277268;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9428571428571428;0.9422799422799424;ommited for csv readability;0.5802801724137931;0.5835945708088074;ommited for csv readability;0.4785801713586291;0.5051855603006586;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9761904761904762;0.9760239760239761;ommited for csv readability;0.672796106003245;0.6694101229280655;ommited for csv readability;0.5789473684210527;0.5864258238317192;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9591836734693877;0.9590790162218735;ommited for csv readability;0.6666666666666666;0.6648819669821847;ommited for csv readability;0.5813953488372093;0.5892231201357442;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9821428571428571;0.9820728291316527;ommited for csv readability;0.6959128065395095;0.6954839690352015;ommited for csv readability;0.605875152998776;0.6078121404311668;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9841269841269841;0.9840778416629811;ommited for csv readability;0.6734135667396062;0.6833849786004559;ommited for csv readability;0.587515299877601;0.5981603741614822;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;-1;0.2;64;0.5;1;0.005;649695571.0;0.9857142857142858;0.9856784819190835;ommited for csv readability;0.7215815485996705;0.7164759475941553;ommited for csv readability;0.6462668298653611;0.6422838133413423;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.10312004230565838;0.044901162162677366;ommited for csv readability;0.10526315789473684;0.04310258465237427;ommited for csv readability;0.0;[]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5276008492569002;0.44647265291725546;ommited for csv readability;0.4357405140758874;0.3845053377316742;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9285714285714286;0.9238095238095239;ommited for csv readability;0.5759190197123069;0.5618468911558402;ommited for csv readability;0.4541003671970624;0.45210502738006764;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7021390374331551;0.688687955368224;ommited for csv readability;0.5630354957160343;0.5644644320270109;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7455716586151369;0.7335096695263984;ommited for csv readability;0.6119951040391677;0.5994147112099443;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9714285714285714;0.9711399711399711;ommited for csv readability;0.7306034482758621;0.7241147937123733;ommited for csv readability;0.6034271725826194;0.589698976560239;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9047619047619048;0.9062604062604063;ommited for csv readability;0.7506760411032991;0.7424164801544108;ommited for csv readability;0.653610771113831;0.640997614656692;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.7736156351791531;0.7656432458715832;ommited for csv readability;0.6842105263157895;0.6720385371991172;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9642857142857143;0.9650793650793651;ommited for csv readability;0.7673024523160763;0.7641178764827535;ommited for csv readability;0.6805385556915544;0.6713299138477868;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0.2;64;0.5;1;0.005;831763849.0;0.9841269841269841;0.9840778416629811;ommited for csv readability;0.7560175054704595;0.7497678350881868;ommited for csv readability;0.6829865361077111;0.6752093598454261;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
