dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.15441565309360128;0.03825243990305889;ommited for csv readability;0.15422276621787026;0.03817603393425239;ommited for csv readability;0.0;[]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5084925690021231;0.44087357210019756;ommited for csv readability;0.40024479804161567;0.3277933491514922;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5977623867874268;0.5795553491085127;ommited for csv readability;0.5214198286413708;0.4946814296526499;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7090909090909091;0.6965682914593856;ommited for csv readability;0.6083231334149327;0.5874084427324849;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.963718820861678;ommited for csv readability;0.7224906065485776;0.7112968361136973;ommited for csv readability;0.6401468788249693;0.6181236422286418;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9142857142857143;0.9155844155844156;ommited for csv readability;0.7047413793103449;0.6976239726653812;ommited for csv readability;0.6328029375764994;0.6138963933935726;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7052460789616009;0.7030756754720606;ommited for csv readability;0.6376988984088128;0.6259573581356828;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9795918367346939;0.9794871794871794;ommited for csv readability;0.741042345276873;0.7277435934811946;ommited for csv readability;0.6682986536107711;0.6453504206702195;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9641456582633054;ommited for csv readability;0.7209809264305177;0.7096658795254002;ommited for csv readability;0.6695226438188494;0.6526668061858586;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;0.9682539682539683;0.9682048257899651;ommited for csv readability;0.737417943107221;0.7257456604422793;ommited for csv readability;0.6756425948592412;0.6664911599778603;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7517847336628226;0.7380190029469027;ommited for csv readability;0.6915544675642595;0.6826109737345282;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07985193019566367;0.021148459383753503;ommited for csv readability;0.08078335373317014;0.021379980563654036;ommited for csv readability;0.0;[]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4984076433121019;0.4113049248245858;ommited for csv readability;0.40024479804161567;0.36244545066251127;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5721896643580181;0.5503741519966929;ommited for csv readability;0.4541003671970624;0.433513379531846;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
