dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.3195329087048832;0.25874415703678116;ommited for csv readability;0.31456548347613217;0.24996468741103706;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.309536494405967;0.24733396392158571;ommited for csv readability;0.29498164014687883;0.2276531669972605;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8581632653061223;ommited for csv readability;0.3315508021390374;0.2985475795314717;ommited for csv readability;0.31701346389228885;0.2900447217151088;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.8928571428571429;0.891156462585034;ommited for csv readability;0.581857219538379;0.5870985809277067;ommited for csv readability;0.565483476132191;0.5745843246586817;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9714285714285714;0.9711399711399712;ommited for csv readability;0.6481681034482759;0.6437322224024841;ommited for csv readability;0.6291309669522643;0.6284372556326597;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6884802595997837;0.668919998539139;ommited for csv readability;0.6731946144430845;0.6604193909239885;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9795918367346939;0.9794871794871794;ommited for csv readability;0.7057546145494028;0.678606594520715;ommited for csv readability;0.7013463892288861;0.6815956118009937;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9641456582633054;ommited for csv readability;0.7318801089918257;0.6935823323222615;ommited for csv readability;0.7343941248470012;0.7041617431543186;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9841269841269841;0.9840778416629811;ommited for csv readability;0.7543763676148797;0.7220541790933026;ommited for csv readability;0.7527539779681762;0.731311137466939;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9857142857142858;0.9856784819190835;ommited for csv readability;0.7660626029654036;0.7437023444455587;ommited for csv readability;0.7564259485924113;0.742621758725997;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.14119513484928609;0.0674658898285896;ommited for csv readability;0.1383108935128519;0.07731715181305877;ommited for csv readability;0.0;[]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8095238095238094;ommited for csv readability;0.21231422505307856;0.12312420235481976;ommited for csv readability;0.20318237454100369;0.10209922682697638;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.7857142857142857;0.780952380952381;ommited for csv readability;0.23761321257325518;0.17591277433485106;ommited for csv readability;0.2141982864137087;0.13775933106498728;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.8571428571428571;0.8581632653061223;ommited for csv readability;0.3663101604278075;0.30073769465851724;ommited for csv readability;0.35128518971848227;0.2797795571311545;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.7857142857142857;0.7877551020408163;ommited for csv readability;0.38808373590982287;0.3981046232083096;ommited for csv readability;0.3880048959608323;0.40199552189458426;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.9428571428571428;0.9422799422799424;ommited for csv readability;0.47467672413793105;0.4973295891241593;ommited for csv readability;0.47980416156670747;0.512293103088407;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.9523809523809523;0.952047952047952;ommited for csv readability;0.6149269875608437;0.6386426332287266;ommited for csv readability;0.6193390452876377;0.6557104459777268;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.9591836734693877;0.9589743589743591;ommited for csv readability;0.6948968512486428;0.7089871658587825;ommited for csv readability;0.6780905752753978;0.7080258220785919;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.9464285714285714;0.9457916499933308;ommited for csv readability;0.7095367847411445;0.7208533236754341;ommited for csv readability;0.7086903304773562;0.7290136404849058;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6942013129102844;0.6928126593515312;ommited for csv readability;0.6988984088127295;0.7013093326372531;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
