dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1427815970386039;0.09455894499607427;ommited for csv readability;0.1419828641370869;0.0925337535462661;ommited for csv readability;0.0;[]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.2857142857142857;0.14285714285714285;ommited for csv readability;0.23991507430997877;0.1257615399389367;ommited for csv readability;0.18849449204406366;0.10307855974654549;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.7142857142857143;0.6904761904761905;ommited for csv readability;0.3724027703782632;0.3622668048402022;ommited for csv readability;0.3219094247246022;0.3314197933209043;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8010204081632653;ommited for csv readability;0.6219251336898396;0.5862261134485334;ommited for csv readability;0.5385556915544676;0.5059308991679865;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.963718820861678;ommited for csv readability;0.6859903381642513;0.6894539747857026;ommited for csv readability;0.5691554467564259;0.5796562778622613;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.697198275862069;0.6759398143703731;ommited for csv readability;0.5997552019583844;0.5911285609228935;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.952047952047952;ommited for csv readability;0.7209302325581395;0.7089369191599852;ommited for csv readability;0.6193390452876377;0.6167255735474475;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7285559174809989;0.7190653849270314;ommited for csv readability;0.6376988984088128;0.6278532725268491;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9642857142857143;0.9641456582633054;ommited for csv readability;0.7367847411444142;0.7335560669702886;ommited for csv readability;0.6572827417380661;0.6509179044204879;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0.2;64;0.5;1;0.005;20795212.0;0.9682539682539683;0.9671052631578948;ommited for csv readability;0.7330415754923414;0.7349562579449119;ommited for csv readability;0.6438188494492044;0.6389707515397565;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
