dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.15441565309360128;0.03825243990305889;ommited for csv readability;0.15422276621787026;0.03817603393425239;ommited for csv readability;0.0;[]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.15817409766454352;0.14888092336732703;ommited for csv readability;0.17258261933904528;0.1552541258546297;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.7142857142857143;0.719047619047619;ommited for csv readability;0.2930207778369739;0.29246939786580395;ommited for csv readability;0.28886168910648713;0.2762131786271512;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.7619047619047619;0.7605442176870748;ommited for csv readability;0.34545454545454546;0.3692692070473476;ommited for csv readability;0.3561811505507956;0.37605186561432696;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.8928571428571429;0.8917233560090703;ommited for csv readability;0.463768115942029;0.4856737867262829;ommited for csv readability;0.4504283965728274;0.4740347887712281;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9428571428571428;0.9444444444444445;ommited for csv readability;0.4822198275862069;0.5141805147453404;ommited for csv readability;0.48592411260709917;0.5104656048666294;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.976023976023976;ommited for csv readability;0.49540292049756623;0.5051365691346871;ommited for csv readability;0.5018359853121175;0.5075279019264421;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5456026058631922;0.5484195737991377;ommited for csv readability;0.5605875152998776;0.5609007017183674;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;0.9821428571428571;0.9820728291316527;ommited for csv readability;0.6811989100817438;0.668984514743389;ommited for csv readability;0.6866585067319462;0.674298456050033;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6980306345733042;0.664347689071194;ommited for csv readability;0.6927784577723378;0.6675953473037541;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;-1;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7127951674903898;0.6680649960855555;ommited for csv readability;0.7111383108935129;0.6775606653577272;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.07985193019566367;0.021148459383753503;ommited for csv readability;0.08078335373317014;0.021379980563654036;ommited for csv readability;0.0;[]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.16878980891719744;0.13609930271288811;ommited for csv readability;0.14075887392900857;0.10166874579270178;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.6428571428571429;0.6666666666666666;ommited for csv readability;0.20618007458710708;0.15439764085339694;ommited for csv readability;0.21052631578947367;0.16332900790373955;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.6190476190476191;0.6693877551020407;ommited for csv readability;0.36684491978609624;0.32242700243478584;ommited for csv readability;0.39167686658506734;0.33782873835218397;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.8928571428571429;0.8948979591836733;ommited for csv readability;0.42351046698872785;0.4179446554549;ommited for csv readability;0.41003671970624234;0.4106405888653551;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.9428571428571428;0.9444444444444445;ommited for csv readability;0.5608836206896551;0.5351350021789083;ommited for csv readability;0.5556915544675642;0.5501971030919374;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.9523809523809523;0.9536178107606679;ommited for csv readability;0.6327744726879394;0.6277178458535628;ommited for csv readability;0.6193390452876377;0.6325061947912143;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.9387755102040817;0.9399913811678517;ommited for csv readability;0.5787187839305103;0.5803743430891475;ommited for csv readability;0.5850673194614443;0.6052317221606611;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;-1;0;64;0.5;1;0.005;649695571.0;0.9642857142857143;0.9627851140456183;ommited for csv readability;0.6365122615803814;0.6179055057585398;ommited for csv readability;0.6217870257037944;0.6105965142899163;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
