dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1406663141195135;0.13511598152838555;ommited for csv readability;0.1591187270501836;0.14962961510415893;ommited for csv readability;0.0;[]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.46390658174097665;0.42353826791994287;ommited for csv readability;0.3378212974296206;0.3030719387603741;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4965370271710176;0.49120330078560503;ommited for csv readability;0.4394124847001224;0.4349814544425103;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6379679144385026;0.63334605507702;ommited for csv readability;0.5569155446756426;0.547215594983683;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6634460547504025;0.6567751187117075;ommited for csv readability;0.5887392900856793;0.5689569476231934;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6643318965517241;0.6595853659282922;ommited for csv readability;0.5960832313341493;0.5802294397711043;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6782044348296377;0.6734100098221214;ommited for csv readability;0.6107711138310894;0.6003143831244973;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6900108577633007;0.685271046994691;ommited for csv readability;0.6181150550795593;0.6067670149734531;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6975476839237057;0.6916549191079918;ommited for csv readability;0.6438188494492044;0.6336957341432577;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7024070021881839;0.695073234971843;ommited for csv readability;0.6572827417380661;0.6505078951384478;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;0;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7155409115870401;0.7087357655080105;ommited for csv readability;0.6585067319461444;0.6556239709876645;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.1581173982020095;0.154231309104419;ommited for csv readability;0.13586291309669524;0.1289086094437834;ommited for csv readability;0.0;[]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4294055201698514;0.37127352089842314;ommited for csv readability;0.3402692778457772;0.31452612492856785;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5636654235482152;0.5267051700162838;ommited for csv readability;0.412484700122399;0.38282718718632724;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6459893048128342;0.6131710051486604;ommited for csv readability;0.4883720930232558;0.4706091898838718;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6559312936124531;0.6188370393677198;ommited for csv readability;0.5067319461444308;0.48809326621877475;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6998922413793104;0.6923771060177017;ommited for csv readability;0.576499388004896;0.5771955080941648;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7193077339102217;0.7118785216701389;ommited for csv readability;0.594859241126071;0.5982814904882402;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7285559174809989;0.7223822161910162;ommited for csv readability;0.6119951040391677;0.6093004907901183;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7520435967302452;0.7487387734277451;ommited for csv readability;0.6303549571603427;0.6301620120570899;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7478118161925602;0.7413573137791787;ommited for csv readability;0.642594859241126;0.6304392571235284;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;0;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7479406919275123;0.7402052334516885;ommited for csv readability;0.6609547123623011;0.6531340402549869;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];0.14859862506610258;0.1423698026960719;ommited for csv readability;0.12729498164014688;0.12178505395301467;ommited for csv readability;0.0;[]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.35828025477707004;0.3129224473455615;ommited for csv readability;0.25703794369645044;0.24486854317639192;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.42834310069259457;0.4116652623750317;ommited for csv readability;0.3108935128518972;0.2965255387300246;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5406417112299465;0.5143817318276694;ommited for csv readability;0.46878824969400246;0.4332576082810674;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.5920558239398819;0.5580893266358691;ommited for csv readability;0.5055079559363526;0.46572896396980434;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.609375;0.6036208813912823;ommited for csv readability;0.5336597307221542;0.5276299101409346;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.636019469983775;0.6350746104829879;ommited for csv readability;0.5593635250917993;0.542520307686187;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6655808903365906;0.6593045356477683;ommited for csv readability;0.572827417380661;0.5652139288674266;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6762942779291553;0.6704300437041326;ommited for csv readability;0.5826193390452876;0.5786820497570722;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.688183807439825;0.6858322622844195;ommited for csv readability;0.5899632802937577;0.5864338284927088;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;0;0.2;64;0.5;1;0.005;831763849.0;1.0;1.0;ommited for csv readability;0.6946732564524987;0.6900607783156072;ommited for csv readability;0.6070991432068543;0.6039900639523337;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];0.1491274457958752;0.13878508560152655;ommited for csv readability;0.12239902080783353;0.11922850891288772;ommited for csv readability;0.0;[]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.4410828025477707;0.33587914795854523;ommited for csv readability;0.28151774785801714;0.2575976324109471;ommited for csv readability;7.0;[1 1 1 1 1 1 1]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5146510388918487;0.44749956684629943;ommited for csv readability;0.3806609547123623;0.3462447535049418;ommited for csv readability;14.0;[2 2 2 2 2 2 2]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5588235294117647;0.5393780533077731;ommited for csv readability;0.44920440636474906;0.45000899140981404;ommited for csv readability;21.0;[3 3 3 3 3 3 3]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.5791733762748256;0.5813026534575138;ommited for csv readability;0.4602203182374541;0.47027187809937887;ommited for csv readability;28.0;[4 4 4 4 4 4 4]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.6244612068965517;0.6273592922956529;ommited for csv readability;0.5165238678090576;0.5304788965240436;ommited for csv readability;35.0;[5 5 5 5 5 5 5]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.6365603028664143;0.6369397933659698;ommited for csv readability;0.5446756425948592;0.5564970099320451;ommited for csv readability;42.0;[6 6 6 6 6 6 6]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.6623235613463626;0.6663932908829339;ommited for csv readability;0.5556915544675642;0.5650420545072802;ommited for csv readability;49.0;[7 7 7 7 7 7 7]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.6762942779291553;0.6685043136393214;ommited for csv readability;0.5960832313341493;0.5916111073327558;ommited for csv readability;56.0;[8 8 8 8 8 8 8]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.6690371991247265;0.6617043393749634;ommited for csv readability;0.6009791921664627;0.598657236299886;ommited for csv readability;63.0;[9 9 9 9 9 9 9]
Cora;own;0;0.2;64;0.5;1;0.005;615395017.0;1.0;1.0;ommited for csv readability;0.6694124107633168;0.6644242553822979;ommited for csv readability;0.6132190942472461;0.6173295301643774;ommited for csv readability;70.0;[10 10 10 10 10 10 10]


Cora;own;0;0.2;64;0.5;1;0.005;2140929057.0;0.0;0.0;[[]];0.14806980433633;0.13925106585167635;ommited for csv readability;0.13219094247246022;0.13261436796939757;ommited for csv readability;0.0;[]
