dataset_name;sampler_name;entropy_pagerank_weighting;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.1406663141195135;0.13511598152838555;ommited for csv readability;0.1591187270501836;0.14962961510415893;ommited for csv readability;0.0;[]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.39490445859872614;0.23042593927777985;ommited for csv readability;0.2729498164014688;0.17080722954425642;ommited for csv readability;7.0;[0 0 4 2 0 0 1]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5471497069792222;0.38730119379392786;ommited for csv readability;0.4149326805385557;0.29987033301282456;ommited for csv readability;14.0;[1 0 4 4 4 0 1]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.586096256684492;0.4851028969440228;ommited for csv readability;0.48959608323133413;0.4110784612724741;ommited for csv readability;21.0;[1 1 4 8 6 0 1]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6366076221148685;0.5795916043185;ommited for csv readability;0.5716034271725826;0.5183113820712864;ommited for csv readability;28.0;[ 1  1  4 11  8  2  1]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6589439655172413;0.5964710124336953;ommited for csv readability;0.587515299877601;0.5201581439932549;ommited for csv readability;35.0;[ 1  1  4 17  9  2  1]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6792861005949161;0.6174108665406859;ommited for csv readability;0.6083231334149327;0.5436389387300024;ommited for csv readability;42.0;[ 2  1  4 22 10  2  1]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6948968512486428;0.6590407902028325;ommited for csv readability;0.6474908200734394;0.6246122029236802;ommited for csv readability;49.0;[ 4  1  4 26 10  2  2]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7226158038147139;0.7050735190592945;ommited for csv readability;0.6682986536107711;0.652158773259736;ommited for csv readability;56.0;[ 5  1  4 29 11  4  2]
Cora;own;0.5;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7297592997811816;0.7133051761545222;ommited for csv readability;0.6780905752753978;0.6708514682440517;ommited for csv readability;63.0;[ 5  2  6 33 11  4  2]
