dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.4067256124075953;0.19275287652412845;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;3.0;[1 1 1]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.4072490032620515;0.19292913683270663;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;6.0;[2 2 2]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.40516241299303946;0.1922256621947024;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;9.0;[3 3 3]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.4036550873884981;0.19171618014294325;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;12.0;[4 4 4]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.4038880023211954;0.19179497778237056;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;15.0;[5 5 5]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.40375825292026407;0.19175108538350216;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;18.0;[6 6 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.4031204644412192;0.19153521248168262;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;21.0;[7 7 7]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.3333333333333333;0.16666666666666666;ommited for csv readability;0.40328083036945633;0.19158951016396833;ommited for csv readability;0.3994252873563218;0.19028062970568105;ommited for csv readability;24.0;[8 8 8]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.7037037037037037;0.6657068421774305;ommited for csv readability;0.4814868593001307;0.4245273750968967;ommited for csv readability;0.4685598377281947;0.41124653747340306;ommited for csv readability;27.0;[9 9 9]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.8666666666666667;0.8649038054072379;ommited for csv readability;0.643235785346017;0.6449639935255234;ommited for csv readability;0.6244083840432725;0.6260912586939879;ommited for csv readability;30.0;[10 10 10]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.8787878787878788;0.8774603174603174;ommited for csv readability;0.6695235328297502;0.671896221613732;ommited for csv readability;0.6566937119675457;0.6590011582148331;ommited for csv readability;33.0;[11 11 11]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8878641487337139;ommited for csv readability;0.6789683981111515;0.6808355345511066;ommited for csv readability;0.6678498985801217;0.669592336689726;ommited for csv readability;36.0;[12 12 12]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.8461538461538461;0.845995013246065;ommited for csv readability;0.6977183548902776;0.6987575527072581;ommited for csv readability;0.6859364435429344;0.6867692382299446;ommited for csv readability;39.0;[13 13 13]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9047619047619048;0.9050638728058082;ommited for csv readability;0.7177847227269424;0.7118087883695713;ommited for csv readability;0.7082488167680866;0.7011282276284726;ommited for csv readability;42.0;[14 14 14]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9111111111111111;0.911036954640959;ommited for csv readability;0.7249200348938645;0.7145874436873237;ommited for csv readability;0.7151791751183232;0.7033507812073158;ommited for csv readability;45.0;[15 15 15]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.8958333333333334;0.896268184693232;ommited for csv readability;0.7239874936377517;0.7130413056865788;ommited for csv readability;0.7123056118999324;0.6997161086787379;ommited for csv readability;48.0;[16 16 16]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9607843137254902;0.9607673372379254;ommited for csv readability;0.7399272727272728;0.7367522021921414;ommited for csv readability;0.7302231237322515;0.7252533847503799;ommited for csv readability;51.0;[17 17 17]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.962948662948663;ommited for csv readability;0.7523823379646468;0.7467293212991327;ommited for csv readability;0.7385057471264368;0.7315159233788039;ommited for csv readability;54.0;[18 18 18]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9473684210526315;0.947270955165692;ommited for csv readability;0.7612776484284052;0.7547062303109624;ommited for csv readability;0.75;0.7416714408836476;ommited for csv readability;57.0;[19 19 19]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9328449328449328;ommited for csv readability;0.7741066880139728;0.7671327130098984;ommited for csv readability;0.7630155510480054;0.7545153127970196;ommited for csv readability;60.0;[20 20 20]


