dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.05282225925657561;0.03616504055554242;[[125, 101, 511, 22, 26, 1995, 92], [106, 166, 412, 17, 24, 4658, 34], [487, 238, 438, 24, 270, 4019, 36], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.17409470752089137, 0.3287128712871287, 0.3218221895664952, 0.0, 0.0, 0.0, 0.0];0.051217038539553755;0.03426551347809829;[[41, 49, 212, 8, 17, 857, 47], [38, 72, 176, 12, 13, 1996, 15], [201, 111, 190, 9, 121, 1714, 17], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.14642857142857144, 0.3103448275862069, 0.328719723183391, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.4444444444444444;[[0, 0, 2], [0, 1, 1], [0, 0, 3]];[nan, 1.0, 0.5];0.40068145570537916;0.19307790382036147;[[0, 0, 2870], [0, 22, 5393], [0, 4, 5505]];[nan, 0.8461538461538461, 0.3998402091807089];0.40010141987829617;0.19227001923114026;[[0, 0, 1231], [0, 7, 2315], [0, 3, 2360]];[nan, 0.7, 0.3995936335929563];7.0;[2, 2, 3]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.6428571428571429;0.4675324675324675;[[0, 0, 3], [0, 6, 2], [0, 0, 3]];[nan, 1.0, 0.375];0.5606730978457968;0.4225620251633762;[[0, 33, 2836], [0, 3333, 2076], [0, 1112, 4397]];[nan, 0.7443054935238946, 0.4723385970566119];0.572684246112238;0.43175930489286535;[[0, 17, 1214], [0, 1460, 862], [0, 435, 1928]];[nan, 0.7635983263598326, 0.48151848151848153];14.0;[3, 8, 3]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5230769230769231;[[0, 5, 1], [0, 10, 0], [0, 1, 4]];[nan, 0.625, 0.8];0.4867198838896952;0.3273571588326494;[[0, 2483, 383], [0, 5387, 20], [0, 4187, 1320]];[nan, 0.4467943932984988, 0.7661056297156124];0.49154834347532117;0.3333372369269931;[[0, 1069, 162], [0, 2311, 11], [0, 1766, 597]];[nan, 0.4490866692576759, 0.7753246753246753];21.0;[6, 10, 5]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.6071428571428571;0.4456140350877193;[[0, 7, 1], [0, 14, 0], [0, 3, 3]];[nan, 0.5833333333333334, 0.75];0.4475422928918899;0.2766116673921583;[[0, 2686, 178], [0, 5397, 6], [0, 4739, 767]];[nan, 0.42091717360786146, 0.8065194532071503];0.45250169033130494;0.2832651796778191;[[0, 1153, 78], [0, 2320, 2], [0, 2006, 357]];[nan, 0.423434933382004, 0.816933638443936];28.0;[8, 14, 6]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.6;0.45075757575757586;[[0, 8, 2], [0, 16, 0], [0, 4, 5]];[nan, 0.5714285714285714, 0.7142857142857143];0.4697079761731803;0.30604342044560234;[[0, 2530, 332], [0, 5391, 10], [0, 4428, 1075]];[nan, 0.4365535670904527, 0.7586450247000706];0.4746450304259635;0.31234931753792283;[[0, 1092, 139], [0, 2317, 5], [0, 1872, 491]];[nan, 0.4387426623745503, 0.7732283464566929];35.0;[10, 16, 9]


PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.23991015143830158;0.0925049952278313;[[65, 67, 404, 1520, 730, 11, 75], [81, 158, 2228, 1936, 960, 0, 54], [64, 52, 3088, 1293, 981, 1, 33], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.30952380952380953, 0.5703971119133574, 0.5398601398601398, 0.0, 0.0, 0.0, 0.0];0.2391818796484111;0.09099902151641114;[[21, 44, 160, 669, 294, 4, 39], [38, 67, 972, 803, 424, 0, 18], [20, 24, 1327, 581, 395, 2, 14], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.26582278481012656, 0.4962962962962963, 0.5396502643350956, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.24242424242424243;[[0, 0, 1], [0, 0, 2], [0, 0, 4]];[nan, nan, 0.5714285714285714];0.3993040452370596;0.19023935343487722;[[0, 0, 2871], [0, 0, 5415], [0, 0, 5508]];[nan, nan, 0.3993040452370596];0.3994252873563218;0.19028062970568105;[[0, 0, 1231], [0, 0, 2322], [0, 0, 2363]];[nan, nan, 0.3994252873563218];7.0;[1, 2, 4]
