dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.05282225925657561;0.03616504055554242;[[125, 101, 511, 22, 26, 1995, 92], [106, 166, 412, 17, 24, 4658, 34], [487, 238, 438, 24, 270, 4019, 36], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.17409470752089137, 0.3287128712871287, 0.3218221895664952, 0.0, 0.0, 0.0, 0.0];0.051217038539553755;0.03426551347809829;[[41, 49, 212, 8, 17, 857, 47], [38, 72, 176, 12, 13, 1996, 15], [201, 111, 190, 9, 121, 1714, 17], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.14642857142857144, 0.3103448275862069, 0.328719723183391, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.24242424242424243;[[4, 0, 0], [2, 0, 0], [1, 0, 0]];[0.5714285714285714, nan, nan];0.21581847179933306;0.11833919662910182;[[2977, 0, 0], [5327, 0, 0], [5490, 0, 0]];[0.21581847179933306, nan, nan];0.20807978363759297;0.11482673382771326;[[1231, 0, 0], [2322, 0, 0], [2363, 0, 0]];[0.20807978363759297, nan, nan];7.0;[4, 2, 1]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.35714285714285715;0.17543859649122806;[[5, 0, 0], [5, 0, 0], [4, 0, 0]];[0.35714285714285715, nan, nan];0.20925509537970552;0.11569724724166319;[[2882, 0, 0], [5310, 0, 8], [5584, 0, 3]];[0.20920441347270616, nan, 0.2727272727272727];0.20807978363759297;0.11490712218799588;[[1231, 0, 0], [2317, 0, 5], [2363, 0, 0]];[0.2082557942818474, nan, 0.0];14.0;[5, 5, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.42857142857142855;0.19999999999999998;[[9, 0, 0], [8, 0, 0], [4, 0, 0]];[0.42857142857142855, nan, nan];0.22445573294629897;0.12220707639423929;[[3093, 0, 0], [5201, 0, 0], [5486, 0, 0]];[0.22445573294629897, nan, nan];0.20807978363759297;0.11482673382771326;[[1231, 0, 0], [2322, 0, 0], [2363, 0, 0]];[0.20807978363759297, nan, nan];21.0;[9, 8, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.42857142857142855;0.19999999999999998;[[12, 0, 0], [10, 0, 0], [6, 0, 0]];[0.42857142857142855, nan, nan];0.22326290568503593;0.12167616334283;[[3075, 0, 0], [5164, 0, 0], [5534, 0, 0]];[0.22326290568503593, nan, nan];0.20807978363759297;0.11482673382771326;[[1231, 0, 0], [2322, 0, 0], [2363, 0, 0]];[0.20807978363759297, nan, nan];28.0;[12, 10, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.4;0.1904761904761905;[[14, 0, 0], [14, 0, 0], [7, 0, 0]];[0.4, nan, nan];0.21712915879703618;0.11892967273450712;[[2989, 0, 0], [5273, 0, 0], [5504, 0, 0]];[0.21712915879703618, nan, nan];0.20807978363759297;0.11482673382771326;[[1231, 0, 0], [2322, 0, 0], [2363, 0, 0]];[0.20807978363759297, nan, nan];35.0;[14, 14, 7]


PubMed;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.23991015143830158;0.0925049952278313;[[65, 67, 404, 1520, 730, 11, 75], [81, 158, 2228, 1936, 960, 0, 54], [64, 52, 3088, 1293, 981, 1, 33], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.30952380952380953, 0.5703971119133574, 0.5398601398601398, 0.0, 0.0, 0.0, 0.0];0.2391818796484111;0.09099902151641114;[[21, 44, 160, 669, 294, 4, 39], [38, 67, 972, 803, 424, 0, 18], [20, 24, 1327, 581, 395, 2, 14], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.26582278481012656, 0.4962962962962963, 0.5396502643350956, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.45714285714285713;[[0, 2, 0], [0, 2, 0], [0, 1, 2]];[nan, 0.4, 1.0];0.5083369580977236;0.35715549047937145;[[0, 2711, 133], [0, 5299, 135], [0, 3803, 1713]];[nan, 0.4485736053500381, 0.8647147905098436];0.5116632860040567;0.36259598818603506;[[0, 1177, 54], [0, 2257, 65], [0, 1593, 770]];[nan, 0.4489755321265168, 0.8661417322834646];7.0;[2, 2, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.5;0.3057644110275689;[[0, 2, 0], [0, 6, 0], [0, 5, 1]];[nan, 0.46153846153846156, 1.0];0.417277145136723;0.22794624244925907;[[0, 2835, 3], [0, 5436, 0], [0, 5196, 317]];[nan, 0.40365337491646247, 0.990625];0.418526031102096;0.23228615242881054;[[0, 1230, 1], [0, 2322, 0], [0, 2209, 154]];[nan, 0.40305502516924147, 0.9935483870967742];14.0;[2, 6, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.42857142857142855;0.2571428571428572;[[0, 0, 4], [0, 1, 8], [0, 0, 8]];[nan, 1.0, 0.4];0.46777939042089983;0.288658869102942;[[0, 81, 2715], [0, 799, 4497], [0, 41, 5647]];[nan, 0.8675352877307275, 0.43914767866863674];0.45233265720081134;0.27820336186644834;[[0, 31, 1200], [0, 322, 2000], [0, 9, 2354]];[nan, 0.8895027624309392, 0.4238386748289521];21.0;[4, 9, 8]
PubMed;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.7857142857142857;0.5708333333333334;[[0, 0, 4], [0, 9, 2], [0, 0, 13]];[nan, 1.0, 0.6842105263157895];0.6440862557177086;0.4785282623777764;[[0, 213, 2456], [0, 3406, 1871], [0, 362, 5465]];[nan, 0.8555639286611404, 0.5581086601307189];0.6299864773495605;0.47339626456036615;[[0, 90, 1141], [0, 1481, 841], [0, 117, 2246]];[nan, 0.8773696682464455, 0.5312204351939451];28.0;[4, 11, 13]
PubMed;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.7428571428571429;0.5425685425685426;[[0, 1, 5], [0, 9, 3], [0, 0, 17]];[nan, 0.9, 0.68];0.6304663664099956;0.468042853058016;[[0, 194, 2490], [0, 3261, 2055], [0, 348, 5418]];[nan, 0.8574809361030765, 0.5438121047877146];0.6228870858688302;0.4675032652770692;[[0, 85, 1146], [0, 1429, 893], [0, 107, 2256]];[nan, 0.8815545959284392, 0.5252619324796275];35.0;[6, 12, 17]


PubMed;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.13861314397507427;0.05807013702703936;[[107, 3, 1819, 177, 1, 8, 757], [152, 15, 1571, 186, 5, 20, 3468], [110, 43, 1791, 419, 8, 12, 3129], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.2899728997289973, 0.2459016393442623, 0.34568616097278515, 0.0, 0.0, 0.0, 0.0];0.1402974983096687;0.05942980153064982;[[47, 2, 761, 93, 0, 6, 322], [52, 5, 630, 85, 4, 4, 1542], [44, 19, 778, 189, 3, 5, 1325], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.32867132867132864, 0.19230769230769232, 0.3586906408483172, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.42857142857142855;0.19999999999999998;[[0, 2, 0], [0, 3, 0], [0, 2, 0]];[nan, 0.42857142857142855, nan];0.40147890387124835;0.19099844800827726;[[0, 2917, 0], [0, 5538, 0], [2, 5337, 0]];[0.0, 0.40153712296983757, nan];0.3926639621365788;0.18849600478766362;[[1, 1230, 0], [0, 2322, 0], [1, 2362, 0]];[0.5, 0.39262766317213393, nan];7.0;[2, 3, 2]
PubMed;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.5;0.2222222222222222;[[0, 3, 0], [0, 7, 0], [0, 4, 0]];[nan, 0.5, nan];0.4053093493871038;0.19227526881720428;[[0, 2867, 0], [0, 5588, 0], [0, 5332, 0]];[nan, 0.4053093493871038, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];14.0;[3, 7, 4]
PubMed;own;medoids;0.2;64;0.5;1;0.005;831763849.0;0.42857142857142855;0.19999999999999998;[[0, 6, 0], [0, 9, 0], [0, 6, 0]];[nan, 0.42857142857142855, nan];0.40384615384615385;0.19178082191780824;[[0, 2898, 0], [0, 5565, 0], [0, 5317, 0]];[nan, 0.40384615384615385, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];21.0;[6, 9, 6]
