dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.05282225925657561;0.03616504055554242;[[125, 101, 511, 22, 26, 1995, 92], [106, 166, 412, 17, 24, 4658, 34], [487, 238, 438, 24, 270, 4019, 36], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.17409470752089137, 0.3287128712871287, 0.3218221895664952, 0.0, 0.0, 0.0, 0.0];0.051217038539553755;0.03426551347809829;[[41, 49, 212, 8, 17, 857, 47], [38, 72, 176, 12, 13, 1996, 15], [201, 111, 190, 9, 121, 1714, 17], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.14642857142857144, 0.3103448275862069, 0.328719723183391, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.24242424242424243;[[4, 0, 0], [2, 0, 0], [1, 0, 0]];[0.5714285714285714, nan, nan];0.20791648542844715;0.11475213059656703;[[2868, 0, 0], [5415, 0, 0], [5511, 0, 0]];[0.20791648542844715, nan, nan];0.20807978363759297;0.11482673382771326;[[1231, 0, 0], [2322, 0, 0], [2363, 0, 0]];[0.20807978363759297, nan, nan];7.0;[4, 2, 1]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.35714285714285715;0.17543859649122806;[[5, 0, 0], [5, 0, 0], [4, 0, 0]];[0.35714285714285715, nan, nan];0.20794951766156525;0.11476722308954805;[[2867, 0, 0], [5412, 0, 0], [5508, 0, 0]];[0.20794951766156525, nan, nan];0.20807978363759297;0.11482673382771326;[[1231, 0, 0], [2322, 0, 0], [2363, 0, 0]];[0.20807978363759297, nan, nan];14.0;[5, 5, 4]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.2857142857142857;0.14814814814814817;[[6, 0, 0], [10, 0, 0], [5, 0, 0]];[0.2857142857142857, nan, nan];0.20798258345428156;0.11478233008931073;[[2866, 0, 0], [5407, 0, 0], [5507, 0, 0]];[0.20798258345428156, nan, nan];0.20807978363759297;0.11482673382771326;[[1231, 0, 0], [2322, 0, 0], [2363, 0, 0]];[0.20807978363759297, nan, nan];21.0;[6, 10, 5]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.4642857142857143;0.2792022792022792;[[1, 7, 0], [0, 12, 0], [0, 8, 0]];[1.0, 0.4444444444444444, nan];0.3973716692078705;0.20407915399530455;[[68, 2796, 0], [0, 5405, 0], [13, 5491, 0]];[0.8395061728395061, 0.39475606193397605, nan];0.3967207572684246;0.20180103009923936;[[25, 1206, 0], [0, 2322, 0], [4, 2359, 0]];[0.8620689655172413, 0.39442840156276543, nan];28.0;[8, 12, 8]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.45714285714285713;0.26468769325912184;[[1, 9, 0], [0, 15, 0], [0, 10, 0]];[1.0, 0.4411764705882353, nan];0.39626616301031525;0.2005475580963576;[[53, 2809, 0], [0, 5402, 0], [4, 5498, 0]];[0.9298245614035088, 0.3940477058866438, nan];0.3946923597025017;0.19520805383014284;[[13, 1218, 0], [0, 2322, 0], [2, 2361, 0]];[0.8666666666666667, 0.3934926283680732, nan];35.0;[10, 15, 10]


PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.23991015143830158;0.0925049952278313;[[65, 67, 404, 1520, 730, 11, 75], [81, 158, 2228, 1936, 960, 0, 54], [64, 52, 3088, 1293, 981, 1, 33], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.30952380952380953, 0.5703971119133574, 0.5398601398601398, 0.0, 0.0, 0.0, 0.0];0.2391818796484111;0.09099902151641114;[[21, 44, 160, 669, 294, 4, 39], [38, 67, 972, 803, 424, 0, 18], [20, 24, 1327, 581, 395, 2, 14], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.26582278481012656, 0.4962962962962963, 0.5396502643350956, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;0.5714285714285714;0.4444444444444444;[[0, 0, 2], [0, 1, 1], [0, 0, 3]];[nan, 1.0, 0.5];0.40561113527620707;0.22240520114357298;[[0, 570, 2300], [0, 273, 5142], [0, 187, 5322]];[nan, 0.2650485436893204, 0.41695393293638355];0.40297498309668695;0.21961254426317456;[[0, 256, 975], [0, 107, 2215], [0, 86, 2277]];[nan, 0.2383073496659243, 0.4164989939637827];7.0;[2, 2, 3]
