dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.05282225925657561;0.03616504055554242;[[125, 101, 511, 22, 26, 1995, 92], [106, 166, 412, 17, 24, 4658, 34], [487, 238, 438, 24, 270, 4019, 36], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.17409470752089137, 0.3287128712871287, 0.3218221895664952, 0.0, 0.0, 0.0, 0.0];0.051217038539553755;0.03426551347809829;[[41, 49, 212, 8, 17, 857, 47], [38, 72, 176, 12, 13, 1996, 15], [201, 111, 190, 9, 121, 1714, 17], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.14642857142857144, 0.3103448275862069, 0.328719723183391, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.42857142857142855;0.19999999999999998;[[0, 2, 0], [0, 3, 0], [0, 2, 0]];[nan, 0.42857142857142855, nan];0.39488183268087573;0.1887289295428166;[[0, 2906, 0], [0, 5447, 0], [0, 5441, 0]];[nan, 0.39488183268087573, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];7.0;[2, 3, 2]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.5714285714285714;0.24242424242424243;[[0, 2, 0], [0, 8, 0], [0, 4, 0]];[nan, 0.5714285714285714, nan];0.3963153695510263;0.18921960763943;[[0, 2896, 0], [0, 5464, 0], [0, 5427, 0]];[nan, 0.3963153695510263, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];14.0;[2, 8, 4]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.5238095238095238;0.2291666666666667;[[0, 5, 0], [0, 11, 0], [0, 5, 0]];[nan, 0.5238095238095238, nan];0.39920174165457184;0.19020451912936742;[[0, 2874, 0], [0, 5501, 0], [0, 5405, 0]];[nan, 0.39920174165457184, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];21.0;[5, 11, 5]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.5;0.2222222222222222;[[0, 7, 0], [0, 14, 0], [0, 7, 0]];[nan, 0.5, nan];0.3996950555434546;0.19037244527440603;[[0, 2874, 0], [0, 5505, 0], [0, 5394, 0]];[nan, 0.3996950555434546, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];28.0;[7, 14, 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.5142857142857142;0.22641509433962262;[[0, 8, 0], [0, 18, 0], [0, 9, 0]];[nan, 0.5142857142857142, nan];0.40251343890745317;0.19132956958616046;[[0, 2843, 0], [0, 5541, 0], [0, 5382, 0]];[nan, 0.40251343890745317, nan];0.3924949290060852;0.18790968681718864;[[0, 1231, 0], [0, 2322, 0], [0, 2363, 0]];[nan, 0.3924949290060852, nan];35.0;[8, 18, 9]


PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.23991015143830158;0.0925049952278313;[[65, 67, 404, 1520, 730, 11, 75], [81, 158, 2228, 1936, 960, 0, 54], [64, 52, 3088, 1293, 981, 1, 33], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.30952380952380953, 0.5703971119133574, 0.5398601398601398, 0.0, 0.0, 0.0, 0.0];0.2391818796484111;0.09099902151641114;[[21, 44, 160, 669, 294, 4, 39], [38, 67, 972, 803, 424, 0, 18], [20, 24, 1327, 581, 395, 2, 14], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]];[0.26582278481012656, 0.4962962962962963, 0.5396502643350956, 0.0, 0.0, 0.0, 0.0];0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;649695571.0;0.42857142857142855;0.3333333333333333;[[0, 0, 2], [0, 1, 2], [0, 0, 2]];[nan, 1.0, 0.3333333333333333];0.4897056691315064;0.3436624618350533;[[0, 1, 2833], [0, 1644, 3793], [0, 412, 5111]];[nan, 0.7992221682061255, 0.4354605094998722];0.49036511156186613;0.34551461252944576;[[0, 0, 1231], [0, 714, 1608], [0, 176, 2187]];[nan, 0.802247191011236, 0.43513728611221647];7.0;[2, 3, 2]
