dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4106392230758081;0.24338346817605486;ommited for csv readability;0.4107505070993915;0.24529679608411184;ommited for csv readability;3.0;[1 1 1]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6666666666666666;ommited for csv readability;0.4163102573396158;0.4150690271794226;ommited for csv readability;0.4339080459770115;0.43396318398308725;ommited for csv readability;6.0;[2 2 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.8857142857142858;ommited for csv readability;0.5626450116009281;0.5141906639207751;ommited for csv readability;0.5725152129817445;0.5292015053410559;ommited for csv readability;9.0;[3 3 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8380952380952381;ommited for csv readability;0.5570382188701138;0.47540297847687735;ommited for csv readability;0.5709939148073022;0.4957923721894273;ommited for csv readability;12.0;[4 4 4]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8;0.7944444444444444;ommited for csv readability;0.59807050631075;0.5618265439015476;ommited for csv readability;0.61342123056119;0.5821488267528009;ommited for csv readability;15.0;[5 5 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.7777777777777778;0.7746031746031745;ommited for csv readability;0.6526155408836973;0.6496531450771207;ommited for csv readability;0.6622718052738337;0.6599184166549844;ommited for csv readability;18.0;[6 6 6]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.859979889391654;ommited for csv readability;0.6867198838896952;0.6812769423766006;ommited for csv readability;0.6943881000676132;0.6910486284373217;ommited for csv readability;21.0;[7 7 7]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8166494668042655;ommited for csv readability;0.7304202656601583;0.7351923487936921;ommited for csv readability;0.7337728194726166;0.7403779993915389;ommited for csv readability;24.0;[8 8 8]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.887962962962963;ommited for csv readability;0.729345143023087;0.7297706614674331;ommited for csv readability;0.7231237322515213;0.7228835892955239;ommited for csv readability;27.0;[9 9 9]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9;0.8994708994708995;ommited for csv readability;0.764795584924842;0.7671942188782787;ommited for csv readability;0.7641987829614605;0.7660503284279995;ommited for csv readability;30.0;[10 10 10]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7489105171411969;0.7495652107798726;ommited for csv readability;0.7429006085192698;0.7429982232456714;ommited for csv readability;33.0;[11 11 11]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.943030303030303;ommited for csv readability;0.761859789320741;0.7600004920878533;ommited for csv readability;0.7601419878296146;0.7566045255008674;ommited for csv readability;36.0;[12 12 12]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9487179487179487;0.9484126984126983;ommited for csv readability;0.7793198662985031;0.7791132574481607;ommited for csv readability;0.7871872887085869;0.7863087924389026;ommited for csv readability;39.0;[13 13 13]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9761904761904762;0.9761600681140911;ommited for csv readability;0.746638563849117;0.7449971525829323;ommited for csv readability;0.7518593644354293;0.7496496715906904;ommited for csv readability;42.0;[14 14 14]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7521808665309683;0.7500197049678811;ommited for csv readability;0.756423258958756;0.7528665706734253;ommited for csv readability;45.0;[15 15 15]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9583129683936136;ommited for csv readability;0.7780120700937977;0.7774185827525485;ommited for csv readability;0.7856659905341447;0.7845542087061966;ommited for csv readability;48.0;[16 16 16]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9607843137254902;0.9607843137254902;ommited for csv readability;0.7540363636363636;0.7515162859935183;ommited for csv readability;0.7560851926977687;0.7524183351090249;ommited for csv readability;51.0;[17 17 17]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.9629629629629629;ommited for csv readability;0.754855604859242;0.7541273258705384;ommited for csv readability;0.7596348884381339;0.758351042450343;ommited for csv readability;54.0;[18 18 18]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9473684210526315;0.9478061057008426;ommited for csv readability;0.7724097788125728;0.7722313871357963;ommited for csv readability;0.7800878972278567;0.7789903436528082;ommited for csv readability;57.0;[19 19 19]
