dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.30447069052967174;0.247898618184049;ommited for csv readability;0.30983772819472616;0.2509211558377609;ommited for csv readability;0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.5555555555555555;ommited for csv readability;0.39991303087403973;0.19369082563136927;ommited for csv readability;0.3995943204868154;0.19285342798819413;ommited for csv readability;3.0;[1 1 1]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.43486770569046757;0.327096230684043;ommited for csv readability;0.43999323867478024;0.33095626773279924;ommited for csv readability;6.0;[2 2 2]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.7777777777777778;0.75;ommited for csv readability;0.44699825986078884;0.38010373908745737;ommited for csv readability;0.4413455037187289;0.374779314938231;ommited for csv readability;9.0;[3 3 3]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8148148148148149;ommited for csv readability;0.4980056566828632;0.41605293722429176;ommited for csv readability;0.49374577417173765;0.4125745527764042;ommited for csv readability;12.0;[4 4 4]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8;0.7712842712842712;ommited for csv readability;0.4933265631800377;0.40441561536308335;ommited for csv readability;0.48951994590939824;0.4026465730093953;ommited for csv readability;15.0;[5 5 5]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.5202060509323079;0.4238907096631365;ommited for csv readability;0.5133536173089925;0.4188885772370948;ommited for csv readability;18.0;[6 6 6]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8571428571428571;0.8452020202020202;ommited for csv readability;0.5346153846153846;0.4479689708977099;ommited for csv readability;0.5304259634888439;0.44383437726493796;ommited for csv readability;21.0;[7 7 7]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9581699346405229;ommited for csv readability;0.5405385787907382;0.46334427250642385;ommited for csv readability;0.538708586883029;0.4648462818066052;ommited for csv readability;24.0;[8 8 8]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.9628482972136223;ommited for csv readability;0.6316248003484827;0.6157226772971737;ommited for csv readability;0.6369168356997972;0.6233962141478918;ommited for csv readability;27.0;[9 9 9]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9326599326599326;ommited for csv readability;0.6921066008278266;0.6886393305446331;ommited for csv readability;0.6940500338066261;0.6908123921628525;ommited for csv readability;30.0;[10 10 10]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9393939393939394;0.9376811594202898;ommited for csv readability;0.7271934921557234;0.7249618152514699;ommited for csv readability;0.7334347532116294;0.7311861032034385;ommited for csv readability;33.0;[11 11 11]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9722222222222222;0.9721739130434782;ommited for csv readability;0.7641118779513258;0.761638840748259;ommited for csv readability;0.7714672075726843;0.7696773299387912;ommited for csv readability;36.0;[12 12 12]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9487179487179487;0.9475308641975309;ommited for csv readability;0.7622438599040837;0.7598199794801704;ommited for csv readability;0.767579445571332;0.7654390340373628;ommited for csv readability;39.0;[13 13 13]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.9513704686118479;ommited for csv readability;0.7674976379097318;0.7644358392602938;ommited for csv readability;0.7709601081812035;0.7690348128976735;ommited for csv readability;42.0;[14 14 14]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7712271009014249;0.7692132440202727;ommited for csv readability;0.7768762677484787;0.7748883367324201;ommited for csv readability;45.0;[15 15 15]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7671053588308006;0.7664960040604285;ommited for csv readability;0.7760311020960108;0.7749378558158577;ommited for csv readability;48.0;[16 16 16]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9803921568627451;0.9803751803751805;ommited for csv readability;0.7790545454545454;0.7789982453235943;ommited for csv readability;0.7838066260987153;0.7839088524291803;ommited for csv readability;51.0;[17 17 17]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9629629629629629;0.962374138844727;ommited for csv readability;0.7757328871753837;0.7754924106255351;ommited for csv readability;0.7805949966193374;0.7798215119387163;ommited for csv readability;54.0;[18 18 18]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9824561403508771;0.9824439824439825;ommited for csv readability;0.7725552968568102;0.7722912309718596;ommited for csv readability;0.7792427315753888;0.7782214640585776;ommited for csv readability;57.0;[19 19 19]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9665831244778613;ommited for csv readability;0.7872061713121316;0.7867788782607471;ommited for csv readability;0.7873563218390804;0.7863205690885554;ommited for csv readability;60.0;[20 20 20]


PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.47532787479168176;0.36658975310580083;ommited for csv readability;0.4710953346855984;0.36449428757664454;ommited for csv readability;0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6077692419191187;0.5825156509554158;ommited for csv readability;0.612237998647735;0.5861512404247735;ommited for csv readability;3.0;[1 1 1]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.5171438927147517;0.45758215353388004;ommited for csv readability;0.5250169033130494;0.46617290784633036;ommited for csv readability;6.0;[2 2 2]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.7777777777777778;0.75;ommited for csv readability;0.6403712296983759;0.6280681746231409;ommited for csv readability;0.650946585530764;0.6427852577943951;ommited for csv readability;9.0;[3 3 3]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.6140401769526435;0.6140194455582009;ommited for csv readability;0.6206896551724138;0.6204385322921594;ommited for csv readability;12.0;[4 4 4]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.9326599326599326;ommited for csv readability;0.6439141157696213;0.6435525558490298;ommited for csv readability;0.6468897903989181;0.6463821645932676;ommited for csv readability;15.0;[5 5 5]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6799680766161214;0.6812526521334966;ommited for csv readability;0.6798512508451656;0.6811779836971209;ommited for csv readability;18.0;[6 6 6]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.9523809523809523;0.952136752136752;ommited for csv readability;0.7024673439767779;0.7053134931484809;ommited for csv readability;0.7041920216362407;0.7068668361166152;ommited for csv readability;21.0;[7 7 7]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.9583333333333334;0.9581699346405229;ommited for csv readability;0.6901357334688248;0.686884906240476;ommited for csv readability;0.6959093982420554;0.6917731516785754;ommited for csv readability;24.0;[8 8 8]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.9629629629629629;0.9628482972136223;ommited for csv readability;0.6929722665892261;0.688554758218123;ommited for csv readability;0.6974306964164977;0.6923162723185516;ommited for csv readability;27.0;[9 9 9]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.9666666666666667;0.9665831244778613;ommited for csv readability;0.7053227797545567;0.7021108926339349;ommited for csv readability;0.7057133198106829;0.7026133075584454;ommited for csv readability;30.0;[10 10 10]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7139744334689134;0.7111824219812938;ommited for csv readability;0.7150101419878296;0.7127791635785372;ommited for csv readability;33.0;[11 11 11]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7439883763167454;0.7416965018495848;ommited for csv readability;0.7425625422582827;0.7405503510022434;ommited for csv readability;36.0;[12 12 12]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7586833309112048;0.7566275182744889;ommited for csv readability;0.7589587559161596;0.7569793037793643;ommited for csv readability;39.0;[13 13 13]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7546333309106766;0.7514741115514173;ommited for csv readability;0.7552400270453009;0.7519261450380998;ommited for csv readability;42.0;[14 14 14]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;0.9777777777777777;0.9777530589543938;ommited for csv readability;0.7613405059610352;0.7575367441368566;ommited for csv readability;0.7638607167004733;0.7600436319632689;ommited for csv readability;45.0;[15 15 15]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7662328219297608;0.7626154429742681;ommited for csv readability;0.7692697768762677;0.765501655917515;ommited for csv readability;48.0;[16 16 16]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7623272727272727;0.7583183744755929;ommited for csv readability;0.7672413793103449;0.7629646344395155;ommited for csv readability;51.0;[17 17 17]
PubMed;own;random;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.7654761038772095;0.7621816002658469;ommited for csv readability;0.769945909398242;0.7664074798368374;ommited for csv readability;54.0;[18 18 18]
