dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4248441803159878;0.41787574620476464;ommited for csv readability;0.41632860040567954;0.4154573308289435;ommited for csv readability;3.0;[1 1 1]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.45951431678144256;0.4348904208260073;ommited for csv readability;0.4514874915483435;0.4268309570935174;ommited for csv readability;6.0;[2 2 2]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.7777777777777778;0.7777777777777777;ommited for csv readability;0.5113834106728539;0.4793829400266268;ommited for csv readability;0.5174104124408384;0.48420241926770785;ommited for csv readability;9.0;[3 3 3]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.5675538472695627;0.5707434273694734;ommited for csv readability;0.572684246112238;0.5761746723741813;ommited for csv readability;12.0;[4 4 4]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9326599326599326;ommited for csv readability;0.5876251269403743;0.5826538968389974;ommited for csv readability;0.5906017579445572;0.583328501760572;ommited for csv readability;15.0;[5 5 5]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6095915257926431;0.6124802592427278;ommited for csv readability;0.6142663962136579;0.6180399391151722;ommited for csv readability;18.0;[6 6 6]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.640711175616836;0.6419132172040011;ommited for csv readability;0.6446923597025017;0.646147040610762;ommited for csv readability;21.0;[7 7 7]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6574725992596356;0.6586618947798756;ommited for csv readability;0.6639621365787695;0.6653823234194118;ommited for csv readability;24.0;[8 8 8]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.688834035138667;0.691488404845274;ommited for csv readability;0.6969235970250169;0.6998449777081515;ommited for csv readability;27.0;[9 9 9]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.698787306658921;0.7010570972255931;ommited for csv readability;0.7068965517241379;0.7100275849354482;ommited for csv readability;30.0;[10 10 10]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7027164439279489;0.7047965442029316;ommited for csv readability;0.7111223799864773;0.7142592906262529;ommited for csv readability;33.0;[11 11 11]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7011986923356338;0.7033152880226208;ommited for csv readability;0.7097701149425287;0.7123939639266451;ommited for csv readability;36.0;[12 12 12]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7002615898851912;0.7021402028385441;ommited for csv readability;0.7097701149425287;0.7118850060078095;ommited for csv readability;39.0;[13 13 13]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.723017661167236;0.7253257744977889;ommited for csv readability;0.7295469912102772;0.7324628770753582;ommited for csv readability;42.0;[14 14 14]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7347339342832219;0.7359863427022058;ommited for csv readability;0.7474645030425964;0.7491679566916245;ommited for csv readability;45.0;[15 15 15]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7436195739111466;0.7444195116774556;ommited for csv readability;0.7527045300878973;0.7537911149542388;ommited for csv readability;48.0;[16 16 16]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7496;0.7498542376070004;ommited for csv readability;0.7596348884381339;0.7600079982073916;ommited for csv readability;51.0;[17 17 17]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7526005673965229;0.7525046731772668;ommited for csv readability;0.7625084516565247;0.7625962392054652;ommited for csv readability;54.0;[18 18 18]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7609866123399301;0.7599547948528955;ommited for csv readability;0.7667342799188641;0.7667918601523999;ommited for csv readability;57.0;[19 19 19]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7683574703442253;0.767216834498389;ommited for csv readability;0.7756930358350237;0.7752548089128225;ommited for csv readability;60.0;[20 20 20]


PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.29447141511484676;0.29675652879725495;ommited for csv readability;0.30138607167004733;0.3040145279940847;ommited for csv readability;0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4536164661545152;0.3465435414731414;ommited for csv readability;0.45334685598377283;0.34494774056095295;ommited for csv readability;3.0;[1 1 1]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.49735411380935124;0.4355354988159507;ommited for csv readability;0.4910412440838404;0.4314719223308731;ommited for csv readability;6.0;[2 2 2]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;0.8888888888888888;0.8857142857142858;ommited for csv readability;0.5357453596287703;0.5308905816995971;ommited for csv readability;0.5338066260987153;0.5266968179755586;ommited for csv readability;9.0;[3 3 3]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.5248386394952498;0.5032885897818847;ommited for csv readability;0.5189317106152807;0.49965159215159144;ommited for csv readability;12.0;[4 4 4]
