dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.35606115498876895;0.3267555634094375;ommited for csv readability;0.3509127789046653;0.3211947243075296;ommited for csv readability;0.0;[]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6660385563125091;0.655508286787483;ommited for csv readability;0.672920892494929;0.6624705130146225;ommited for csv readability;3.0;[1 1 1]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.6838709677419355;0.6504110416792216;ommited for csv readability;0.6786680189317106;0.645142332641754;ommited for csv readability;6.0;[2 2 2]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7457946635730859;0.7377889346657939;ommited for csv readability;0.7469574036511156;0.7407855177869428;ommited for csv readability;9.0;[3 3 3]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7689462615128001;0.7619339805291035;ommited for csv readability;0.7667342799188641;0.7600215501245797;ommited for csv readability;12.0;[4 4 4]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9326599326599326;ommited for csv readability;0.7386479036703902;0.7281102383999621;ommited for csv readability;0.7395199459093983;0.7313430942153168;ommited for csv readability;15.0;[5 5 5]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9440559440559441;ommited for csv readability;0.7705869549444968;0.7615836986004906;ommited for csv readability;0.7658891142663962;0.7572436325984255;ommited for csv readability;18.0;[6 6 6]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7780841799709725;0.7716654216015293;ommited for csv readability;0.7684246112237999;0.7623005279546211;ommited for csv readability;21.0;[7 7 7]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.776003484067649;0.7726406338984351;ommited for csv readability;0.768762677484787;0.7661823762874019;ommited for csv readability;24.0;[8 8 8]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.771380862494555;0.7670889812320146;ommited for csv readability;0.7648749154834348;0.7610779289965012;ommited for csv readability;27.0;[9 9 9]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7697334979304336;0.7660098586953263;ommited for csv readability;0.7640297498309668;0.7604595718856304;ommited for csv readability;30.0;[10 10 10]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7728065078442766;0.7679863761728649;ommited for csv readability;0.7616632860040567;0.7568368359695836;ommited for csv readability;33.0;[11 11 11]
PubMed;own;own;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.737740646567381;0.7280859733658541;ommited for csv readability;0.7246450304259635;0.7154592010891907;ommited for csv readability;36.0;[12 12 12]
