dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5284099144803595;0.5251511294439891;ommited for csv readability;0.5336375929682218;0.5296664622189203;ommited for csv readability;3.0;[1 1 1]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.5;0.5222222222222221;ommited for csv readability;0.461689017760058;0.3814261705699476;ommited for csv readability;0.4623056118999324;0.38280605115587996;ommited for csv readability;6.0;[2 2 2]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.7777777777777778;0.7746031746031745;ommited for csv readability;0.5522041763341067;0.5346337969888092;ommited for csv readability;0.5502028397565923;0.5328920360598594;ommited for csv readability;9.0;[3 3 3]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.75;0.709090909090909;ommited for csv readability;0.5135252737689463;0.4478666434542291;ommited for csv readability;0.5153820148749155;0.4513513317626656;ommited for csv readability;12.0;[4 4 4]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7198607282750616;0.7114012382898763;ommited for csv readability;0.7227856659905342;0.7144317974838817;ommited for csv readability;15.0;[5 5 5]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9440559440559441;ommited for csv readability;0.7463542044547631;0.7362497867951984;ommited for csv readability;0.7437457741717377;0.7342650489615982;ommited for csv readability;18.0;[6 6 6]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7544267053701016;0.7450805900135272;ommited for csv readability;0.756423258958756;0.7473616091522276;ommited for csv readability;21.0;[7 7 7]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7389852652972345;0.7318717015193829;ommited for csv readability;0.7388438133874239;0.7319303572338075;ommited for csv readability;24.0;[8 8 8]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7568607521417163;0.7499369582193616;ommited for csv readability;0.7560851926977687;0.7495024885359722;ommited for csv readability;27.0;[9 9 9]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7363299687749619;0.729055558066651;ommited for csv readability;0.7388438133874239;0.7317471752967926;ommited for csv readability;30.0;[10 10 10]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.727992446252179;0.7214388475942929;ommited for csv readability;0.7281947261663286;0.7218383931515243;ommited for csv readability;33.0;[11 11 11]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9722222222222222;0.9721739130434782;ommited for csv readability;0.6902288412640756;0.684727083066402;ommited for csv readability;0.6923597025016903;0.687662911093709;ommited for csv readability;36.0;[12 12 12]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6797703822118878;0.6736578604371203;ommited for csv readability;0.6774847870182555;0.6722758432417489;ommited for csv readability;39.0;[13 13 13]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.706155970637401;0.7000474184520776;ommited for csv readability;0.7062204192021636;0.7011105738293598;ommited for csv readability;42.0;[14 14 14]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7325530677522536;0.7273515306707918;ommited for csv readability;0.7283637592968222;0.7241235867754927;ommited for csv readability;45.0;[15 15 15]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7825928888242565;0.7769151509701907;ommited for csv readability;0.7822853279242732;0.7772429500886405;ommited for csv readability;48.0;[16 16 16]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7752727272727272;0.7705692185797747;ommited for csv readability;0.7723123732251521;0.7689916763620782;ommited for csv readability;51.0;[17 17 17]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7835891467229213;0.7763369432413176;ommited for csv readability;0.7832995267072346;0.7767838648868377;ommited for csv readability;54.0;[18 18 18]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7827415599534342;0.775704446437361;ommited for csv readability;0.7812711291413117;0.7748069924065669;ommited for csv readability;57.0;[19 19 19]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.9833333333333333;0.9833229101521784;ommited for csv readability;0.783276326322684;0.7777900194031048;ommited for csv readability;0.7861730899256254;0.7812923253815267;ommited for csv readability;60.0;[20 20 20]


PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.29447141511484676;0.29675652879725495;ommited for csv readability;0.30138607167004733;0.3040145279940847;ommited for csv readability;0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.4412958399768082;0.3762660270198878;ommited for csv readability;0.45081135902636915;0.3833554750143224;ommited for csv readability;3.0;[1 1 1]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.5915186661833998;0.5751055231742849;ommited for csv readability;0.6086883029073699;0.5974672451418285;ommited for csv readability;6.0;[2 2 2]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.8888888888888888;0.8857142857142857;ommited for csv readability;0.5803364269141531;0.5307978525955007;ommited for csv readability;0.6000676132521975;0.5539811589597493;ommited for csv readability;9.0;[3 3 3]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.6004786423961128;0.5583525346653929;ommited for csv readability;0.609026369168357;0.5739302354197264;ommited for csv readability;12.0;[4 4 4]
PubMed;own;own;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.6596547221819237;0.6636908333621967;ommited for csv readability;0.6695402298850575;0.6753301140440938;ommited for csv readability;15.0;[5 5 5]
