dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.2933033773010581;0.2835862267748318;ommited for csv readability;0.2827924273157539;0.2743039761939146;ommited for csv readability;3.0;[1 1 1]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.4787241754258789;0.4148150488270072;ommited for csv readability;0.4629817444219067;0.39914094443870524;ommited for csv readability;6.0;[2 2 2]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.7777777777777778;0.7380952380952381;ommited for csv readability;0.5100783062645011;0.4728461801895587;ommited for csv readability;0.49729546991210277;0.46023756471805805;ommited for csv readability;9.0;[3 3 3]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5868445862644137;0.5771534184114023;ommited for csv readability;0.5755578093306288;0.5665889574621271;ommited for csv readability;12.0;[4 4 4]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.679820107355288;0.6748421768136547;ommited for csv readability;0.6656524678837052;0.6606518361369623;ommited for csv readability;15.0;[5 5 5]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;0.9444444444444444;0.9440559440559441;ommited for csv readability;0.6883842414568672;0.6843649533909338;ommited for csv readability;0.6713995943204868;0.6667126912858699;ommited for csv readability;18.0;[6 6 6]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6956458635703918;0.6903782660264398;ommited for csv readability;0.6766396213657877;0.6713881710491036;ommited for csv readability;21.0;[7 7 7]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6664731073528344;0.6585587399699198;ommited for csv readability;0.6382691007437458;0.6296850646125763;ommited for csv readability;24.0;[8 8 8]
PubMed;own;pagerank;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6896326412080732;0.6821530816185488;ommited for csv readability;0.6588911426639621;0.6496490745935342;ommited for csv readability;27.0;[9 9 9]
