dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.413175822582983;0.3375963191177944;ommited for csv readability;0.4181879648411089;0.34483221896572097;ommited for csv readability;3.0;[1 1 1]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.8333333333333334;0.8222222222222223;ommited for csv readability;0.4190648785791954;0.26169963741461094;ommited for csv readability;0.4151453684922245;0.25388921205772047;ommited for csv readability;6.0;[2 2 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5305974477958236;0.5035233537235337;ommited for csv readability;0.5240027045300879;0.49632655576438034;ommited for csv readability;9.0;[3 3 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.555515265791573;0.5208156908581404;ommited for csv readability;0.5471602434077079;0.5114333068305784;ommited for csv readability;12.0;[4 4 4]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9326599326599326;ommited for csv readability;0.6054693166980996;0.6048125046115298;ommited for csv readability;0.5943204868154158;0.5936630840937286;ommited for csv readability;15.0;[5 5 5]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.627729812087354;0.6197205272526861;ommited for csv readability;0.6237322515212982;0.6151189995333469;ommited for csv readability;18.0;[6 6 6]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7007256894049347;0.706075059704101;ommited for csv readability;0.6970926301555105;0.7039828993306615;ommited for csv readability;21.0;[7 7 7]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9581699346405229;ommited for csv readability;0.6962328518545402;0.7016993278442308;ommited for csv readability;0.6925287356321839;0.6975591097696974;ommited for csv readability;24.0;[8 8 8]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6993611151444751;0.7010645830005576;ommited for csv readability;0.6932048681541582;0.6956375093959615;ommited for csv readability;27.0;[9 9 9]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9665831244778613;ommited for csv readability;0.6999491685425895;0.6986150654756345;ommited for csv readability;0.6911764705882353;0.6900736605832124;ommited for csv readability;30.0;[10 10 10]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9696969696969697;0.9696342305037957;ommited for csv readability;0.71753341080767;0.7171271009519206;ommited for csv readability;0.7123056118999324;0.712733595422295;ommited for csv readability;33.0;[11 11 11]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9722222222222222;0.9721739130434783;ommited for csv readability;0.7343261896113331;0.7298147952906132;ommited for csv readability;0.7222785665990534;0.7180536014713228;ommited for csv readability;36.0;[12 12 12]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.753088213922395;0.7496005152362827;ommited for csv readability;0.7385057471264368;0.7354414723545962;ommited for csv readability;39.0;[13 13 13]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7533250963006033;0.7512663953749668;ommited for csv readability;0.7422244759972955;0.7395030838029645;ommited for csv readability;42.0;[14 14 14]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9555555555555556;0.9555308367321715;ommited for csv readability;0.7453474847339343;0.7438686477012347;ommited for csv readability;0.7352941176470589;0.731865315976257;ommited for csv readability;45.0;[15 15 15]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7598342179888025;0.7577618424650409;ommited for csv readability;0.7447599729546991;0.7421101457178768;ommited for csv readability;48.0;[16 16 16]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9803921568627451;0.9803751803751805;ommited for csv readability;0.7641454545454546;0.7622882115620263;ommited for csv readability;0.751183231913455;0.7492196578358978;ommited for csv readability;51.0;[17 17 17]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9814814814814815;0.9814671814671815;ommited for csv readability;0.7625663781188623;0.7610341084496826;ommited for csv readability;0.7494929006085193;0.7470989994772292;ommited for csv readability;54.0;[18 18 18]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9824561403508771;0.9824439824439825;ommited for csv readability;0.7601135040745053;0.7582185221038561;ommited for csv readability;0.7501690331304935;0.7470143500608145;ommited for csv readability;57.0;[19 19 19]
PubMed;own;pagerank;0;64;0.5;1;0.005;20795212.0;0.9833333333333333;0.9833229101521784;ommited for csv readability;0.7630449021177498;0.760828334215927;ommited for csv readability;0.7515212981744422;0.7482170498824866;ommited for csv readability;60.0;[20 20 20]


PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];0.29447141511484676;0.29675652879725495;ommited for csv readability;0.30138607167004733;0.3040145279940847;ommited for csv readability;0.0;[]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.45455863168575156;0.4064573417907873;ommited for csv readability;0.4506423258958756;0.4021095611308903;ommited for csv readability;3.0;[1 1 1]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;1.0;1.0;ommited for csv readability;0.387604204421892;0.397411258670189;ommited for csv readability;0.38640973630831643;0.3968548262897693;ommited for csv readability;6.0;[2 2 2]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.8888888888888888;0.8857142857142857;ommited for csv readability;0.591792343387471;0.5375769937109526;ommited for csv readability;0.5916159567275185;0.5352100113843344;ommited for csv readability;9.0;[3 3 3]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.9166666666666666;0.9153439153439153;ommited for csv readability;0.4895931539633041;0.4120573270387087;ommited for csv readability;0.49222447599729546;0.41889092562913816;ommited for csv readability;12.0;[4 4 4]
PubMed;own;pagerank;0;64;0.5;1;0.005;649695571.0;0.9333333333333333;0.9326599326599326;ommited for csv readability;0.5579573480342377;0.5366537040760204;ommited for csv readability;0.565077755240027;0.5455884837705663;ommited for csv readability;15.0;[5 5 5]
