dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.29606550249981883;0.2751384095072939;ommited for csv readability;0.29242731575388775;0.26617465486516056;ommited for csv readability;0.0;[]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.45673285983475864;0.3627588209082849;ommited for csv readability;0.45520622041920217;0.35966521798076184;ommited for csv readability;3.0;[1 1 1]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6290685030808264;0.6033730925253757;ommited for csv readability;0.6281271129141311;0.6013137372207997;ommited for csv readability;6.0;[2 2 2]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6409512761020881;0.5901899149140509;ommited for csv readability;0.6382691007437458;0.5869029533046739;ommited for csv readability;9.0;[3 3 3]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7033867575603742;0.671357735315329;ommited for csv readability;0.6928668018931711;0.6598618022512738;ommited for csv readability;12.0;[4 4 4]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7484404468301175;0.7299309470940782;ommited for csv readability;0.732420554428668;0.7119415912812896;ommited for csv readability;15.0;[5 5 5]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7402597402597403;0.7217216028992038;ommited for csv readability;0.7261663286004056;0.7051950593078627;ommited for csv readability;18.0;[6 6 6]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.952136752136752;ommited for csv readability;0.7578374455732946;0.738570392879387;ommited for csv readability;0.7457741717376606;0.7265165069017212;ommited for csv readability;21.0;[7 7 7]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9166666666666666;0.9131652661064426;ommited for csv readability;0.7571314509690064;0.7374748054394633;ommited for csv readability;0.7454361054766734;0.7261505285852325;ommited for csv readability;24.0;[8 8 8]
PubMed;own;random;0.2;64;0.5;1;0.005;20795212.0;0.9259259259259259;0.9232456140350879;ommited for csv readability;0.7056047625961958;0.6732744911000257;ommited for csv readability;0.6997971602434077;0.665675985282582;ommited for csv readability;27.0;[9 9 9]
