dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.35606115498876895;0.3267555634094375;ommited for csv readability;0.3509127789046653;0.3211947243075296;ommited for csv readability;0.0;[]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4513697637338745;0.34551491960962794;ommited for csv readability;0.45419202163624073;0.3510752394905967;ommited for csv readability;3.0;[1 1 1]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.6666666666666666;0.6555555555555556;ommited for csv readability;0.4337803552011598;0.3134146736823087;ommited for csv readability;0.43356997971602435;0.31479992382459676;ommited for csv readability;6.0;[2 2 2]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5888196055684455;0.5541163415039853;ommited for csv readability;0.592292089249493;0.5572022155546332;ommited for csv readability;9.0;[3 3 3]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6295597940387265;0.5995541569525696;ommited for csv readability;0.6359026369168357;0.6077285538768331;ommited for csv readability;12.0;[4 4 4]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9333333333333333;0.9326599326599326;ommited for csv readability;0.6900478746554476;0.6790217330777493;ommited for csv readability;0.6918526031102096;0.680528066350247;ommited for csv readability;15.0;[5 5 5]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.8888888888888888;0.882051282051282;ommited for csv readability;0.5982006819995647;0.5791083158766995;ommited for csv readability;0.5897565922920892;0.5726001693310624;ommited for csv readability;18.0;[6 6 6]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9523809523809523;0.952136752136752;ommited for csv readability;0.7601596516690856;0.7587491367584809;ommited for csv readability;0.7613252197430697;0.7613181773075522;ommited for csv readability;21.0;[7 7 7]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9583333333333334;0.9581699346405229;ommited for csv readability;0.7837700515351673;0.7807240023840274;ommited for csv readability;0.7814401622718052;0.7792061175629853;ommited for csv readability;24.0;[8 8 8]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9259259259259259;0.9274509803921568;ommited for csv readability;0.7899666037461884;0.7877417996944237;ommited for csv readability;0.7902298850574713;0.7885911885669121;ommited for csv readability;27.0;[9 9 9]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9666666666666667;0.9665831244778613;ommited for csv readability;0.7686442524144942;0.7679655094281372;ommited for csv readability;0.7657200811359026;0.766154479442198;ommited for csv readability;30.0;[10 10 10]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.794596165020337;0.7926204147001455;ommited for csv readability;0.7919202163624071;0.7909567071766039;ommited for csv readability;33.0;[11 11 11]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7762440973483472;0.7732827117381257;ommited for csv readability;0.7767072346179851;0.7732232163105023;ommited for csv readability;36.0;[12 12 12]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7618078767620985;0.7563385989335503;ommited for csv readability;0.7633536173089925;0.7577086868566455;ommited for csv readability;39.0;[13 13 13]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.784504687840686;0.7829323768136702;ommited for csv readability;0.7870182555780934;0.7848316570566708;ommited for csv readability;42.0;[14 14 14]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7769700494329747;0.7741615386661427;ommited for csv readability;0.7787356321839081;0.7762450254019799;ommited for csv readability;45.0;[15 15 15]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7717588889696794;0.7689105980142174;ommited for csv readability;0.7748478701825557;0.7720158453292201;ommited for csv readability;48.0;[16 16 16]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.7538909090909091;0.7545708124805258;ommited for csv readability;0.7540567951318459;0.755130247904601;ommited for csv readability;51.0;[17 17 17]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9814814814814815;0.9814671814671815;ommited for csv readability;0.7463446570160762;0.7445816473371494;ommited for csv readability;0.7489858012170385;0.7481612617047841;ommited for csv readability;54.0;[18 18 18]
PubMed;own;random;0;64;0.5;1;0.005;20795212.0;0.9824561403508771;0.9824439824439825;ommited for csv readability;0.7502182770663562;0.7503295513116311;ommited for csv readability;0.748816768086545;0.7497934231345459;ommited for csv readability;57.0;[19 19 19]
