dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.3363524382291138;0.3299609797154847;[[979, 939, 954], [1767, 1854, 1796], [1827, 1876, 1809]];[0.2140826590859392, 0.3970871707003641, 0.3967975433209037];0.33367139959432046;0.32474168358005556;[[375, 469, 387], [748, 766, 808], [732, 798, 833]];[0.20215633423180593, 0.3767830791933104, 0.41074950690335305];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 1, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.49884007539509934;0.4306475819259216;[[792, 434, 1640], [368, 1099, 3911], [323, 237, 4990]];[0.5340525960890088, 0.6209039548022599, 0.47338962147803815];0.49391480730223125;0.4270736614781983;[[332, 191, 708], [150, 478, 1694], [135, 116, 2112]];[0.5380875202593193, 0.6089171974522293, 0.4678777137793531];7.0;[1, 1, 5]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0], [0, 3, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.5747443243635308;0.5475977642664398;[[1382, 326, 1146], [621, 1858, 2913], [434, 423, 4684]];[0.567090685268773, 0.7126965861143076, 0.5357428800183004];0.5720081135902637;0.5456815524339471;[[588, 145, 498], [251, 813, 1258], [210, 170, 1983]];[0.5605338417540515, 0.7207446808510638, 0.5303557100829098];14.0;[5, 3, 6]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[7, 0, 0], [0, 6, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.5910014513788099;0.5659360025496981;[[1416, 329, 1120], [696, 2095, 2593], [429, 469, 4633]];[0.5572609208972845, 0.7241617697891463, 0.5551162233405224];0.579107505070994;0.5533870624576387;[[587, 163, 481], [300, 890, 1132], [202, 212, 1949]];[0.5390266299357208, 0.7035573122529645, 0.547164514317799];21.0;[7, 6, 8]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[8, 0, 0], [0, 7, 0], [0, 0, 13]];[1.0, 1.0, 1.0];0.5892688593625208;0.5504197474149749;[[1094, 266, 1463], [596, 2202, 2576], [366, 390, 4820]];[0.5321011673151751, 0.7704688593421973, 0.5440794672084885];0.5711629479377958;0.5326782838189119;[[458, 129, 644], [272, 921, 1129], [177, 186, 2000]];[0.5049614112458655, 0.7451456310679612, 0.5300821627352239];28.0;[8, 7, 13]
PubMed;own;entropy;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[12, 0, 0], [0, 9, 0], [0, 0, 14]];[1.0, 1.0, 1.0];0.5946534941159378;0.5688621198093033;[[1490, 225, 1127], [957, 2142, 2268], [614, 389, 4554]];[0.4867690297288468, 0.7772133526850508, 0.5729022518555793];0.5752197430696416;0.5496300476521379;[[611, 118, 502], [403, 904, 1015], [293, 182, 1888]];[0.46748278500382556, 0.7508305647840532, 0.5544787077826725];35.0;[12, 9, 14]


PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.3328744293891747;0.3261569363374555;[[951, 971, 950], [1790, 1827, 1800], [1869, 1827, 1816]];[0.20629067245119306, 0.395027027027027, 0.3977222952255804];0.3385733603786342;0.3322409706285955;[[424, 372, 435], [743, 814, 765], [793, 805, 765]];[0.2163265306122449, 0.4088397790055249, 0.3893129770992366];0.0;[]
PubMed;own;entropy;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[4, 0], [0, 3]];[1.0, 1.0];0.5684355516891402;0.4673208434284222;[[321, 1767, 760], [125, 5037, 300], [276, 2725, 2483]];[0.4445983379501385, 0.5285969146814986, 0.7008185153824442];0.5627112914131169;0.4582286231788674;[[122, 748, 361], [53, 2139, 130], [93, 1202, 1068]];[0.4552238805970149, 0.5231107850330154, 0.6850545221295702];7.0;[0, 4, 3]
