dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.33142525903920006;0.3243190987825775;ommited for csv readability;0.33096686950642323;0.3238684435900053;ommited for csv readability;0.0;[]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.38005508044644154;0.31731079679277036;ommited for csv readability;0.38167680865449627;0.3218439980186247;ommited for csv readability;3.0;[1 1 1]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.40601667270750275;0.363587857450445;ommited for csv readability;0.40229885057471265;0.35636887966270603;ommited for csv readability;6.0;[2 2 2]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4381525522041763;0.367009232405837;ommited for csv readability;0.4445571331981068;0.3774097049806926;ommited for csv readability;9.0;[3 3 3]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4473855972151715;0.38001335015288856;ommited for csv readability;0.4506423258958756;0.38575167764591695;ommited for csv readability;12.0;[4 4 4]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.4475554910779051;0.38921338453595533;ommited for csv readability;0.45233265720081134;0.3969689804924858;ommited for csv readability;15.0;[5 5 5]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.48059203366465936;0.43093336515106023;ommited for csv readability;0.47971602434077076;0.4303050960803045;ommited for csv readability;18.0;[6 6 6]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5180696661828738;0.47898560060532985;ommited for csv readability;0.5241717376605814;0.48749349949940496;ommited for csv readability;21.0;[7 7 7]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5142629019380126;0.47952441448486277;ommited for csv readability;0.5158891142663962;0.48188439026269475;ommited for csv readability;24.0;[8 8 8]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5354290692609264;0.504210410883376;ommited for csv readability;0.5370182555780934;0.5082830113715707;ommited for csv readability;27.0;[9 9 9]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5570401568513543;0.5299817002418071;ommited for csv readability;0.5588235294117647;0.5341083776975448;ommited for csv readability;30.0;[10 10 10]
PubMed;own;entropy;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6111998837884951;0.5822718283768665;ommited for csv readability;0.6093644354293442;0.5811527261691506;ommited for csv readability;33.0;[11 11 11]
