dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.3363524382291138;0.3299609797154847;[[979, 939, 954], [1767, 1854, 1796], [1827, 1876, 1809]];[0.2140826590859392, 0.3970871707003641, 0.3967975433209037];0.33367139959432046;0.32474168358005556;[[375, 469, 387], [748, 766, 808], [732, 798, 833]];[0.20215633423180593, 0.3767830791933104, 0.41074950690335305];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 3, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.510656807307525;0.46258322947587116;[[768, 822, 1288], [1272, 2163, 1964], [584, 820, 4113]];[0.2926829268292683, 0.5684625492772668, 0.5584521384928717];0.5167342799188641;0.4701401849411431;[[341, 346, 544], [538, 956, 828], [225, 378, 1760]];[0.3088768115942029, 0.569047619047619, 0.561941251596424];7.0;[1, 3, 3]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[4, 0, 0], [0, 5, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.5246971785014869;0.5064069514978357;[[1603, 515, 788], [2207, 1891, 1278], [1101, 664, 3740]];[0.32641009977601304, 0.6159609120521172, 0.644161212538753];0.5312711291413117;0.5142121426354737;[[711, 196, 324], [960, 831, 531], [478, 284, 1601]];[0.33085155886458817, 0.6338672768878718, 0.6518729641693811];14.0;[4, 5, 5]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0], [0, 10, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.5821480406386067;0.5679552584477935;[[1623, 491, 790], [1624, 2830, 921], [1007, 925, 3569]];[0.3815232722143865, 0.6665096561469619, 0.6759469696969697];0.5786004056795132;0.5655295611848935;[[709, 219, 303], [724, 1199, 399], [431, 417, 1515]];[0.3803648068669528, 0.6534059945504087, 0.6833558863328822];21.0;[5, 10, 6]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[7, 0, 0], [0, 13, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.6027735424381035;0.582281419638757;[[1495, 605, 792], [1478, 2968, 933], [895, 768, 3839]];[0.3865046535677353, 0.6837134300852338, 0.6899712437095614];0.599053414469236;0.5812474200922728;[[673, 238, 320], [665, 1250, 407], [389, 353, 1621]];[0.38969310943833235, 0.6789788158609451, 0.6903747870528109];28.0;[7, 13, 8]
PubMed;own;medoids;0.2;64;0.5;1;0.005;20795212.0;1.0;1.0;[[10, 0, 0], [0, 14, 0], [0, 0, 11]];[1.0, 1.0, 1.0];0.6282144413773064;0.6094724773346692;[[1608, 528, 756], [1322, 3168, 887], [883, 742, 3872]];[0.4217151848937844, 0.7138350608382155, 0.7020852221214868];0.6201825557809331;0.6023227509155006;[[691, 225, 315], [587, 1343, 392], [393, 335, 1635]];[0.4135248354278875, 0.7057277982133473, 0.6981212638770282];35.0;[10, 14, 11]


PubMed;own;medoids;0.2;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.3328744293891747;0.3261569363374555;[[951, 971, 950], [1790, 1827, 1800], [1869, 1827, 1816]];[0.20629067245119306, 0.395027027027027, 0.3977222952255804];0.3385733603786342;0.3322409706285955;[[424, 372, 435], [743, 814, 765], [793, 805, 765]];[0.2163265306122449, 0.4088397790055249, 0.3893129770992366];0.0;[]
PubMed;own;medoids;0.2;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0], [0, 4, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.4775264607800493;0.43212880703458073;[[619, 937, 1308], [658, 3551, 1224], [623, 2457, 2417]];[0.3257894736842105, 0.5113030957523398, 0.4883814912103455];0.48056118999323866;0.43330421023394194;[[262, 404, 565], [275, 1562, 485], [252, 1092, 1019]];[0.3320659062103929, 0.5107913669064749, 0.49250845819236344];7.0;[1, 4, 2]
