dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Labeled class accuracies;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Unlabeled class accuracies;Test accuracy;Test macro-f1;Test confusion;Test class accuracies;Budget used;Class distrubution
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];[];0.3363524382291138;0.3299609797154847;[[979, 939, 954], [1767, 1854, 1796], [1827, 1876, 1809]];[0.2140826590859392, 0.3970871707003641, 0.3967975433209037];0.33367139959432046;0.32474168358005556;[[375, 469, 387], [748, 766, 808], [732, 798, 833]];[0.20215633423180593, 0.3767830791933104, 0.41074950690335305];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[1, 0, 0], [0, 3, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.508916920400174;0.4606978833887407;[[760, 822, 1289], [1280, 2159, 1975], [584, 824, 4101]];[0.2896341463414634, 0.5674113009198423, 0.5568228105906313];0.5167342799188641;0.4701401849411431;[[341, 346, 544], [538, 956, 828], [225, 378, 1760]];[0.3088768115942029, 0.569047619047619, 0.561941251596424];7.0;[1, 3, 3]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[4, 0, 0], [0, 5, 0], [0, 0, 5]];[1.0, 1.0, 1.0];0.5199825922970914;0.5013098082300228;[[1561, 518, 789], [2235, 1884, 1293], [1115, 668, 3724]];[0.31785787008755856, 0.6136807817589577, 0.6414054426455391];0.5312711291413117;0.5142121426354737;[[711, 196, 324], [960, 831, 531], [478, 284, 1601]];[0.33085155886458817, 0.6338672768878718, 0.6518729641693811];14.0;[4, 5, 5]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[5, 0, 0], [0, 10, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.5769230769230769;0.5621149441312069;[[1581, 494, 792], [1652, 2818, 937], [1021, 934, 3551]];[0.3716502115655853, 0.6636834667922751, 0.6725378787878787];0.5786004056795132;0.5655295611848935;[[709, 219, 303], [724, 1199, 399], [431, 417, 1515]];[0.3803648068669528, 0.6534059945504087, 0.6833558863328822];21.0;[5, 10, 6]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[7, 0, 0], [0, 13, 0], [0, 0, 8]];[1.0, 1.0, 1.0];0.5963842300152472;0.5752157055028972;[[1453, 611, 801], [1506, 2948, 950], [909, 782, 3813]];[0.37564632885211996, 0.6791061967288643, 0.6852983465132998];0.599053414469236;0.5812474200922728;[[673, 238, 320], [665, 1250, 407], [389, 353, 1621]];[0.38969310943833235, 0.6789788158609451, 0.6903747870528109];28.0;[7, 13, 8]
PubMed;own;medoids;0;64;0.5;1;0.005;20795212.0;1.0;1.0;[[10, 0, 0], [0, 14, 0], [0, 0, 11]];[1.0, 1.0, 1.0];0.6211680953072788;0.6016656411941921;[[1561, 534, 767], [1351, 3147, 905], [901, 757, 3843]];[0.4093889325990034, 0.7091031996394772, 0.6968268359020853];0.6201825557809331;0.6023227509155006;[[691, 225, 315], [587, 1343, 392], [393, 335, 1635]];[0.4135248354278875, 0.7057277982133473, 0.6981212638770282];35.0;[10, 14, 11]


PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;0.0;0.0;[[]];[];0.3328744293891747;0.3261569363374555;[[951, 971, 950], [1790, 1827, 1800], [1869, 1827, 1816]];[0.20629067245119306, 0.395027027027027, 0.3977222952255804];0.3385733603786342;0.3322409706285955;[[424, 372, 435], [743, 814, 765], [793, 805, 765]];[0.2163265306122449, 0.4088397790055249, 0.3893129770992366];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[1, 0, 0], [0, 4, 0], [0, 0, 2]];[1.0, 1.0, 1.0];0.47498912570682905;0.43004765715719045;[[618, 939, 1314], [658, 3527, 1228], [624, 2479, 2407]];[0.32526315789473687, 0.5078473722102231, 0.4863608809860578];0.48056118999323866;0.43330421023394194;[[262, 404, 565], [275, 1562, 485], [252, 1092, 1019]];[0.3320659062103929, 0.5107913669064749, 0.49250845819236344];7.0;[1, 4, 2]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[4, 0, 0], [0, 6, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5143250888518169;0.48375594954193346;[[1043, 771, 1054], [917, 3778, 716], [1210, 2028, 2270]];[0.32902208201892746, 0.574426030104911, 0.5618811881188119];0.5189317106152807;0.4878850318771548;[[460, 331, 440], [371, 1662, 289], [518, 897, 948]];[0.34099332839140106, 0.5750865051903115, 0.5652951699463328];14.0;[4, 6, 4]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[5, 0, 0], [0, 9, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.5543541364296082;0.5240952644738036;[[1090, 759, 1018], [923, 3770, 715], [976, 1750, 2779]];[0.36467045834727335, 0.6004140786749482, 0.6159131205673759];0.5598377281947262;0.5298632088666251;[[482, 323, 426], [353, 1664, 305], [418, 779, 1166]];[0.3846767757382282, 0.601590744757773, 0.6146547179757512];21.0;[5, 9, 7]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[6, 0, 0], [0, 13, 0], [0, 0, 9]];[1.0, 1.0, 1.0];0.571407826907718;0.5416097723858182;[[1129, 777, 960], [864, 3849, 691], [803, 1808, 2892]];[0.40379113018597995, 0.5982281628846752, 0.6365837552278231];0.5640635564570656;0.5359781256350665;[[494, 340, 397], [321, 1666, 335], [365, 821, 1177]];[0.4186440677966102, 0.5893172974885037, 0.6165531691985333];28.0;[6, 13, 9]
PubMed;own;medoids;0;64;0.5;1;0.005;649695571.0;1.0;1.0;[[9, 0, 0], [0, 14, 0], [0, 0, 12]];[1.0, 1.0, 1.0];0.5686473921255266;0.5446952293098956;[[1207, 683, 973], [970, 3433, 1000], [784, 1528, 3188]];[0.40763255656872677, 0.6082565556343019, 0.6177097461732223];0.5665990534144693;0.5439694914604459;[[530, 299, 402], [390, 1498, 434], [363, 676, 1324]];[0.4130943102104443, 0.6057420137484836, 0.6129629629629629];35.0;[9, 14, 12]


PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;0.0;0.0;[[]];[];0.32628070429679007;0.3204536641118741;[[965, 967, 940], [1814, 1769, 1834], [1869, 1874, 1769]];[0.20761617900172116, 0.38373101952277655, 0.38939027074620297];0.3390804597701149;0.33119456201420455;[[398, 429, 404], [778, 782, 762], [766, 771, 826]];[0.20494335736354274, 0.39455095862764883, 0.4146586345381526];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;[[2, 0, 0], [0, 4, 0], [0, 0, 1]];[1.0, 1.0, 1.0];0.6093953892996955;0.574722427478592;[[1124, 876, 870], [455, 4069, 889], [973, 1325, 3213]];[0.44043887147335425, 0.64896331738437, 0.6462188254223652];0.6142663962136579;0.5798709254335214;[[489, 369, 373], [192, 1750, 380], [415, 553, 1395]];[0.44616788321167883, 0.6549401197604791, 0.6494413407821229];7.0;[2, 4, 1]
PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;[[3, 0, 0], [0, 4, 0], [0, 0, 7]];[1.0, 1.0, 1.0];0.5690142888228041;0.5338028381651506;[[942, 689, 1238], [373, 3016, 2024], [686, 932, 3887]];[0.4707646176911544, 0.6504205305154195, 0.5437124073296965];0.5642325895875592;0.5278464092138613;[[394, 284, 553], [165, 1265, 892], [302, 382, 1679]];[0.45760743321718933, 0.6551009839461419, 0.5374519846350833];14.0;[3, 4, 7]
PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;[[6, 0, 0], [0, 4, 0], [0, 0, 11]];[1.0, 1.0, 1.0];0.5394049346879536;0.5036747238530919;[[990, 539, 1337], [310, 2006, 3097], [545, 519, 4437]];[0.5365853658536586, 0.6546997389033943, 0.5001690902942171];0.5366801893171061;0.5031003469246508;[[435, 237, 559], [131, 860, 1331], [247, 236, 1880]];[0.5350553505535055, 0.6451612903225806, 0.4986737400530504];21.0;[6, 4, 11]
PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;[[9, 0, 0], [0, 6, 0], [0, 0, 13]];[1.0, 1.0, 1.0];0.5404051404922675;0.5089648720740269;[[1123, 443, 1297], [559, 1961, 2891], [591, 549, 4359]];[0.49406071271447427, 0.6640704368438876, 0.51000351000351];0.5417511832319134;0.5115067688146313;[[499, 201, 531], [258, 843, 1221], [264, 236, 1863]];[0.4887365328109696, 0.65859375, 0.5153526970954356];28.0;[9, 6, 13]
PubMed;own;medoids;0;64;0.5;1;0.005;831763849.0;1.0;1.0;[[10, 0, 0], [0, 9, 0], [0, 0, 16]];[1.0, 1.0, 1.0];0.5813598721487724;0.5537765025904355;[[1151, 461, 1250], [455, 2531, 2422], [516, 659, 4321]];[0.5424128180961357, 0.6932347302109011, 0.5405980232703615];0.5819810682893847;0.5552612492828072;[[509, 195, 527], [217, 1090, 1015], [241, 278, 1844]];[0.5263702171664943, 0.6973768394113884, 0.544595392793857];35.0;[10, 9, 16]


PubMed;own;medoids;0;64;0.5;1;0.005;615395017.0;0.0;0.0;[[]];[];0.32845445982175203;0.3218594895297287;[[940, 970, 962], [1847, 1786, 1784], [1821, 1884, 1807]];[0.20399305555555555, 0.38491379310344825, 0.39688117724577204];0.3400946585530764;0.33255749132632545;[[405, 411, 415], [771, 799, 752], [775, 780, 808]];[0.20758585340850846, 0.4015075376884422, 0.4091139240506329];0.0;[]
PubMed;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;[[2, 0, 0], [0, 2, 0], [0, 0, 3]];[1.0, 1.0, 1.0];0.5469044512106713;0.5060176214151291;[[843, 585, 1442], [1197, 3015, 1203], [717, 1106, 3686]];[0.3057671381936888, 0.6406714832129197, 0.5822145000789765];0.5488505747126436;0.5101878044506374;[[379, 245, 607], [514, 1306, 502], [313, 488, 1562]];[0.3142620232172471, 0.6405100539480137, 0.5847997004867092];7.0;[2, 2, 3]
PubMed;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;[[5, 0, 0], [0, 5, 0], [0, 0, 4]];[1.0, 1.0, 1.0];0.5455138898962791;0.5149765969591207;[[1033, 562, 1272], [1045, 2836, 1531], [838, 1018, 3652]];[0.35425240054869683, 0.6422101449275363, 0.5657629744384198];0.540736984448952;0.5107564292256028;[[438, 259, 534], [438, 1238, 646], [363, 477, 1523]];[0.35351089588377727, 0.6271529888551165, 0.563448020717721];14.0;[5, 5, 4]
PubMed;own;medoids;0;64;0.5;1;0.005;615395017.0;1.0;1.0;[[6, 0, 0], [0, 9, 0], [0, 0, 6]];[1.0, 1.0, 1.0];0.5735123367198839;0.5424414264120937;[[1199, 370, 1297], [893, 2384, 2131], [676, 510, 4320]];[0.4331647398843931, 0.7303921568627451, 0.5575632421270005];0.5758958755916159;0.5467895093707988;[[530, 163, 538], [395, 1051, 876], [305, 232, 1826]];[0.43089430894308944, 0.7268326417704011, 0.5635802469135802];21.0;[6, 9, 6]
