dataset_name;sampler_name;subsampler;label_propagation_uncertainty_treshold;hidden_dim_size;dropout;distance_loss_weight;learning_rate;seed;Labeled accuracy;Labeled macro-f1;Labeled confusion;Unlabeled accuracy;Unlabeled macro-f1;Unlabeled confusion;Test accuracy;Test macro-f1;Test confusion;Budget used;Class distrubution
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;0.0;0.0;[[]];0.33142525903920006;0.3243190987825775;ommited for csv readability;0.33096686950642323;0.3238684435900053;ommited for csv readability;0.0;[]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.46564719524568776;0.4616530116496563;ommited for csv readability;0.4883367139959432;0.4849151857176163;ommited for csv readability;3.0;[1 1 1]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5162740123233055;0.5033864503489208;ommited for csv readability;0.5216362407031778;0.50987125899209;ommited for csv readability;6.0;[2 2 2]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.511600928074246;0.4564604946520329;ommited for csv readability;0.5170723461798512;0.4637730853131287;ommited for csv readability;9.0;[3 3 3]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5135252737689463;0.4592788034721605;ommited for csv readability;0.5179175118323192;0.4639227767740069;ommited for csv readability;12.0;[4 4 4]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.5235746409400841;0.4746958645974965;ommited for csv readability;0.5317782285327924;0.4830748328134873;ommited for csv readability;15.0;[5 5 5]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6225785387796561;0.6045614146016401;ommited for csv readability;0.6296484110885734;0.613314615801015;ommited for csv readability;18.0;[6 6 6]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6551523947750363;0.6395721021161459;ommited for csv readability;0.6619337390128465;0.647758469691289;ommited for csv readability;21.0;[7 7 7]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6347535747985773;0.6110065996374758;ommited for csv readability;0.6423258958755916;0.6202522589088472;ommited for csv readability;24.0;[8 8 8]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6331494119355308;0.6101232210603033;ommited for csv readability;0.6435091277890467;0.6229631970762829;ommited for csv readability;27.0;[9 9 9]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6275506499164912;0.6088300367568484;ommited for csv readability;0.6384381338742393;0.6201212300119897;ommited for csv readability;30.0;[10 10 10]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6402527600232423;0.6209826636964101;ommited for csv readability;0.6460446247464503;0.6269665285501268;ommited for csv readability;33.0;[11 11 11]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.65477660733745;0.6330768997717261;ommited for csv readability;0.664976335361731;0.6435746859958392;ommited for csv readability;36.0;[12 12 12]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6448190669960762;0.6252022862691086;ommited for csv readability;0.6599053414469236;0.6415546299219752;ommited for csv readability;39.0;[13 13 13]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.646413256777382;0.6271730597017258;ommited for csv readability;0.65736984448952;0.6387768831509174;ommited for csv readability;42.0;[14 14 14]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6536056993312009;0.6363774035767319;ommited for csv readability;0.6632860040567952;0.6466839634670132;ommited for csv readability;45.0;[15 15 15]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6611648367628881;0.6426624892132393;ommited for csv readability;0.6688640973630832;0.6510434520706501;ommited for csv readability;48.0;[16 16 16]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6621818181818182;0.6460139880920363;ommited for csv readability;0.6719066937119675;0.6556477483281996;ommited for csv readability;51.0;[17 17 17]
PubMed;own;own;0;64;0.5;1;0.005;20795212.0;1.0;1.0;ommited for csv readability;0.6597075725612861;0.6431964488380211;ommited for csv readability;0.6700473292765382;0.653545836016628;ommited for csv readability;54.0;[18 18 18]
